from_unit,to_unit,variable,variable_unit,conversion_factor,conversion_offset
umol/L,mg/dL,labs_creatinine,labs_creatinine_units,88.4,0
mmol/L,mg/dL,labs_ureanitro,labs_ureanitro_units,0.357,0
10^9/L,%,labs_neutrophil,labs_neutrophil_units,,
F,C,vital_highesttem,vital_highesttem_units,0.5556,-17.7778
umol/L,mg/dL,labs_bilirubin,labs_bilirubin_units,17.1,0
10^9/L,%,labs_lymphocyte,labs_lymphocyte_units,,
"Fraction, 0.21-1.0","%, 21-100",vital_fio2spo2,vital_fio2spo2_units,100.0,0
mg,mmol/L,labs_lactate,labs_lactate_units,0.0555,0
mEq/L,mmol/L,labs_hco3,labs_hco3_units,1.0,0
L/L,%,labs_hematocrit,labs_hematocrit_units,100.0,0
mg/dL,ng/mL,labs_tropi,labs_tropi_units,10000.0,0
mmol/L,Not done,comor_hba1c,comor_hba1c_units,1.0,0
g/L,g/dL,labs_haemo,labs_haemo_units,10.0,0
