timeline,0-39,0-39_lower_0.95,0-39_upper_0.95,40-64,40-64_lower_0.95,40-64_upper_0.95,>64,>64_lower_0.95,>64_upper_0.95
0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3.0,98.18181818181826,96.39735054616156,99.08657016907878,99.55752212389378,96.90088134700424,99.93755232321787,98.81889763779523,96.38311787603635,99.61753753722978
4.0,98.18181818181826,96.39735054616156,99.08657016907878,98.89820078532492,95.54952547737417,99.73073978542168,98.81889763779523,96.38311787603635,99.61753753722978
5.0,95.36768963520568,92.60698242810585,97.11347866289374,98.89820078532492,95.54952547737417,99.73073978542168,98.81889763779523,96.38311787603635,99.61753753722978
6.0,94.42810648609037,91.27618131269513,96.46318369215325,97.999126232731,93.65495711588477,99.37876135264091,97.948246557286,95.13505854819971,99.14196321338243
7.0,91.84103507551256,87.53090853993217,94.7060430396404,96.7096640454582,90.86213734535134,98.8386876127919,94.94983084634872,91.03409775201699,97.18164888548607
8.0,84.61758287856217,77.37293717865721,89.6953188510786,92.59435919245998,82.6454677155429,96.94188674506083,90.42841032985591,85.10140816062759,93.91813320008492
9.0,76.15582459070596,65.80771668823222,83.75137248761123,89.16493848162813,75.70020536177844,95.385530380624,87.01601748721983,80.64628925994477,91.3999519629908
10.0,66.22245616583126,51.45905617744299,77.43915318100328,72.44651251632285,48.96117462409049,86.46098576504949,82.3751632212348,74.49383017790512,88.01469585065641
11.0,52.97796493266499,32.231842991966055,70.01448228633087,63.39069845178251,36.1082330026806,81.54643352355325,77.11717407945385,67.23047069641812,84.36189542328422
12.0,,,,,,,69.13953538157931,56.100461856710325,79.0082809666679
13.0,,,,,,,61.00547239551115,44.797815027232396,73.77461192167068
14.0,,,,,,,47.44870075206421,26.8197019105621,65.55170703215035
15.0,,,,,,,37.95896060165138,16.243468770788308,59.67418998689532
