Variable,All,Female,Male,Other / Unknown
<b>Totals</b>,1000,243,255,502
<b><i>DEMOGRAPHICS</i></b>,,,,
<b>Age</b> (+), 4.5 ( 0.2-32.8) |  947, 4.6 ( 0.2-39.6) | 233, 3.8 ( 0.2-24.7) | 243, 4.6 ( 0.2-30.9) | 471
<b>Height </b> (+),127.2 ( 70.1-188.0) |  957,110.0 ( 63.8-178.8) | 230,129.8 ( 75.3-190.1) | 249,130.3 ( 69.6-191.4) | 478
<b>Weight </b> (+), 861.6 ( 435.9-1323.0) |  957, 818.5 ( 415.3-1305.0) | 230, 952.4 ( 449.1-1376.3) | 237, 858.0 ( 430.1-1303.5) | 490
<b>Race (select all that apply)</b>,,,,
   ↳ Arab, 459 (48.3) |  951,117 (49.8) | 235,113 (47.1) | 240,229 (48.1) | 476
   ↳ Black, 479 (50.4) |  951,114 (48.5) | 235,123 (51.2) | 240,242 (50.8) | 476
   ↳ East Asian, 485 (51.0) |  951,120 (51.1) | 235,118 (49.2) | 240,247 (51.9) | 476
   ↳ South Asian, 469 (49.3) |  951,115 (48.9) | 235,126 (52.5) | 240,228 (47.9) | 476
   ↳ South-East Asian, 484 (50.9) |  951,116 (49.4) | 235,125 (52.1) | 240,243 (51.1) | 476
   ↳ West Asian, 501 (52.7) |  951,118 (50.2) | 235,123 (51.2) | 240,260 (54.6) | 476
   ↳ Latin American, 482 (50.7) |  951,116 (49.4) | 235,130 (54.2) | 240,236 (49.6) | 476
   ↳ White, 485 (51.0) |  951,129 (54.9) | 235,119 (49.6) | 240,237 (49.8) | 476
   ↳ Aboriginal/First Nations/Indigenous, 503 (52.9) |  951,127 (54.0) | 235,136 (56.7) | 240,240 (50.4) | 476
   ↳ Other, 452 (47.5) |  951,120 (51.1) | 235,110 (45.8) | 240,222 (46.6) | 476
   ↳ Unknown, 472 (49.6) |  951,125 (53.2) | 235,114 (47.5) | 240,233 (48.9) | 476
<b>Primary location of occupation</b> (*),,,,
   ↳ Home-working or unemployed,  96 (11.0) |  876, 20 ( 9.3) | 216, 31 (13.7) | 226, 45 (10.4) | 434
   ↳ Indoors-office/health/education/hospitality/business/homes, 107 (12.2) |  876, 30 (13.9) | 216, 21 ( 9.3) | 226, 56 (12.9) | 434
   ↳ Indoors-factory,  91 (10.4) |  876, 24 (11.1) | 216, 23 (10.2) | 226, 44 (10.1) | 434
"   ↳ Outdoors-animal contact (vet, animal farmer, abattoir worker)",  96 (11.0) |  876, 28 (13.0) | 216, 21 ( 9.3) | 226, 47 (10.8) | 434
   ↳ Outdoors-agriculture/forestry/fisheries,  98 (11.2) |  876, 20 ( 9.3) | 216, 24 (10.6) | 226, 54 (12.4) | 434
   ↳ Outdoors-construction/industrial/mining,  96 (11.0) |  876, 21 ( 9.7) | 216, 25 (11.1) | 226, 50 (11.5) | 434
   ↳ Armed Forces,  83 ( 9.5) |  876, 19 ( 8.8) | 216, 21 ( 9.3) | 226, 43 ( 9.9) | 434
   ↳ Student,  98 (11.2) |  876, 27 (12.5) | 216, 31 (13.7) | 226, 40 ( 9.2) | 434
   ↳ Other, 111 (12.7) |  876, 27 (12.5) | 216, 29 (12.8) | 226, 55 (12.7) | 434
<b>Patient's city of residence</b> (*),,,,
   ↳ Same as health care facility, 332 (51.9) |  640, 78 (53.1) | 147, 84 (51.2) | 164,170 (51.7) | 329
   ↳ Different from health care facility, 308 (48.1) |  640, 69 (46.9) | 147, 80 (48.8) | 164,159 (48.3) | 329
<b><i>CO-MORBIDITIES AND RISK FACTORS</i></b>,,,,
<b>Chronic neurological disorder</b> (*), 329 (51.5) |  639, 65 (47.1) | 138, 95 (55.9) | 170,169 (51.1) | 331
<b>Dementia</b> (*), 289 (46.7) |  619, 76 (52.4) | 145, 78 (47.0) | 166,135 (43.8) | 308
<b>Chronic cardiac disease (not hypertension)</b> (*), 312 (49.0) |  637, 84 (54.9) | 153, 87 (55.8) | 156,141 (43.0) | 328
<b>Hypertension (physician diagnosed)</b> (*), 315 (48.8) |  646, 74 (45.1) | 164, 82 (49.1) | 167,159 (50.5) | 315
<b>Chronic pulmonary disease (not asthma)</b> (*), 326 (51.2) |  637, 85 (52.8) | 161, 69 (44.8) | 154,172 (53.4) | 322
<b>Asthma (physician diagnosed)</b> (*), 307 (50.6) |  607, 79 (51.0) | 155, 77 (49.4) | 156,151 (51.0) | 296
<b>Chronic kidney disease</b> (*), 308 (49.7) |  620, 68 (44.2) | 154, 72 (49.3) | 146,168 (52.5) | 320
<b>Liver disease</b> (*), 316 (51.0) |  620, 73 (51.4) | 142, 68 (44.7) | 152,175 (53.7) | 326
<b>Type of liver disease</b> (*),,,,
   ↳ Mild, 104 (53.9) |  193, 21 (53.8) |  39, 24 (53.3) |  45, 59 (54.1) | 109
   ↳ Moderate or severe,  89 (46.1) |  193, 18 (46.2) |  39, 21 (46.7) |  45, 50 (45.9) | 109
<b>Chronic hepatitis B/C infection</b> (*), 337 (51.5) |  655, 76 (46.6) | 163,107 (63.7) | 168,154 (47.5) | 324
<b>HIV</b> (*), 296 (47.7) |  620, 62 (41.6) | 149, 80 (47.3) | 169,154 (51.0) | 302
<b> Is the patient on anti-retroviral therapy (ART)?</b> (*),  91 (48.9) |  186, 18 (50.0) |  36, 25 (45.5) |  55, 48 (50.5) |  95
<b> Most recent CD4 count (cells/uL)</b> (*),,,,
   ↳ Less than 50,  54 (22.2) |  243, 11 (22.4) |  49, 15 (24.2) |  62, 28 (21.2) | 132
   ↳ 50-99,  51 (21.0) |  243,  6 (12.2) |  49, 13 (21.0) |  62, 32 (24.2) | 132
   ↳ 100-199,  47 (19.3) |  243,  7 (14.3) |  49, 13 (21.0) |  62, 27 (20.5) | 132
   ↳ 200-499,  50 (20.6) |  243, 11 (22.4) |  49, 13 (21.0) |  62, 26 (19.7) | 132
   ↳ 500 and over,  41 (16.9) |  243, 14 (28.6) |  49,  8 (12.9) |  62, 19 (14.4) | 132
<b>Tuberculosis</b> (*), 339 (52.9) |  641, 82 (52.6) | 156, 87 (50.3) | 173,170 (54.5) | 312
<b>Obesity</b> (*), 331 (51.7) |  640, 74 (51.4) | 144, 83 (46.6) | 178,174 (54.7) | 318
<b>Asplenia</b> (*), 286 (49.2) |  581, 75 (51.0) | 147, 72 (46.8) | 154,139 (49.6) | 280
<b>Malignant neoplasm</b> (*), 303 (48.2) |  628, 69 (50.7) | 136, 75 (45.5) | 165,159 (48.6) | 327
<b>Chronic hematologic disease</b> (*), 305 (47.3) |  645, 80 (51.9) | 154, 72 (44.4) | 162,153 (46.5) | 329
<b>Rheumatologic disorder</b> (*), 345 (53.1) |  650, 88 (50.9) | 173, 80 (50.0) | 160,177 (55.8) | 317
<b>Diabetes mellitus</b> (*), 334 (51.8) |  645, 84 (51.5) | 163, 87 (52.1) | 167,163 (51.7) | 315
