Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,273,286,441
<b><i>TREATMENTS & INTERVENTIONS</i></b>,,,,
<b>Any fluids prescribed</b> (*), 144 (48.8) |  295, 44 (53.7) |  82, 31 (42.5) |  73, 69 (49.3) | 140
<b>Oral rehydration</b> (*), 148 (47.7) |  310, 41 (52.6) |  78, 38 (45.8) |  83, 69 (46.3) | 149
<b>Parenteral IV fluid?</b> (*), 151 (55.1) |  274, 42 (57.5) |  73, 44 (60.3) |  73, 65 (50.8) | 128
<b> Select all parenteral fluid administered</b>,,,,
   ↳ Crystalloid,  74 (27.9) |  265, 27 (38.0) |  71, 19 (27.5) |  69, 28 (22.4) | 125
   ↳ Albumin,  72 (27.2) |  265, 19 (26.8) |  71, 22 (31.9) |  69, 31 (24.8) | 125
   ↳ Gelatin,  65 (24.5) |  265, 22 (31.0) |  71, 21 (30.4) |  69, 22 (17.6) | 125
   ↳ Starches,  66 (24.9) |  265, 21 (29.6) |  71, 17 (24.6) |  69, 28 (22.4) | 125
   ↳ Other,  69 (26.0) |  265, 20 (28.2) |  71, 21 (30.4) |  69, 28 (22.4) | 125
<b>Blood / blood products transfusion</b> (*), 164 (51.4) |  319, 51 (56.7) |  90, 37 (44.6) |  83, 76 (52.1) | 146
<b> Select all blood products that were administered.</b>,,,,
   ↳ Platelets,  84 (27.0) |  311, 22 (25.3) |  87, 16 (19.5) |  82, 46 (32.4) | 142
   ↳ Cryoprecipitate,  75 (24.1) |  311, 29 (33.3) |  87, 15 (18.3) |  82, 31 (21.8) | 142
   ↳ Whole blood/packed RBC,  82 (26.4) |  311, 25 (28.7) |  87, 19 (23.2) |  82, 38 (26.8) | 142
   ↳ Frozen fresh plasma,  71 (22.8) |  311, 27 (31.0) |  87, 13 (15.9) |  82, 31 (21.8) | 142
   ↳ Fibrinogen concentrate,  87 (28.0) |  311, 31 (35.6) |  87, 18 (22.0) |  82, 38 (26.8) | 142
<b>Intravenous immunoglobulin</b> (*), 144 (47.7) |  302, 44 (50.6) |  87, 34 (42.0) |  81, 66 (49.3) | 134
<b>Plasmapheresis / plasma exchange</b> (*), 153 (48.3) |  317, 41 (47.7) |  86, 38 (46.3) |  82, 74 (49.7) | 149
<b>Antibiotics</b> (*), 158 (52.3) |  302, 48 (51.1) |  94, 38 (52.1) |  73, 72 (53.3) | 135
<b>Corticosteroids</b> (*), 150 (49.5) |  303, 37 (46.2) |  80, 36 (45.0) |  80, 77 (53.8) | 143
<b>Supplemental oxygen</b> (*), 169 (50.8) |  333, 38 (44.2) |  86, 45 (52.3) |  86, 86 (53.4) | 161
<b>00) on the day of assessment</b>,,,,
   ↳ Nasal prong,  83 (25.5) |  325, 17 (20.0) |  85, 21 (26.2) |  80, 45 (28.1) | 160
   ↳ Face mask,  77 (23.7) |  325, 19 (22.4) |  85, 16 (20.0) |  80, 42 (26.2) | 160
   ↳ High-flow nasal oxygen,  88 (27.1) |  325, 18 (21.2) |  85, 20 (25.0) |  80, 50 (31.2) | 160
   ↳ Non-invasive ventilation,  82 (25.2) |  325, 21 (24.7) |  85, 20 (25.0) |  80, 41 (25.6) | 160
   ↳ Invasive ventilation,  85 (26.2) |  325, 20 (23.5) |  85, 19 (23.8) |  80, 46 (28.7) | 160
   ↳ ECLS/ ECMO,  79 (24.3) |  325, 16 (18.8) |  85, 21 (26.2) |  80, 42 (26.2) | 160
   ↳ Unknown,  91 (28.0) |  325, 17 (20.0) |  85, 21 (26.2) |  80, 53 (33.1) | 160
<b>PaO2 sample type</b> (*),,,,
   ↳ Arterial,  24 (23.5) |  102,  7 (26.9) |  26,  6 (22.2) |  27, 11 (22.4) |  49
   ↳ Capillary,  28 (27.5) |  102,  9 (34.6) |  26,  5 (18.5) |  27, 14 (28.6) |  49
   ↳ Venous,  22 (21.6) |  102,  5 (19.2) |  26,  8 (29.6) |  27,  9 (18.4) |  49
   ↳ Not done,  28 (27.5) |  102,  5 (19.2) |  26,  8 (29.6) |  27, 15 (30.6) |  49
<b>PaO2 </b> (+),53.5 (31.2-73.5) |  105,60.0 (33.3-75.0) |  26,65.4 (38.5-87.3) |  25,49.0 (29.0-67.5) |  54
<b>FiO2 at time of PaO2 </b> (+),51.9 (27.1-77.0) |  104,48.1 (28.2-67.8) |  26,39.0 (15.2-72.9) |  24,59.5 (30.7-79.0) |  54
<b>Type of non-invasive respiratory support</b> (*),,,,
   ↳ CPAP,  18 (30.0) |   60,  5 (29.4) |  17,  4 (23.5) |  17,  9 (34.6) |  26
   ↳ BIPAP,  21 (35.0) |   60,  7 (41.2) |  17,  4 (23.5) |  17, 10 (38.5) |  26
   ↳ Other,  21 (35.0) |   60,  5 (29.4) |  17,  9 (52.9) |  17,  7 (26.9) |  26
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-venous (VV),  21 (36.2) |   58,  3 (23.1) |  13,  6 (40.0) |  15, 12 (40.0) |  30
   ↳ Veno-arterial (VA),  37 (63.8) |   58, 10 (76.9) |  13,  9 (60.0) |  15, 18 (60.0) |  30
<b><i>INTERVENTIONS</i></b>,,,,
<b>Parenteral / IV fluid</b> (*), 309 (49.1) |  629, 88 (50.6) | 174, 72 (41.9) | 172,149 (52.7) | 283
<b> Select all parenteral / IV fluid that were administered</b>,,,,
   ↳ Crystalloid, 146 (23.7) |  617, 45 (26.6) | 169, 34 (19.9) | 171, 67 (24.2) | 277
   ↳ Albumin, 144 (23.3) |  617, 44 (26.0) | 169, 33 (19.3) | 171, 67 (24.2) | 277
   ↳ Gelatin, 152 (24.6) |  617, 40 (23.7) | 169, 40 (23.4) | 171, 72 (26.0) | 277
   ↳ Starches, 153 (24.8) |  617, 40 (23.7) | 169, 38 (22.2) | 171, 75 (27.1) | 277
