index,label,count
"('comor_rheumatolo',)","('<b>Rheumatologic disorder</b>',)",163
"('comor_tuberculos',)","('<b>Tuberculosis</b>',)",159
"('comor_rheumatolo', 'comor_tuberculos')","('<b>Rheumatologic disorder</b>', '<b>Tuberculosis</b>')",90
"('comor_diabetes_type2',)","('<b>Type 2 diabetes mellitus</b>',)",45
"('comor_liverdisease_type___Mild',)","('<b>Type of liver disease</b>, Mild',)",44
"('comor_smoking_form',)","('<b> Former smoker</b>',)",34
"('comor_diabetes_type2', 'comor_rheumatolo')","('<b>Type 2 diabetes mellitus</b>', '<b>Rheumatologic disorder</b>')",23
"('comor_tuberculos', 'comor_smoking_form')","('<b>Tuberculosis</b>', '<b> Former smoker</b>')",22
"('comor_liverdisease_type___Mild', 'comor_rheumatolo')","('<b>Type of liver disease</b>, Mild', '<b>Rheumatologic disorder</b>')",17
"('comor_diabetes_type2', 'comor_tuberculos')","('<b>Type 2 diabetes mellitus</b>', '<b>Tuberculosis</b>')",16
"('comor_liverdisease_type___Mild', 'comor_tuberculos')","('<b>Type of liver disease</b>, Mild', '<b>Tuberculosis</b>')",15
"('comor_rheumatolo', 'comor_smoking_form')","('<b>Rheumatologic disorder</b>', '<b> Former smoker</b>')",14
"('comor_liverdisease_type___Mild', 'comor_rheumatolo', 'comor_tuberculos')","('<b>Type of liver disease</b>, Mild', '<b>Rheumatologic disorder</b>', '<b>Tuberculosis</b>')",10
"('comor_diabetes_type2', 'comor_rheumatolo', 'comor_tuberculos')","('<b>Type 2 diabetes mellitus</b>', '<b>Rheumatologic disorder</b>', '<b>Tuberculosis</b>')",10
"('comor_rheumatolo', 'comor_tuberculos', 'comor_smoking_form')","('<b>Rheumatologic disorder</b>', '<b>Tuberculosis</b>', '<b> Former smoker</b>')",7
"('comor_liverdisease_type___Mild', 'comor_smoking_form')","('<b>Type of liver disease</b>, Mild', '<b> Former smoker</b>')",6
"('comor_liverdisease_type___Mild', 'comor_diabetes_type2')","('<b>Type of liver disease</b>, Mild', '<b>Type 2 diabetes mellitus</b>')",5
"('comor_diabetes_type2', 'comor_rheumatolo', 'comor_smoking_form')","('<b>Type 2 diabetes mellitus</b>', '<b>Rheumatologic disorder</b>', '<b> Former smoker</b>')",5
"('comor_diabetes_type2', 'comor_smoking_form')","('<b>Type 2 diabetes mellitus</b>', '<b> Former smoker</b>')",5
"('comor_liverdisease_type___Mild', 'comor_tuberculos', 'comor_smoking_form')","('<b>Type of liver disease</b>, Mild', '<b>Tuberculosis</b>', '<b> Former smoker</b>')",3
"('comor_diabetes_type2', 'comor_tuberculos', 'comor_smoking_form')","('<b>Type 2 diabetes mellitus</b>', '<b>Tuberculosis</b>', '<b> Former smoker</b>')",3
"('comor_liverdisease_type___Mild', 'comor_diabetes_type2', 'comor_rheumatolo')","('<b>Type of liver disease</b>, Mild', '<b>Type 2 diabetes mellitus</b>', '<b>Rheumatologic disorder</b>')",2
"('comor_diabetes_type2', 'comor_rheumatolo', 'comor_tuberculos', 'comor_smoking_form')","('<b>Type 2 diabetes mellitus</b>', '<b>Rheumatologic disorder</b>', '<b>Tuberculosis</b>', '<b> Former smoker</b>')",2
"('comor_liverdisease_type___Mild', 'comor_diabetes_type2', 'comor_rheumatolo', 'comor_tuberculos')","('<b>Type of liver disease</b>, Mild', '<b>Type 2 diabetes mellitus</b>', '<b>Rheumatologic disorder</b>', '<b>Tuberculosis</b>')",1
"('comor_liverdisease_type___Mild', 'comor_rheumatolo', 'comor_tuberculos', 'comor_smoking_form')","('<b>Type of liver disease</b>, Mild', '<b>Rheumatologic disorder</b>', '<b>Tuberculosis</b>', '<b> Former smoker</b>')",1
