Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,273,286,441
<b><i>COMPLICATIONS</i></b>,,,,
<b>Seizure</b> (*), 298 (47.9) |  622, 77 (45.0) | 171, 95 (50.3) | 189,126 (48.1) | 262
<b>Focal neurological signs</b> (*), 339 (53.9) |  629, 84 (52.2) | 161,102 (56.4) | 181,153 (53.3) | 287
<b>Encephalitis</b> (*), 307 (49.0) |  627, 84 (47.2) | 178, 81 (48.2) | 168,142 (50.5) | 281
<b>Meningitis</b> (*), 322 (50.2) |  641, 80 (47.9) | 167, 88 (49.4) | 178,154 (52.0) | 296
<b>Cardiac arrhythmia</b> (*), 306 (49.6) |  617, 82 (50.9) | 161, 88 (48.4) | 182,136 (49.6) | 274
<b>Cardiac arrest</b> (*), 317 (50.2) |  632, 92 (52.0) | 177, 81 (47.1) | 172,144 (50.9) | 283
<b>Myocarditis</b> (*), 323 (52.4) |  617, 91 (51.7) | 176, 93 (54.7) | 170,139 (51.3) | 271
<b>Pericarditis</b> (*), 300 (47.2) |  636, 78 (42.9) | 182, 92 (50.0) | 184,130 (48.1) | 270
<b>Pleural effusion</b> (*), 312 (49.6) |  629, 95 (53.7) | 177, 89 (49.7) | 179,128 (46.9) | 273
<b>Acute Respiratory Distress Syndrome (ARDS)</b> (*), 303 (51.5) |  588, 79 (50.0) | 158, 84 (50.6) | 166,140 (53.0) | 264
<b>Ascites</b> (*), 309 (49.6) |  623, 81 (47.6) | 170,107 (61.5) | 174,121 (43.4) | 279
<b>Acute hepatitis</b> (*), 295 (46.0) |  642, 89 (51.1) | 174, 78 (41.7) | 187,128 (45.6) | 281
<b>Severe liver disease (new onset)</b> (*), 328 (50.4) |  651, 82 (48.8) | 168,105 (54.7) | 192,141 (48.5) | 291
<b> Hepatic encephalopathy (any grade)</b> (*),  88 (43.6) |  202, 21 (46.7) |  45, 28 (43.1) |  65, 39 (42.4) |  92
<b>Severe bleeding (requiring intervention)</b> (*), 325 (50.7) |  641, 85 (48.9) | 174, 91 (50.6) | 180,149 (51.9) | 287
<b> Severe bleeding site(s)</b>,,,,
   ↳ Skin, 144 (23.1) |  623, 29 (17.0) | 171, 39 (22.7) | 172, 76 (27.1) | 280
   ↳ Petechiae, 150 (24.1) |  623, 43 (25.1) | 171, 37 (21.5) | 172, 70 (25.0) | 280
   ↳ Nose, 155 (24.9) |  623, 45 (26.3) | 171, 32 (18.6) | 172, 78 (27.9) | 280
   ↳ Gums, 163 (26.2) |  623, 47 (27.5) | 171, 50 (29.1) | 172, 66 (23.6) | 280
   ↳ GI tract, 137 (22.0) |  623, 35 (20.5) | 171, 42 (24.4) | 172, 60 (21.4) | 280
   ↳ Urinary tract, 149 (23.9) |  623, 44 (25.7) | 171, 40 (23.3) | 172, 65 (23.2) | 280
