variable,proportion,label,short_label
comor_rheumatolo,0.5307692307692308,<b>Rheumatologic disorder</b>,<b>Rheumatologic disorder</b>
comor_tuberculos,0.5288611544461779,<b>Tuberculosis</b>,<b>Tuberculosis</b>
comor_diabetes_yn,0.517829457364341,<b>Diabetes mellitus</b>,<b>Diabetes mellitus</b>
comor_obesity,0.5171875,<b>Obesity</b>,<b>Obesity</b>
comor_malnutriti,0.5149136577708007,<b>Malnutrition</b>,<b>Malnutrition</b>
comor_chrneurolo,0.514866979655712,<b>Chronic neurological disorder</b>,<b>Chronic neurological disorder</b>
comor_hepbc,0.5145038167938931,<b>Chronic hepatitis B/C infection</b>,<b>Chronic hepatitis B/C infection</b>
comor_chrpulmona,0.5117739403453689,<b>Chronic pulmonary disease (not asthma)</b>,<b>Chronic pulmonary disease (not asthma)</b>
comor_liverdisease,0.5096774193548387,<b>Liver disease</b>,<b>Liver disease</b>
comor_hypertensi,0.48761609907120745,<b>Hypertension (physician diagnosed)</b>,<b>Hypertension (physician diagnosed)</b>
