variable,proportion,label,short_label
adsym_abdpain,0.5451713395638629,<b>Abdominal pain</b>,<b>Abdominal pain</b>
adsym_fatigue,0.5429017160686428,<b>Fatigue / malaise / lethargy</b>,<b>Fatigue / malaise / lethargy</b>
adsym_vomit,0.5273311897106109,<b>Vomiting</b>,<b>Vomiting</b>
adsym_anorexia,0.5195439739413681,<b>Anorexia</b>,<b>Anorexia</b>
adsym_retroorbit,0.5111111111111111,<b>Retro-orbital pain</b>,<b>Retro-orbital pain</b>
adsym_arthralgia,0.5038880248833593,<b>Joint pain / arthralgia</b>,<b>Joint pain / arthralgia</b>
adsym_skinrash,0.4954268292682927,<b>Skin rash</b>,<b>Skin rash</b>
adsym_restlessne,0.49096385542168675,<b>Restlessness</b>,<b>Restlessness</b>
adsym_headache,0.48875562218890556,<b>Headache</b>,<b>Headache</b>
adsym_feverplus,0.48493975903614456,<b>Fever / chills / rigors</b>,<b>Fever / chills / rigors</b>
