Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,273,286,441
<b><i>TRAVEL HISTORY</i></b>,,,,
<b>Did the patient travel outside of their home region in the past 14 days?</b> (*), 302 (47.3) |  639, 95 (52.2) | 182, 86 (48.6) | 177,121 (43.2) | 280
<b><i>MEDICATION PREVIOUS 7-DAYS</i></b>,,,,
<b>Corticosteroid</b> (*), 295 (47.2) |  625, 77 (46.1) | 167, 78 (43.3) | 180,140 (50.4) | 278
<b>Corticosteroid</b> (*),,,,
   ↳ Other, 275 (100.) |  275, 71 (100.) |  71, 77 (100.) |  77,127 (100.) | 127
<b>Corticosteroid administration route</b> (*),,,,
   ↳ Oral,  43 (19.7) |  218,  8 (14.3) |  56, 17 (27.0) |  63, 18 (18.2) |  99
   ↳ Inhaled,  62 (28.4) |  218, 17 (30.4) |  56, 12 (19.0) |  63, 33 (33.3) |  99
   ↳ IV,  57 (26.1) |  218, 17 (30.4) |  56, 17 (27.0) |  63, 23 (23.2) |  99
   ↳ Topical,  56 (25.7) |  218, 14 (25.0) |  56, 17 (27.0) |  63, 25 (25.3) |  99
<b>Select Corticosteroid</b> (*),,,,
"   ↳ Beclomethasone (Beclometasone, Beconase)",  26 ( 9.8) |  265,  8 (11.3) |  71, 10 (13.7) |  73,  8 ( 6.6) | 121
"   ↳ Betamethasone (Celestone, Betnelan)",  31 (11.7) |  265,  5 ( 7.0) |  71, 10 (13.7) |  73, 16 (13.2) | 121
   ↳ Budesonide (Pulmicort),  29 (10.9) |  265,  7 ( 9.9) |  71,  8 (11.0) |  73, 14 (11.6) | 121
   ↳ Cortisone (Cortone),  34 (12.8) |  265, 10 (14.1) |  71, 10 (13.7) |  73, 14 (11.6) | 121
"   ↳ Fludrocortisone (Astonin, Florinef)",  29 (10.9) |  265,  9 (12.7) |  71,  5 ( 6.8) |  73, 15 (12.4) | 121
"   ↳ Fluticasone (Flovent, Flonase)",  31 (11.7) |  265, 15 (21.1) |  71,  4 ( 5.5) |  73, 12 ( 9.9) | 121
"   ↳ Mometasone (Asmanex, Elocon, Nasonex)",  28 (10.6) |  265,  6 ( 8.5) |  71, 12 (16.4) |  73, 10 ( 8.3) | 121
"   ↳ Triamcinolone (Kenalog, Aristocort)",  23 ( 8.7) |  265,  6 ( 8.5) |  71, 10 (13.7) |  73,  7 ( 5.8) | 121
   ↳ Other,  34 (12.8) |  265,  5 ( 7.0) |  71,  4 ( 5.5) |  73, 25 (20.7) | 121
<b>Immunosuppressant agents (not corticosteroids)</b> (*), 311 (49.6) |  627, 87 (51.5) | 169, 77 (41.8) | 184,147 (53.6) | 274
<b>Select Immunosuppressant agents (not corticosteroids)</b> (*),,,,
   ↳ Other, 302 (100.) |  302, 84 (100.) |  84, 76 (100.) |  76,142 (100.) | 142
<b>Select Select Immunosuppressant agents (not corticosteroids)</b> (*),,,,
   ↳ Abatacept (Orencia),  18 ( 6.2) |  290,  6 ( 7.1) |  84,  4 ( 5.6) |  71,  8 ( 5.9) | 135
"   ↳ Alemtuzumab (Campath, Lemtrada)",  17 ( 5.9) |  290,  6 ( 7.1) |  84,  4 ( 5.6) |  71,  7 ( 5.2) | 135
   ↳ Anakinra,  22 ( 7.6) |  290,  7 ( 8.3) |  84,  5 ( 7.0) |  71, 10 ( 7.4) | 135
   ↳ Basiliximab (Simulect),  22 ( 7.6) |  290,  9 (10.7) |  84,  2 ( 2.8) |  71, 11 ( 8.1) | 135
   ↳ Belatacept (Nulojix),  19 ( 6.6) |  290,  7 ( 8.3) |  84,  6 ( 8.5) |  71,  6 ( 4.4) | 135
"   ↳ Everolimus (Afinitor, Zortress)",  16 ( 5.5) |  290,  2 ( 2.4) |  84,  8 (11.3) |  71,  6 ( 4.4) | 135
   ↳ Leflunomide (Arava),  19 ( 6.6) |  290,  5 ( 6.0) |  84,  7 ( 9.9) |  71,  7 ( 5.2) | 135
   ↳ Mercaptopurine (Purixan),  21 ( 7.2) |  290,  7 ( 8.3) |  84,  4 ( 5.6) |  71, 10 ( 7.4) | 135
   ↳ Natalizumab (Tysabri),  14 ( 4.8) |  290,  5 ( 6.0) |  84,  2 ( 2.8) |  71,  7 ( 5.2) | 135
   ↳ Nivolumab (Opdivo),  16 ( 5.5) |  290,  4 ( 4.8) |  84,  4 ( 5.6) |  71,  8 ( 5.9) | 135
   ↳ Secukinumab (Cosentyx),  17 ( 5.9) |  290,  3 ( 3.6) |  84,  4 ( 5.6) |  71, 10 ( 7.4) | 135
   ↳ Sirolimus (Rapamune),  15 ( 5.2) |  290,  4 ( 4.8) |  84,  2 ( 2.8) |  71,  9 ( 6.7) | 135
   ↳ Thalidomide (Thalomid),  24 ( 8.3) |  290,  5 ( 6.0) |  84,  6 ( 8.5) |  71, 13 ( 9.6) | 135
   ↳ Ustekinumab (Stelara),  22 ( 7.6) |  290,  7 ( 8.3) |  84,  4 ( 5.6) |  71, 11 ( 8.1) | 135
   ↳ Vedolizumab (Entyvio),  16 ( 5.5) |  290,  4 ( 4.8) |  84,  7 ( 9.9) |  71,  5 ( 3.7) | 135
   ↳ Other,  12 ( 4.1) |  290,  3 ( 3.6) |  84,  2 ( 2.8) |  71,  7 ( 5.2) | 135
<b>Antibiotics</b> (*), 301 (48.9) |  616, 81 (47.4) | 171, 89 (48.4) | 184,131 (50.2) | 261
<b>Antibiotics</b> (*),,,,
