index,label,count
"('adsym_abdpain',)","('<b>Abdominal pain</b>',)",71
"('adsym_restlessne',)","('<b>Restlessness</b>',)",67
"('adsym_fatigue',)","('<b>Fatigue / malaise / lethargy</b>',)",59
"('adsym_headache',)","('<b>Headache</b>',)",53
"('adsym_vomit',)","('<b>Vomiting</b>',)",46
"('adsym_fatigue', 'adsym_vomit')","('<b>Fatigue / malaise / lethargy</b>', '<b>Vomiting</b>')",41
"('adsym_fatigue', 'adsym_restlessne')","('<b>Fatigue / malaise / lethargy</b>', '<b>Restlessness</b>')",40
"('adsym_abdpain', 'adsym_headache')","('<b>Abdominal pain</b>', '<b>Headache</b>')",37
"('adsym_abdpain', 'adsym_fatigue')","('<b>Abdominal pain</b>', '<b>Fatigue / malaise / lethargy</b>')",36
"('adsym_fatigue', 'adsym_headache')","('<b>Fatigue / malaise / lethargy</b>', '<b>Headache</b>')",30
"('adsym_vomit', 'adsym_restlessne')","('<b>Vomiting</b>', '<b>Restlessness</b>')",29
"('adsym_vomit', 'adsym_headache')","('<b>Vomiting</b>', '<b>Headache</b>')",28
"('adsym_abdpain', 'adsym_vomit')","('<b>Abdominal pain</b>', '<b>Vomiting</b>')",26
"('adsym_abdpain', 'adsym_restlessne')","('<b>Abdominal pain</b>', '<b>Restlessness</b>')",26
"('adsym_headache', 'adsym_restlessne')","('<b>Headache</b>', '<b>Restlessness</b>')",26
"('adsym_abdpain', 'adsym_fatigue', 'adsym_headache')","('<b>Abdominal pain</b>', '<b>Fatigue / malaise / lethargy</b>', '<b>Headache</b>')",22
"('adsym_vomit', 'adsym_headache', 'adsym_restlessne')","('<b>Vomiting</b>', '<b>Headache</b>', '<b>Restlessness</b>')",21
"('adsym_fatigue', 'adsym_vomit', 'adsym_restlessne')","('<b>Fatigue / malaise / lethargy</b>', '<b>Vomiting</b>', '<b>Restlessness</b>')",20
"('adsym_abdpain', 'adsym_fatigue', 'adsym_vomit', 'adsym_headache')","('<b>Abdominal pain</b>', '<b>Fatigue / malaise / lethargy</b>', '<b>Vomiting</b>', '<b>Headache</b>')",19
"('adsym_abdpain', 'adsym_vomit', 'adsym_restlessne')","('<b>Abdominal pain</b>', '<b>Vomiting</b>', '<b>Restlessness</b>')",19
"('adsym_abdpain', 'adsym_headache', 'adsym_restlessne')","('<b>Abdominal pain</b>', '<b>Headache</b>', '<b>Restlessness</b>')",18
"('adsym_abdpain', 'adsym_fatigue', 'adsym_vomit')","('<b>Abdominal pain</b>', '<b>Fatigue / malaise / lethargy</b>', '<b>Vomiting</b>')",17
"('adsym_abdpain', 'adsym_vomit', 'adsym_headache')","('<b>Abdominal pain</b>', '<b>Vomiting</b>', '<b>Headache</b>')",16
"('adsym_fatigue', 'adsym_vomit', 'adsym_headache')","('<b>Fatigue / malaise / lethargy</b>', '<b>Vomiting</b>', '<b>Headache</b>')",16
"('adsym_abdpain', 'adsym_fatigue', 'adsym_restlessne')","('<b>Abdominal pain</b>', '<b>Fatigue / malaise / lethargy</b>', '<b>Restlessness</b>')",14
"('adsym_abdpain', 'adsym_vomit', 'adsym_headache', 'adsym_restlessne')","('<b>Abdominal pain</b>', '<b>Vomiting</b>', '<b>Headache</b>', '<b>Restlessness</b>')",12
"('adsym_fatigue', 'adsym_headache', 'adsym_restlessne')","('<b>Fatigue / malaise / lethargy</b>', '<b>Headache</b>', '<b>Restlessness</b>')",9
"('adsym_fatigue', 'adsym_vomit', 'adsym_headache', 'adsym_restlessne')","('<b>Fatigue / malaise / lethargy</b>', '<b>Vomiting</b>', '<b>Headache</b>', '<b>Restlessness</b>')",8
"('adsym_abdpain', 'adsym_fatigue', 'adsym_headache', 'adsym_restlessne')","('<b>Abdominal pain</b>', '<b>Fatigue / malaise / lethargy</b>', '<b>Headache</b>', '<b>Restlessness</b>')",7
"('adsym_abdpain', 'adsym_fatigue', 'adsym_vomit', 'adsym_restlessne')","('<b>Abdominal pain</b>', '<b>Fatigue / malaise / lethargy</b>', '<b>Vomiting</b>', '<b>Restlessness</b>')",6
"('adsym_abdpain', 'adsym_fatigue', 'adsym_vomit', 'adsym_headache', 'adsym_restlessne')","('<b>Abdominal pain</b>', '<b>Fatigue / malaise / lethargy</b>', '<b>Vomiting</b>', '<b>Headache</b>', '<b>Restlessness</b>')",4
