variable,proportion,label,short_label
inter_bpt_yn,0.5321543408360129,<b>Blood product transfusion</b>,<b>Blood product transfusion</b>
inter_nacetylcys,0.5173501577287066,<b>N-acetyl cysteine</b>,<b>N-acetyl cysteine</b>
inter_diuretics,0.494488188976378,<b>Diuretics</b>,<b>Diuretics</b>
inter_ivimmunogl,0.49393939393939396,<b>Intravenous immunoglobulin</b>,<b>Intravenous immunoglobulin</b>
inter_ivfluid_occur,0.4912559618441971,<b>Parenteral / IV fluid</b>,<b>Parenteral / IV fluid</b>
inter_plasmaex,0.490625,<b>Plasmapheresis / plasma exchange</b>,<b>Plasmapheresis / plasma exchange</b>
inter_fluiddrain,0.48183254344391785,<b>Fluid drainage</b>,<b>Fluid drainage</b>
inter_suppleo2,0.48125,<b>Any supplemental oxygen?</b>,<b>Any supplemental oxygen?</b>
inter_bpt_type___Frozen fresh plasma,0.2964169381107492,"<b>If yes: Select all blood product transfusion that were administered</b>, Frozen fresh plasma","<b>If yes: Select all blood product ...</b>, Frozen fresh plasma"
inter_bpt_type___Platelets,0.2768729641693811,"<b>If yes: Select all blood product transfusion that were administered</b>, Platelets","<b>If yes: Select all blood product ...</b>, Platelets"
