index,label,count
"('comor_chrkidney', 'comor_liverdisease', 'comor_diabetes', 'comor_malignantn', 'comor_hypertensi')","('<b>Chronic kidney disease</b>', '<b>Liver disease</b>', '<b>Diabetes mellitus</b>', '<b>Malignant neoplasm</b>', '<b>Hypertension</b>')",156
"('comor_chrkidney', 'comor_liverdisease', 'comor_diabetes', 'comor_malignantn')","('<b>Chronic kidney disease</b>', '<b>Liver disease</b>', '<b>Diabetes mellitus</b>', '<b>Malignant neoplasm</b>')",132
"('comor_chrkidney', 'comor_liverdisease', 'comor_diabetes', 'comor_hypertensi')","('<b>Chronic kidney disease</b>', '<b>Liver disease</b>', '<b>Diabetes mellitus</b>', '<b>Hypertension</b>')",106
"('comor_chrkidney', 'comor_liverdisease', 'comor_malignantn', 'comor_hypertensi')","('<b>Chronic kidney disease</b>', '<b>Liver disease</b>', '<b>Malignant neoplasm</b>', '<b>Hypertension</b>')",86
"('comor_chrkidney', 'comor_liverdisease', 'comor_diabetes')","('<b>Chronic kidney disease</b>', '<b>Liver disease</b>', '<b>Diabetes mellitus</b>')",64
"('comor_chrkidney', 'comor_liverdisease', 'comor_malignantn')","('<b>Chronic kidney disease</b>', '<b>Liver disease</b>', '<b>Malignant neoplasm</b>')",64
"('comor_chrkidney', 'comor_diabetes', 'comor_malignantn', 'comor_hypertensi')","('<b>Chronic kidney disease</b>', '<b>Diabetes mellitus</b>', '<b>Malignant neoplasm</b>', '<b>Hypertension</b>')",49
"('comor_chrkidney', 'comor_liverdisease')","('<b>Chronic kidney disease</b>', '<b>Liver disease</b>')",48
"('comor_chrkidney', 'comor_liverdisease', 'comor_hypertensi')","('<b>Chronic kidney disease</b>', '<b>Liver disease</b>', '<b>Hypertension</b>')",41
"('comor_liverdisease', 'comor_diabetes', 'comor_malignantn', 'comor_hypertensi')","('<b>Liver disease</b>', '<b>Diabetes mellitus</b>', '<b>Malignant neoplasm</b>', '<b>Hypertension</b>')",32
"('comor_chrkidney', 'comor_diabetes', 'comor_hypertensi')","('<b>Chronic kidney disease</b>', '<b>Diabetes mellitus</b>', '<b>Hypertension</b>')",25
"('comor_chrkidney', 'comor_diabetes', 'comor_malignantn')","('<b>Chronic kidney disease</b>', '<b>Diabetes mellitus</b>', '<b>Malignant neoplasm</b>')",23
"('comor_liverdisease', 'comor_diabetes')","('<b>Liver disease</b>', '<b>Diabetes mellitus</b>')",22
"('comor_liverdisease', 'comor_diabetes', 'comor_malignantn')","('<b>Liver disease</b>', '<b>Diabetes mellitus</b>', '<b>Malignant neoplasm</b>')",21
"('comor_chrkidney', 'comor_diabetes')","('<b>Chronic kidney disease</b>', '<b>Diabetes mellitus</b>')",17
"('comor_chrkidney', 'comor_malignantn')","('<b>Chronic kidney disease</b>', '<b>Malignant neoplasm</b>')",15
"('comor_liverdisease', 'comor_diabetes', 'comor_hypertensi')","('<b>Liver disease</b>', '<b>Diabetes mellitus</b>', '<b>Hypertension</b>')",15
"('comor_chrkidney', 'comor_hypertensi')","('<b>Chronic kidney disease</b>', '<b>Hypertension</b>')",13
"('comor_chrkidney', 'comor_malignantn', 'comor_hypertensi')","('<b>Chronic kidney disease</b>', '<b>Malignant neoplasm</b>', '<b>Hypertension</b>')",11
"('comor_liverdisease', 'comor_malignantn', 'comor_hypertensi')","('<b>Liver disease</b>', '<b>Malignant neoplasm</b>', '<b>Hypertension</b>')",9
"('comor_liverdisease', 'comor_malignantn')","('<b>Liver disease</b>', '<b>Malignant neoplasm</b>')",9
"('comor_chrkidney',)","('<b>Chronic kidney disease</b>',)",7
"('comor_liverdisease', 'comor_hypertensi')","('<b>Liver disease</b>', '<b>Hypertension</b>')",7
"('comor_malignantn', 'comor_hypertensi')","('<b>Malignant neoplasm</b>', '<b>Hypertension</b>')",6
"('comor_liverdisease',)","('<b>Liver disease</b>',)",5
"('comor_diabetes', 'comor_malignantn', 'comor_hypertensi')","('<b>Diabetes mellitus</b>', '<b>Malignant neoplasm</b>', '<b>Hypertension</b>')",4
"('comor_diabetes', 'comor_malignantn')","('<b>Diabetes mellitus</b>', '<b>Malignant neoplasm</b>')",3
"('comor_diabetes',)","('<b>Diabetes mellitus</b>',)",3
"('comor_malignantn',)","('<b>Malignant neoplasm</b>',)",3
"('comor_diabetes', 'comor_hypertensi')","('<b>Diabetes mellitus</b>', '<b>Hypertension</b>')",2
"('comor_hypertensi',)","('<b>Hypertension</b>',)",1
