index,label,count
"('adsym_reduvisiacu', 'adsym_palpitations', 'adsym_sorethroat', 'adsym_pruritus', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",442
"('adsym_reduvisiacu', 'adsym_palpitations', 'adsym_sorethroat', 'adsym_pruritus')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Sore throat</b>', '<b>Itch / pruritus</b>')",151
"('adsym_reduvisiacu', 'adsym_sorethroat', 'adsym_pruritus', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",91
"('adsym_palpitations', 'adsym_sorethroat', 'adsym_pruritus', 'adsym_chestindrw')","('<b>Palpitations</b>', '<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",65
"('adsym_reduvisiacu', 'adsym_palpitations', 'adsym_sorethroat', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Sore throat</b>', '<b>Lower chest wall indrawing</b>')",53
"('adsym_reduvisiacu', 'adsym_palpitations', 'adsym_pruritus', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",51
"('adsym_reduvisiacu', 'adsym_sorethroat', 'adsym_pruritus')","('<b>Newly reduced visual acuity</b>', '<b>Sore throat</b>', '<b>Itch / pruritus</b>')",35
"('adsym_palpitations', 'adsym_sorethroat', 'adsym_pruritus')","('<b>Palpitations</b>', '<b>Sore throat</b>', '<b>Itch / pruritus</b>')",19
"('adsym_reduvisiacu', 'adsym_palpitations', 'adsym_sorethroat')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Sore throat</b>')",18
"('adsym_reduvisiacu', 'adsym_palpitations', 'adsym_pruritus')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Itch / pruritus</b>')",14
"('adsym_reduvisiacu', 'adsym_sorethroat', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Sore throat</b>', '<b>Lower chest wall indrawing</b>')",12
"('adsym_reduvisiacu', 'adsym_pruritus', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",12
"('adsym_palpitations', 'adsym_sorethroat', 'adsym_chestindrw')","('<b>Palpitations</b>', '<b>Sore throat</b>', '<b>Lower chest wall indrawing</b>')",9
"('adsym_reduvisiacu', 'adsym_palpitations', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Lower chest wall indrawing</b>')",5
"('adsym_sorethroat', 'adsym_pruritus', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",5
"('adsym_palpitations', 'adsym_pruritus')","('<b>Palpitations</b>', '<b>Itch / pruritus</b>')",3
"('adsym_sorethroat', 'adsym_pruritus')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>')",3
"('adsym_reduvisiacu', 'adsym_pruritus')","('<b>Newly reduced visual acuity</b>', '<b>Itch / pruritus</b>')",2
"('adsym_reduvisiacu', 'adsym_sorethroat')","('<b>Newly reduced visual acuity</b>', '<b>Sore throat</b>')",2
"('adsym_sorethroat', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Lower chest wall indrawing</b>')",2
"('adsym_reduvisiacu', 'adsym_palpitations')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>')",1
"('adsym_reduvisiacu', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Lower chest wall indrawing</b>')",1
"('adsym_palpitations', 'adsym_pruritus', 'adsym_chestindrw')","('<b>Palpitations</b>', '<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",1
"('adsym_palpitations', 'adsym_sorethroat')","('<b>Palpitations</b>', '<b>Sore throat</b>')",1
"('adsym_pruritus', 'adsym_chestindrw')","('<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",1
"('adsym_chestindrw',)","('<b>Lower chest wall indrawing</b>',)",1
