side,y_axis,stack_group,value,left_side
Female,0-5,Censored,74,True
Female,0-5,Death,75,True
Female,0-5,Discharged,44,True
Female,6-10,Censored,21,True
Female,6-10,Death,21,True
Female,6-10,Discharged,9,True
Female,11-15,Censored,2,True
Female,16-20,Censored,1,True
Female,21-25,Censored,1,True
Female,21-25,Death,2,True
Female,26-30,Discharged,2,True
Female,31-35,Censored,2,True
Female,36-40,Death,1,True
Female,36-40,Discharged,1,True
Female,41-45,Death,1,True
Female,41-45,Discharged,1,True
Female,46-50,Death,3,True
Female,46-50,Discharged,1,True
Female,51-55,Censored,1,True
Female,51-55,Death,1,True
Female,56-60,Censored,1,True
Female,56-60,Death,1,True
Female,66-70,Censored,1,True
Female,66-70,Death,3,True
Female,66-70,Discharged,1,True
Female,71-75,Censored,2,True
Female,76-80,Death,1,True
Female,81-85,Censored,1,True
Female,86-90,Death,1,True
Female,86-90,Discharged,1,True
Male,0-5,Censored,28,False
Male,0-5,Death,23,False
Male,0-5,Discharged,15,False
Male,6-10,Censored,9,False
Male,6-10,Death,2,False
Male,6-10,Discharged,5,False
Male,11-15,Death,1,False
Male,36-40,Death,1,False
Male,56-60,Censored,1,False
Male,61-65,Censored,1,False
Male,66-70,Discharged,1,False
Male,71-75,Death,2,False
Male,81-85,Censored,1,False
Male,81-85,Death,1,False
Male,86-90,Death,1,False
