index,label,count
"('inter_isolation',)","('<b>Was the patient isolated at home or in hospital?</b>',)",262
"('inter_isolation', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",109
"('inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",103
"('inter_ecmo___Veno-venous (VV)', 'inter_isolation', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Type of ECLS / ECMO</b>, Veno-venous (VV)', '<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",62
"('inter_ecmo___Veno-venous (VV)', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Type of ECLS / ECMO</b>, Veno-venous (VV)', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",58
"('inter_suppleo2',)","('<b>Any supplemental oxygen?</b>',)",38
"('inter_isolation', 'inter_suppleo2')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>')",37
"('inter_nivent___CPAP', 'inter_isolation', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Type of non-invasive ventilation</b>, CPAP', '<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",11
"('inter_nivent___CPAP', 'inter_isolation', 'inter_suppleo2')","('<b>Type of non-invasive ventilation</b>, CPAP', '<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>')",5
"('inter_ecmo___Veno-venous (VV)', 'inter_nivent___CPAP', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Type of ECLS / ECMO</b>, Veno-venous (VV)', '<b>Type of non-invasive ventilation</b>, CPAP', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",4
"('inter_nivent___CPAP', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Type of non-invasive ventilation</b>, CPAP', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",4
"('inter_ecmo___Veno-venous (VV)', 'inter_nivent___CPAP', 'inter_isolation', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Type of ECLS / ECMO</b>, Veno-venous (VV)', '<b>Type of non-invasive ventilation</b>, CPAP', '<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",2
"('inter_nivent___CPAP', 'inter_suppleo2')","('<b>Type of non-invasive ventilation</b>, CPAP', '<b>Any supplemental oxygen?</b>')",1
