Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,215,402,383
<b><i>COMPLICATIONS</i></b>,,,,
<b>Stroke / cerebrovascular accident</b> (*), 469 (53.8) |  871, 99 (55.0) | 180,184 (50.8) | 362,186 (56.5) | 329
<b>Severe neurological disease</b> (*), 415 (46.3) |  896, 87 (47.0) | 185,151 (41.5) | 364,177 (51.0) | 347
<b>Seizure</b> (*), 191 (24.3) |  785, 41 (23.8) | 172, 76 (24.5) | 310, 74 (24.4) | 303
<b>Encephalitis</b> (*), 226 (25.1) |  900, 54 (28.1) | 192, 97 (27.2) | 356, 75 (21.3) | 352
<b>Meningitis</b> (*),  49 ( 6.4) |  770, 14 ( 8.3) | 168, 20 ( 6.7) | 299, 15 ( 5.0) | 303
<b>Myocardial infarction</b> (*), 834 (97.0) |  860,178 (95.2) | 187,321 (96.7) | 332,335 (98.2) | 341
<b>Cardiac ischaemia</b> (*), 393 (47.4) |  829, 81 (43.8) | 185,154 (47.1) | 327,158 (49.8) | 317
<b>Endocarditis</b> (*),  92 (11.5) |  797, 22 (12.5) | 176, 39 (11.9) | 328, 31 (10.6) | 293
<b>Cardiomyopathy</b> (*), 572 (66.8) |  856,110 (63.2) | 174,239 (67.9) | 352,223 (67.6) | 330
<b>Congestive heart failure</b> (*), 693 (90.4) |  767,148 (90.8) | 163,278 (88.8) | 313,267 (91.8) | 291
<b>Cardiac arrhythmia</b> (*), 497 (56.7) |  876,110 (60.4) | 182,200 (57.0) | 351,187 (54.5) | 343
<b>Cardiac arrest</b> (*), 634 (69.5) |  912,131 (68.2) | 192,252 (68.1) | 370,251 (71.7) | 350
<b>Myocarditis</b> (*), 757 (80.4) |  941,158 (77.8) | 203,301 (79.0) | 381,298 (83.5) | 357
<b>Pericarditis</b> (*), 785 (96.1) |  817,155 (95.1) | 163,327 (96.7) | 338,303 (95.9) | 316
<b>Viral pneumonia / pneumonitis</b> (*),  14 ( 1.7) |  809,  3 ( 1.8) | 168,  6 ( 1.8) | 330,  5 ( 1.6) | 311
<b>Bacterial pneumonia</b> (*), 838 (96.1) |  872,177 (95.2) | 186,344 (97.2) | 354,317 (95.5) | 332
<b>Pneumothorax</b> (*), 458 (48.9) |  937,105 (51.7) | 203,190 (50.4) | 377,163 (45.7) | 357
