variable,proportion,label,short_label
comor_hypertensi,0.9949685534591195,<b>Hypertension (physician diagnosed)</b>,<b>Hypertension (physician diagnosed)</b>
comor_tuberculos,0.9845132743362832,<b>Tuberculosis</b>,<b>Tuberculosis</b>
comor_asthma,0.9488054607508533,<b>Asthma (physician diagnosed)</b>,<b>Asthma (physician diagnosed)</b>
comor_chrkidney,0.9462025316455697,<b>Chronic kidney disease</b>,<b>Chronic kidney disease</b>
comor_liverdisease,0.9456018518518519,<b>Liver disease</b>,<b>Liver disease</b>
comor_smoking_yn,0.585956416464891,<b>Ever smoked</b>,<b>Ever smoked</b>
comor_malnutriti,0.4989010989010989,<b>Malnutrition</b>,<b>Malnutrition</b>
comor_chrpulmona,0.4592680047225502,<b>Chronic pulmonary disease (not asthma)</b>,<b>Chronic pulmonary disease (not asthma)</b>
comor_diabetes_yn,0.401330376940133,<b>Diabetes mellitus</b>,<b>Diabetes mellitus</b>
comor_chrcardiac,0.3942307692307692,<b>Chronic cardiac disease (not hypertension)</b>,<b>Chronic cardiac disease (not ...</b>
