Variable,All,Female,Male,Other / Unknown
<b>Totals</b>,1000,289,101,610
<b><i>DEMOGRAPHICS</i></b>,,,,
<b>Gender</b> (*),,,,
   ↳ Man, 134 (15.5) |  863, 38 (15.1) | 251, 13 (14.4) |  90, 83 (15.9) | 522
   ↳ Woman, 235 (27.2) |  863, 73 (29.1) | 251, 27 (30.0) |  90,135 (25.9) | 522
   ↳ Transgender,  99 (11.5) |  863, 33 (13.1) | 251,  9 (10.0) |  90, 57 (10.9) | 522
   ↳ Non-binary, 255 (29.5) |  863, 69 (27.5) | 251, 24 (26.7) |  90,162 (31.0) | 522
   ↳ Other, 140 (16.2) |  863, 38 (15.1) | 251, 17 (18.9) |  90, 85 (16.3) | 522
<b>Age</b> (+),2.9 (0.2-6.6) |  943,2.8 (0.2-6.6) | 277,3.3 (0.2-6.2) |  92,2.7 (0.2-6.6) | 574
<b>Height </b> (+),117.0 ( 57.7-178.1) |  945,111.0 ( 49.9-176.2) | 270,130.0 ( 66.5-185.7) | 100,118.0 ( 58.2-177.7) | 575
<b>Weight </b> (+), 866.2 ( 409.7-1296.8) |  935, 807.2 ( 347.4-1278.2) | 268, 820.2 ( 389.4-1361.5) |  98, 908.4 ( 451.5-1294.0) | 569
<b>Race (select all that apply)</b>,,,,
   ↳ Arab, 591 (59.1) | 1000,169 (58.5) | 289, 59 (58.4) | 101,363 (59.5) | 610
   ↳ Black, 362 (36.2) | 1000,106 (36.7) | 289, 35 (34.7) | 101,221 (36.2) | 610
   ↳ East Asian,  53 ( 5.3) | 1000, 16 ( 5.5) | 289,  2 ( 2.0) | 101, 35 ( 5.7) | 610
   ↳ South Asian, 241 (24.1) | 1000, 71 (24.6) | 289, 22 (21.8) | 101,148 (24.3) | 610
   ↳ South-East Asian, 381 (38.1) | 1000,117 (40.5) | 289, 40 (39.6) | 101,224 (36.7) | 610
   ↳ West Asian, 254 (25.4) | 1000, 61 (21.1) | 289, 27 (26.7) | 101,166 (27.2) | 610
   ↳ Latin American, 550 (55.0) | 1000,157 (54.3) | 289, 65 (64.4) | 101,328 (53.8) | 610
   ↳ White, 772 (77.2) | 1000,222 (76.8) | 289, 80 (79.2) | 101,470 (77.0) | 610
   ↳ Aboriginal/First Nations/Indigenous, 580 (58.0) | 1000,162 (56.1) | 289, 61 (60.4) | 101,357 (58.5) | 610
   ↳ Other,  51 ( 5.1) | 1000, 16 ( 5.5) | 289, 10 ( 9.9) | 101, 25 ( 4.1) | 610
   ↳ Unknown, 512 (51.2) | 1000,139 (48.1) | 289, 57 (56.4) | 101,316 (51.8) | 610
<b>Patient's occupation</b> (*),,,,
   ↳ Abattoir Worker,  11 ( 1.2) |  945,  2 ( 0.7) | 268,  1 ( 1.0) |  97,  8 ( 1.4) | 580
   ↳ Beef Cattle Farm Worker,  49 ( 5.2) |  945, 15 ( 5.6) | 268,  4 ( 4.1) |  97, 30 ( 5.2) | 580
   ↳ Dairy Farm Worker, 179 (18.9) |  945, 54 (20.1) | 268, 21 (21.6) |  97,104 (17.9) | 580
   ↳ Healthcare Worker, 224 (23.7) |  945, 55 (20.5) | 268, 22 (22.7) |  97,147 (25.3) | 580
   ↳ Poultry Farm Worker, 182 (19.3) |  945, 56 (20.9) | 268, 19 (19.6) |  97,107 (18.4) | 580
   ↳ Veterinarian,  72 ( 7.6) |  945, 25 ( 9.3) | 268,  6 ( 6.2) |  97, 41 ( 7.1) | 580
   ↳ Other, 228 (24.1) |  945, 61 (22.8) | 268, 24 (24.7) |  97,143 (24.7) | 580
<b>Select Patient's occupation</b> (*),,,,
   ↳ Public Transport Worker,  30 (13.8) |  217,  7 (11.9) |  59,  3 (12.5) |  24, 20 (14.9) | 134
   ↳ Sanitation Worker, 177 (81.6) |  217, 49 (83.1) |  59, 20 (83.3) |  24,108 (80.6) | 134
   ↳ Other,  10 ( 4.6) |  217,  3 ( 5.1) |  59,  1 ( 4.2) |  24,  6 ( 4.5) | 134
<b><i>CO-MORBIDITIES AND RISK FACTORS</i></b>,,,,
<b>Chronic neurological disorder</b> (*), 354 (45.5) |  778,113 (47.1) | 240, 33 (39.3) |  84,208 (45.8) | 454
<b>Dementia</b> (*), 199 (23.6) |  844, 60 (24.7) | 243, 21 (24.4) |  86,118 (22.9) | 515
<b>Chronic cardiac disease (not hypertension)</b> (*), 369 (39.4) |  936, 98 (36.8) | 266, 48 (51.1) |  94,223 (38.7) | 576
<b>Hypertension (physician diagnosed)</b> (*), 791 (99.5) |  795,222 (99.1) | 224, 86 (100.) |  86,483 (99.6) | 485
<b>Chronic pulmonary disease (not asthma)</b> (*), 389 (45.9) |  847,116 (46.4) | 250, 40 (47.6) |  84,233 (45.4) | 513
<b>Asthma (physician diagnosed)</b> (*), 834 (94.9) |  879,227 (93.0) | 244, 82 (97.6) |  84,525 (95.3) | 551
<b>Chronic kidney disease</b> (*), 897 (94.6) |  948,260 (95.2) | 273, 82 (87.2) |  94,555 (95.5) | 581
<b>Stage of chronic kidney disease</b> (*),,,,
   ↳ Stage 1,  72 ( 9.5) |  754, 22 (10.5) | 210,  6 ( 8.8) |  68, 44 ( 9.2) | 476
   ↳ Stage 2,  81 (10.7) |  754, 23 (11.0) | 210, 10 (14.7) |  68, 48 (10.1) | 476
   ↳ Stage 3a,  50 ( 6.6) |  754, 23 (11.0) | 210,  2 ( 2.9) |  68, 25 ( 5.3) | 476
   ↳ Stage 3b, 311 (41.2) |  754, 81 (38.6) | 210, 27 (39.7) |  68,203 (42.6) | 476
   ↳ Stage 4,  48 ( 6.4) |  754, 10 ( 4.8) | 210,  5 ( 7.4) |  68, 33 ( 6.9) | 476
   ↳ Stage 5, 192 (25.5) |  754, 51 (24.3) | 210, 18 (26.5) |  68,123 (25.8) | 476
<b>Liver disease</b> (*), 817 (94.6) |  864,235 (94.0) | 250, 84 (97.7) |  86,498 (94.3) | 528
<b>Type of liver disease</b> (*),,,,
   ↳ Mild, 354 (66.4) |  533, 96 (63.6) | 151, 36 (61.0) |  59,222 (68.7) | 323
   ↳ Moderate or severe, 179 (33.6) |  533, 55 (36.4) | 151, 23 (39.0) |  59,101 (31.3) | 323
<b>HIV</b> (*), 346 (38.1) |  908,120 (45.6) | 263, 39 (40.2) |  97,187 (34.1) | 548
<b> Is the patient on anti-retroviral therapy (ART)?</b> (*), 151 (57.4) |  263, 43 (51.2) |  84, 20 (62.5) |  32, 88 (59.9) | 147
<b> Most recent CD4 count (cells/uL)</b> (*),,,,
   ↳ Less than 50,  68 (28.2) |  241, 22 (27.5) |  80,  2 ( 8.0) |  25, 44 (32.4) | 136
   ↳ 50-99,  13 ( 5.4) |  241,  9 (11.2) |  80,  1 ( 4.0) |  25,  3 ( 2.2) | 136
   ↳ 100-199,  32 (13.3) |  241,  9 (11.2) |  80,  3 (12.0) |  25, 20 (14.7) | 136
   ↳ 200-499,  31 (12.9) |  241,  8 (10.0) |  80,  3 (12.0) |  25, 20 (14.7) | 136
   ↳ 500 and over,  97 (40.2) |  241, 32 (40.0) |  80, 16 (64.0) |  25, 49 (36.0) | 136
<b> Is HIV viral load detectable</b> (*),,,,
   ↳ Yes-detectable, 131 (47.8) |  274, 47 (49.0) |  96, 18 (54.5) |  33, 66 (45.5) | 145
   ↳ No, 143 (52.2) |  274, 49 (51.0) |  96, 15 (45.5) |  33, 79 (54.5) | 145
<b> Most recent HIV viral load (copies/mL)</b> (+),2613250.9 (1538454.4-3902462.5) |  129,3093371.3 (1878708.1-4098664.5) |  47,3194529.8 (1811415.1-3989198.5) |  18,2497183.0 (1298926.6-3625350.1) |  64
<b>Tuberculosis</b> (*), 890 (98.5) |  904,254 (99.2) | 256, 96 (99.0) |  97,540 (98.0) | 551
<b> Specify tuberculosis type</b>,,,,
   ↳ Active pulmonary,  30 ( 3.3) |  904,  5 ( 2.0) | 256,  7 ( 7.2) |  97, 18 ( 3.3) | 551
   ↳ Active extra-pulmonary, 198 (21.9) |  904, 61 (23.8) | 256, 23 (23.7) |  97,114 (20.7) | 551
   ↳ Latent,  26 ( 2.9) |  904, 11 ( 4.3) | 256,  0 ( 0.0) |  97, 15 ( 2.7) | 551
