variable,proportion,label,short_label
sympt_wheezing,0.9707112970711297,<b>Wheezing</b>,<b>Wheezing</b>
sympt_dizzy,0.9479166666666666,<b>Feeling dizzy / faint</b>,<b>Feeling dizzy / faint</b>
sympt_dailydata,0.8985355648535565,<b>Enter signs and symptoms data for this date?</b>,<b>Enter signs and symptoms data for this ...</b>
sympt_cough_hemop,0.8983050847457628,<b>Hemoptysis</b>,<b>Hemoptysis</b>
sympt_anosmia,0.8926342072409488,<b>Loss of smell / anosmia</b>,<b>Loss of smell / anosmia</b>
sympt_vomit2d,0.8506787330316742,<b>Persistent vomiting? (>=2/day)</b>,<b>Persistent vomiting? (>=2/day)</b>
sympt_shortbreat,0.8485254691689008,<b>Shortness of breath </b>,<b>Shortness of breath </b>
sympt_unlisted_1addi,0.8326359832635983,<b>>Any additional other sign(s) or symptom(s) ?</b>,<b>>Any additional other sign(s) or ...</b>
sympt_jaund,0.821608040201005,<b>Jaundice</b>,<b>Jaundice</b>
sympt_unlisted_3addi,0.8064516129032258,<b>>->Any additional other sign(s) or symptom(s) ?</b>,<b>>->Any additional other sign(s) or ...</b>
