index,label,count
"('adsym_sorethroat', 'adsym_pruritus', 'adsym_reduvisiacu', 'adsym_palpitations', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Lower chest wall indrawing</b>')",442
"('adsym_sorethroat', 'adsym_pruritus', 'adsym_reduvisiacu', 'adsym_palpitations')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>')",151
"('adsym_sorethroat', 'adsym_pruritus', 'adsym_reduvisiacu', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Newly reduced visual acuity</b>', '<b>Lower chest wall indrawing</b>')",91
"('adsym_sorethroat', 'adsym_pruritus', 'adsym_palpitations', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Palpitations</b>', '<b>Lower chest wall indrawing</b>')",65
"('adsym_sorethroat', 'adsym_reduvisiacu', 'adsym_palpitations', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Lower chest wall indrawing</b>')",53
"('adsym_pruritus', 'adsym_reduvisiacu', 'adsym_palpitations', 'adsym_chestindrw')","('<b>Itch / pruritus</b>', '<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Lower chest wall indrawing</b>')",51
"('adsym_sorethroat', 'adsym_pruritus', 'adsym_reduvisiacu')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Newly reduced visual acuity</b>')",35
"('adsym_sorethroat', 'adsym_pruritus', 'adsym_palpitations')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Palpitations</b>')",19
"('adsym_sorethroat', 'adsym_reduvisiacu', 'adsym_palpitations')","('<b>Sore throat</b>', '<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>')",18
"('adsym_pruritus', 'adsym_reduvisiacu', 'adsym_palpitations')","('<b>Itch / pruritus</b>', '<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>')",14
"('adsym_sorethroat', 'adsym_reduvisiacu', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Newly reduced visual acuity</b>', '<b>Lower chest wall indrawing</b>')",12
"('adsym_pruritus', 'adsym_reduvisiacu', 'adsym_chestindrw')","('<b>Itch / pruritus</b>', '<b>Newly reduced visual acuity</b>', '<b>Lower chest wall indrawing</b>')",12
"('adsym_sorethroat', 'adsym_palpitations', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Palpitations</b>', '<b>Lower chest wall indrawing</b>')",9
"('adsym_sorethroat', 'adsym_pruritus', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",5
"('adsym_reduvisiacu', 'adsym_palpitations', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>', '<b>Lower chest wall indrawing</b>')",5
"('adsym_sorethroat', 'adsym_pruritus')","('<b>Sore throat</b>', '<b>Itch / pruritus</b>')",3
"('adsym_pruritus', 'adsym_palpitations')","('<b>Itch / pruritus</b>', '<b>Palpitations</b>')",3
"('adsym_sorethroat', 'adsym_reduvisiacu')","('<b>Sore throat</b>', '<b>Newly reduced visual acuity</b>')",2
"('adsym_sorethroat', 'adsym_chestindrw')","('<b>Sore throat</b>', '<b>Lower chest wall indrawing</b>')",2
"('adsym_pruritus', 'adsym_reduvisiacu')","('<b>Itch / pruritus</b>', '<b>Newly reduced visual acuity</b>')",2
"('adsym_sorethroat', 'adsym_palpitations')","('<b>Sore throat</b>', '<b>Palpitations</b>')",1
"('adsym_pruritus', 'adsym_palpitations', 'adsym_chestindrw')","('<b>Itch / pruritus</b>', '<b>Palpitations</b>', '<b>Lower chest wall indrawing</b>')",1
"('adsym_pruritus', 'adsym_chestindrw')","('<b>Itch / pruritus</b>', '<b>Lower chest wall indrawing</b>')",1
"('adsym_reduvisiacu', 'adsym_chestindrw')","('<b>Newly reduced visual acuity</b>', '<b>Lower chest wall indrawing</b>')",1
"('adsym_reduvisiacu', 'adsym_palpitations')","('<b>Newly reduced visual acuity</b>', '<b>Palpitations</b>')",1
"('adsym_chestindrw',)","('<b>Lower chest wall indrawing</b>',)",1
