index,label,count
"('treat_o2supp_suppleo2', 'treat_dailydata')","('<b>Supplemental oxygen</b>', '<b>Enter Treatments & Interventions data for this date?</b>')",422
"('treat_dailydata',)","('<b>Enter Treatments & Interventions data for this date?</b>',)",140
"('treat_o2supp_suppleo2', 'treat_dailydata', 'treat_o2supp_ecmotyp___Veno-venous (VV)')","('<b>Supplemental oxygen</b>', '<b>Enter Treatments & Interventions data for this date?</b>', '<b>Type of ECLS / ECMO</b>, Veno-venous (VV)')",122
"('treat_o2supp_suppleo2', 'treat_dailydata', 'treat_o2supp_nivtyp___BIPAP')","('<b>Supplemental oxygen</b>', '<b>Enter Treatments & Interventions data for this date?</b>', '<b>Type of non-invasive respiratory support</b>, BIPAP')",89
"('treat_o2supp_suppleo2', 'treat_dailydata', 'treat_o2supp_ecmotyp___Veno-venous (VV)', 'treat_o2supp_nivtyp___BIPAP')","('<b>Supplemental oxygen</b>', '<b>Enter Treatments & Interventions data for this date?</b>', '<b>Type of ECLS / ECMO</b>, Veno-venous (VV)', '<b>Type of non-invasive respiratory support</b>, BIPAP')",32
"('treat_o2supp_suppleo2', 'treat_dailydata', 'treat_prone_when___Whilst self-ventilating')","('<b>Supplemental oxygen</b>', '<b>Enter Treatments & Interventions data for this date?</b>', '<b>If yes: When was the prone positioning?</b>, Whilst self-ventilating')",25
"('treat_o2supp_suppleo2', 'treat_dailydata', 'treat_o2supp_ecmotyp___Veno-venous (VV)', 'treat_prone_when___Whilst self-ventilating')","('<b>Supplemental oxygen</b>', '<b>Enter Treatments & Interventions data for this date?</b>', '<b>Type of ECLS / ECMO</b>, Veno-venous (VV)', '<b>If yes: When was the prone positioning?</b>, Whilst self-ventilating')",7
"('treat_o2supp_suppleo2', 'treat_dailydata', 'treat_o2supp_ecmotyp___Veno-venous (VV)', 'treat_prone_when___Whilst self-ventilating', 'treat_o2supp_nivtyp___BIPAP')","('<b>Supplemental oxygen</b>', '<b>Enter Treatments & Interventions data for this date?</b>', '<b>Type of ECLS / ECMO</b>, Veno-venous (VV)', '<b>If yes: When was the prone positioning?</b>, Whilst self-ventilating', '<b>Type of non-invasive respiratory support</b>, BIPAP')",4
"('treat_dailydata', 'treat_prone_when___Whilst self-ventilating')","('<b>Enter Treatments & Interventions data for this date?</b>', '<b>If yes: When was the prone positioning?</b>, Whilst self-ventilating')",4
"('treat_o2supp_suppleo2', 'treat_dailydata', 'treat_prone_when___Whilst self-ventilating', 'treat_o2supp_nivtyp___BIPAP')","('<b>Supplemental oxygen</b>', '<b>Enter Treatments & Interventions data for this date?</b>', '<b>If yes: When was the prone positioning?</b>, Whilst self-ventilating', '<b>Type of non-invasive respiratory support</b>, BIPAP')",2
