variable,proportion,label,short_label
inter_ecmo___Veno-venous (VV),0.5887850467289719,"<b>Type of ECLS / ECMO</b>, Veno-venous (VV)","<b>Type of ECLS / ECMO</b>, Veno-venous (VV)"
inter_isolation,0.5551763367463026,<b>Was the patient isolated at home or in hospital?</b>,<b>Was the patient isolated at home or in ...</b>
inter_suppleo2,0.5279805352798054,<b>Any supplemental oxygen?</b>,<b>Any supplemental oxygen?</b>
inter_o2support_type___ECLS/ ECMO,0.42944038929440387,"<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO","<b>If yes: Select all types of respiratory ...</b>, ECLS/ ECMO"
inter_ecmo___Veno-arterial (VA),0.411214953271028,"<b>Type of ECLS / ECMO</b>, Veno-arterial (VA)","<b>Type of ECLS / ECMO</b>, Veno-arterial (VA)"
inter_o2support_type___Invasive ventilation,0.3819951338199513,"<b>If yes: Select all types of respiratory support the patient received</b>, Invasive ventilation","<b>If yes: Select all types of respiratory ...</b>, Invasive ventilation"
inter_suppleo2_flow___<2 L/min,0.35789473684210527,"<b>Maximum O2 flow volume (L/min)</b>, <2 L/min","<b>Maximum O2 flow volume (L/min)</b>, <2 L/min"
inter_o2support_type___Nasal prong,0.30170316301703165,"<b>If yes: Select all types of respiratory support the patient received</b>, Nasal prong","<b>If yes: Select all types of respiratory ...</b>, Nasal prong"
inter_o2support_type___Unknown,0.2591240875912409,"<b>If yes: Select all types of respiratory support the patient received</b>, Unknown","<b>If yes: Select all types of respiratory ...</b>, Unknown"
inter_prone_yn,0.23365487674169347,<b>Prone positioning</b>,<b>Prone positioning</b>
