Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,215,402,383
<b><i>TREATMENTS & INTERVENTIONS</i></b>,,,,
<b>Enter Treatments & Interventions data for this date?</b> (*), 682 (72.0) |  947,145 (72.5) | 200,279 (73.6) | 379,258 (70.1) | 368
<b>Supplemental oxygen</b> (*), 503 (87.0) |  578,105 (89.7) | 117,206 (85.5) | 241,192 (87.3) | 220
<b>00) on the day of assessment</b>,,,,
   ↳ Nasal prong,  14 ( 2.4) |  578,  3 ( 2.6) | 117,  5 ( 2.1) | 241,  6 ( 2.7) | 220
   ↳ Face mask,   0 ( 0.0) |  578,  0 ( 0.0) | 117,  0 ( 0.0) | 241,  0 ( 0.0) | 220
   ↳ High-flow nasal oxygen,   0 ( 0.0) |  578,  0 ( 0.0) | 117,  0 ( 0.0) | 241,  0 ( 0.0) | 220
   ↳ Non-invasive ventilation, 141 (24.4) |  578, 25 (21.4) | 117, 57 (23.7) | 241, 59 (26.8) | 220
   ↳ Invasive ventilation,   5 ( 0.9) |  578,  2 ( 1.7) | 117,  1 ( 0.4) | 241,  2 ( 0.9) | 220
   ↳ ECLS/ ECMO, 136 (23.5) |  578, 31 (26.5) | 117, 54 (22.4) | 241, 51 (23.2) | 220
   ↳ Unknown, 116 (20.1) |  578, 22 (18.8) | 117, 51 (21.2) | 241, 43 (19.5) | 220
<b>PaO2 sample type</b> (*),,,,
   ↳ Arterial,  70 (31.0) |  226, 18 (36.0) |  50, 25 (30.1) |  83, 27 (29.0) |  93
   ↳ Capillary,  74 (32.7) |  226, 14 (28.0) |  50, 29 (34.9) |  83, 31 (33.3) |  93
   ↳ Venous,  23 (10.2) |  226,  4 ( 8.0) |  50,  6 ( 7.2) |  83, 13 (14.0) |  93
   ↳ Not done,  59 (26.1) |  226, 14 (28.0) |  50, 23 (27.7) |  83, 22 (23.7) |  93
<b>PaO2 </b> (+),45.0 (24.7-69.5) |  166,46.5 (28.4-62.3) |  34,47.1 (19.8-69.6) |  62,42.5 (21.5-69.9) |  70
<b>FiO2 at time of PaO2 </b> (+),48.0 (24.3-72.5) |  159,52.2 (27.3-77.9) |  34,53.9 (24.0-81.3) |  56,44.9 (24.1-61.6) |  69
<b>Type of non-invasive respiratory support</b> (*),,,,
   ↳ CPAP,  18 (17.3) |  104,  4 (21.1) |  19,  7 (16.3) |  43,  7 (16.7) |  42
   ↳ BIPAP,  69 (66.3) |  104, 12 (63.2) |  19, 29 (67.4) |  43, 28 (66.7) |  42
   ↳ Other,  17 (16.3) |  104,  3 (15.8) |  19,  7 (16.3) |  43,  7 (16.7) |  42
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-venous (VV),  97 (77.0) |  126, 26 (86.7) |  30, 36 (70.6) |  51, 35 (77.8) |  45
   ↳ Veno-arterial (VA),  29 (23.0) |  126,  4 (13.3) |  30, 15 (29.4) |  51, 10 (22.2) |  45
<b>Prone positioning</b> (*),  54 ( 9.7) |  555, 11 ( 9.1) | 121, 27 (12.2) | 221, 16 ( 7.5) | 213
<b> When was the prone positioning?</b> (*),,,,
   ↳ During invasive ventilation,   9 (34.6) |   26,  1 (20.0) |   5,  4 (30.8) |  13,  4 (50.0) |   8
   ↳ Whilst self-ventilating,  17 (65.4) |   26,  4 (80.0) |   5,  9 (69.2) |  13,  4 (50.0) |   8
<b><i>INTERVENTIONS</i></b>,,,,
<b>Any supplemental oxygen?</b> (*), 434 (52.8) |  822, 88 (52.1) | 169,187 (56.7) | 330,159 (49.2) | 323
<b> Select all types of respiratory support the patient received</b>,,,,
   ↳ Nasal prong, 248 (30.2) |  822, 53 (31.4) | 169,105 (31.8) | 330, 90 (27.9) | 323
   ↳ Face mask,  79 ( 9.6) |  822, 16 ( 9.5) | 169, 29 ( 8.8) | 330, 34 (10.5) | 323
   ↳ High-flow nasal oxygen,  30 ( 3.6) |  822,  6 ( 3.6) | 169, 12 ( 3.6) | 330, 12 ( 3.7) | 323
   ↳ Non-invasive ventilation,  75 ( 9.1) |  822, 16 ( 9.5) | 169, 28 ( 8.5) | 330, 31 ( 9.6) | 323
   ↳ Invasive ventilation, 314 (38.2) |  822, 66 (39.1) | 169,134 (40.6) | 330,114 (35.3) | 323
   ↳ ECLS/ ECMO, 353 (42.9) |  822, 68 (40.2) | 169,153 (46.4) | 330,132 (40.9) | 323
   ↳ Unknown, 213 (25.9) |  822, 47 (27.8) | 169, 97 (29.4) | 330, 69 (21.4) | 323
<b>Maximum O2 flow volume (L/min)</b> (*),,,,
   ↳ <2 L/min, 102 (35.8) |  285, 23 (39.0) |  59, 40 (32.3) | 124, 39 (38.2) | 102
   ↳ 2-5 L/min,  46 (16.1) |  285, 11 (18.6) |  59, 27 (21.8) | 124,  8 ( 7.8) | 102
   ↳ 6-10 L/min,  75 (26.3) |  285, 14 (23.7) |  59, 28 (22.6) | 124, 33 (32.4) | 102
   ↳ 11-15 L/min,  36 (12.6) |  285,  4 ( 6.8) |  59, 17 (13.7) | 124, 15 (14.7) | 102
   ↳ >15 L/min,  26 ( 9.1) |  285,  7 (11.9) |  59, 12 ( 9.7) | 124,  7 ( 6.9) | 102
<b>Number of calendar days the patient received any respiratory support during admission</b> (+),45.5 (21.4-72.7) |  413,51.4 (28.1-79.6) |  84,44.3 (19.4-71.0) | 178,45.5 (20.9-71.8) | 151
<b>Type of non-invasive ventilation</b> (*),,,,
   ↳ CPAP,  27 (58.7) |   46,  5 (50.0) |  10, 10 (58.8) |  17, 12 (63.2) |  19
   ↳ BIPAP,  10 (21.7) |   46,  3 (30.0) |  10,  4 (23.5) |  17,  3 (15.8) |  19
   ↳ Other,   9 (19.6) |   46,  2 (20.0) |  10,  3 (17.6) |  17,  4 (21.1) |  19
<b>Number of calendar days the patient received non-invasive ventilation</b> (+),53.5 (28.8-78.9) |   72,69.3 (46.3-80.8) |  15,45.1 (28.3-79.0) |  27,53.2 (27.4-76.8) |  30
<b>Number of calendar days the patient received invasive ventilation</b> (+),49.8 (24.4-77.6) |  307,46.5 (29.1-75.3) |  64,51.2 (23.3-78.9) | 132,51.7 (26.7-79.3) | 111
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-venous (VV), 126 (58.9) |  214, 25 (59.5) |  42, 63 (67.7) |  93, 38 (48.1) |  79
   ↳ Veno-arterial (VA),  88 (41.1) |  214, 17 (40.5) |  42, 30 (32.3) |  93, 41 (51.9) |  79
<b>Number of calendar days the patient received ECLS / ECMO</b> (+),54.1 (28.8-75.7) |  339,57.8 (29.9-77.3) |  65,55.1 (33.6-76.3) | 148,50.0 (24.4-74.1) | 126
<b>Prone positioning</b> (*), 218 (23.4) |  933, 44 (22.3) | 197, 92 (24.5) | 375, 82 (22.7) | 361
<b>Was the patient isolated at home or in hospital?</b> (*), 488 (55.5) |  879,103 (53.4) | 193,190 (55.4) | 343,195 (56.9) | 343
