index,label,count
"('inter_isolation',)","('<b>Was the patient isolated at home or in hospital?</b>',)",262
"('inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO', 'inter_o2support_type___Invasive ventilation', 'inter_o2support_type___Nasal prong')","('<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO', '<b>If yes: Select all types of respiratory support the patient received</b>, Invasive ventilation', '<b>If yes: Select all types of respiratory support the patient received</b>, Nasal prong')",82
"('inter_isolation', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO', 'inter_o2support_type___Invasive ventilation', 'inter_o2support_type___Nasal prong')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO', '<b>If yes: Select all types of respiratory support the patient received</b>, Invasive ventilation', '<b>If yes: Select all types of respiratory support the patient received</b>, Nasal prong')",72
"('inter_isolation', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO', 'inter_o2support_type___Invasive ventilation')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO', '<b>If yes: Select all types of respiratory support the patient received</b>, Invasive ventilation')",59
"('inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO', 'inter_o2support_type___Invasive ventilation')","('<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO', '<b>If yes: Select all types of respiratory support the patient received</b>, Invasive ventilation')",47
"('inter_isolation', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO', 'inter_o2support_type___Nasal prong')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO', '<b>If yes: Select all types of respiratory support the patient received</b>, Nasal prong')",33
"('inter_isolation', 'inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",20
"('inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO', 'inter_o2support_type___Nasal prong')","('<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO', '<b>If yes: Select all types of respiratory support the patient received</b>, Nasal prong')",20
"('inter_suppleo2', 'inter_o2support_type___ECLS/ ECMO')","('<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, ECLS/ ECMO')",20
"('inter_isolation', 'inter_suppleo2', 'inter_o2support_type___Invasive ventilation', 'inter_o2support_type___Nasal prong')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, Invasive ventilation', '<b>If yes: Select all types of respiratory support the patient received</b>, Nasal prong')",14
"('inter_suppleo2', 'inter_o2support_type___Invasive ventilation', 'inter_o2support_type___Nasal prong')","('<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, Invasive ventilation', '<b>If yes: Select all types of respiratory support the patient received</b>, Nasal prong')",14
"('inter_suppleo2', 'inter_o2support_type___Invasive ventilation')","('<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, Invasive ventilation')",14
"('inter_isolation', 'inter_suppleo2', 'inter_o2support_type___Invasive ventilation')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, Invasive ventilation')",12
"('inter_isolation', 'inter_suppleo2')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>')",9
"('inter_isolation', 'inter_suppleo2', 'inter_o2support_type___Nasal prong')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, Nasal prong')",7
"('inter_suppleo2', 'inter_o2support_type___Nasal prong')","('<b>Any supplemental oxygen?</b>', '<b>If yes: Select all types of respiratory support the patient received</b>, Nasal prong')",6
"('inter_suppleo2',)","('<b>Any supplemental oxygen?</b>',)",5
