variable,proportion,label,short_label
comor_chrcardiac,0.9524405506883604,<b>Chronic cardiac disease (not hypertension)</b>,<b>Chronic cardiac disease (not ...</b>
comor_dementia,0.9523809523809523,<b>Dementia</b>,<b>Dementia</b>
comor_chrkidney,0.9405286343612335,<b>Chronic kidney disease</b>,<b>Chronic kidney disease</b>
comor_orgtrans,0.9163090128755365,<b>Transplant recipient </b>,<b>Transplant recipient </b>
comor_chrneurolo,0.8990228013029316,<b>Chronic neurological disorder</b>,<b>Chronic neurological disorder</b>
comor_aids,0.8868921775898521,<b>HIV</b>,<b>HIV</b>
comor_rheumatolo,0.8377801494130203,<b>Rheumatologic disorder</b>,<b>Rheumatologic disorder</b>
comor_smoking,0.7669654289372599,<b>Ever smoked</b>,<b>Ever smoked</b>
comor_chrhematol,0.7138193688792165,<b>Chronic haematologic disease</b>,<b>Chronic haematologic disease</b>
comor_chrpulmona,0.65814696485623,<b>Chronic pulmonary disease (not asthma)</b>,<b>Chronic pulmonary disease (not asthma)</b>
