Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,530,114,356
<b><i>RESPIRATORY SUPPORT</i></b>,,,,
<b>Supplemental oxygen</b> (*),726 (81.1) | 895,379 (81.0) | 468,82 (80.4) | 102,265 (81.5) | 325
<b>Nasal prongs</b> (*),147 (25.8) | 570,73 (24.1) | 303,19 (28.4) | 67,55 (27.5) | 200
<b>Face mask</b> (*),171 (30.1) | 568,87 (29.7) | 293,18 (29.5) | 61,66 (30.8) | 214
<b>High flow nasal oxygen</b> (*),281 (43.6) | 645,151 (44.7) | 338,27 (38.0) | 71,103 (43.6) | 236
<b>Non-invasive ventilation</b> (*),175 (29.1) | 601,96 (30.7) | 313,14 (19.2) | 73,65 (30.2) | 215
<b>Type of non-invasive ventilation</b> (*),,,,
   ↳ CPAP,51 (35.4) | 144,31 (37.8) | 82,0 (0.0) | 8,20 (37.0) | 54
   ↳ BIPAP,49 (34.0) | 144,24 (29.3) | 82,7 (87.5) | 8,18 (33.3) | 54
   ↳ Other,44 (30.6) | 144,27 (32.9) | 82,1 (12.5) | 8,16 (29.6) | 54
<b>Invasive ventilation</b> (*),197 (31.7) | 621,97 (30.5) | 318,25 (37.3) | 67,75 (31.8) | 236
<b>ECLS / ECMO</b> (*),199 (35.3) | 564,104 (34.9) | 298,23 (37.1) | 62,72 (35.3) | 204
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-venous (VV),64 (66.0) | 97,31 (63.3) | 49,7 (58.3) | 12,26 (72.2) | 36
   ↳ Veno-arterial (VA),33 (34.0) | 97,18 (36.7) | 49,5 (41.7) | 12,10 (27.8) | 36
<b>Prone positioning</b> (*),284 (33.4) | 850,146 (32.7) | 446,28 (28.9) | 97,110 (35.8) | 307
<b>When was the prone positioning?</b> (*),,,,
   ↳ During invasive ventilation,96 (43.6) | 220,56 (49.1) | 114,8 (40.0) | 20,32 (37.2) | 86
   ↳ Whilst self-ventilating,124 (56.4) | 220,58 (50.9) | 114,12 (60.0) | 20,54 (62.8) | 86
<b>PaO2 sample type</b> (*),,,,
   ↳ Arterial,205 (23.3) | 881,105 (23.1) | 454,26 (26.3) | 99,74 (22.6) | 328
   ↳ Capillary,153 (17.4) | 881,72 (15.9) | 454,17 (17.2) | 99,64 (19.5) | 328
   ↳ Venous,337 (38.3) | 881,174 (38.3) | 454,36 (36.4) | 99,127 (38.7) | 328
   ↳ Not done,186 (21.1) | 881,103 (22.7) | 454,20 (20.2) | 99,63 (19.2) | 328
<b>PaO2 </b> (+),52.0 (28.9-74.8) | 655,54.4 (31.4-76.4) | 331,46.2 (27.0-68.0) | 74,50.3 (27.0-75.3) | 250
<b>FiO2 at time of PaO2 </b> (+),50.4 (25.1-75.4) | 646,52.7 (27.1-76.7) | 328,59.3 (26.9-81.1) | 73,45.8 (22.3-71.8) | 245
<b><i>INTERVENTIONS</i></b>,,,,
<b>Was the patient isolated at home or in hospital?</b> (*),803 (90.6) | 886,431 (90.4) | 477,90 (89.1) | 101,282 (91.6) | 308
<b><i>RESPIRATORY SUPPORT</i></b>,,,,
<b>Any supplemental oxygen?</b> (*),67 (8.1) | 826,42 (9.4) | 445,6 (6.3) | 95,19 (6.6) | 286
<b>Number of calendar days the patient received any respiratory support during admission</b> (+),49.0 (18.8-69.5) | 64,48.4 (19.9-71.0) | 40,38.9 (13.2-69.3) | 6,50.9 (26.5-64.3) | 18
<b>Maximum O2 flow volume (L/min)</b> (*),,,,
   ↳ <2 L/min,11 (20.4) | 54,6 (18.2) | 33,2 (33.3) | 6,3 (20.0) | 15
   ↳ 2-5 L/min,5 (9.3) | 54,2 (6.1) | 33,1 (16.7) | 6,2 (13.3) | 15
   ↳ 6-10 L/min,15 (27.8) | 54,10 (30.3) | 33,1 (16.7) | 6,4 (26.7) | 15
   ↳ 11-15 L/min,14 (25.9) | 54,11 (33.3) | 33,0 (0.0) | 6,3 (20.0) | 15
   ↳ >15 L/min,9 (16.7) | 54,4 (12.1) | 33,2 (33.3) | 6,3 (20.0) | 15
<b>Nasal prongs</b> (*),46 (88.5) | 52,30 (88.2) | 34,5 (83.3) | 6,11 (91.7) | 12
<b>Number of calendar days the patient received supplemental oxygen through nasal prongs</b> (+),44.2 (24.7-73.8) | 45,55.0 (31.1-77.8) | 30,13.2 (1.4-44.8) | 5,37.2 (21.6-61.2) | 10
<b>Face mask</b> (*),58 (100.0) | 58,36 (100.0) | 36,6 (100.0) | 6,16 (100.0) | 16
<b>Number of calendar days the patient received supplemental oxygen through face mask</b> (+),39.6 (17.2-71.0) | 54,35.9 (15.0-55.2) | 33,30.1 (13.4-71.8) | 5,64.3 (36.5-79.0) | 16
<b>High flow nasal oxygen</b> (*),17 (26.6) | 64,7 (17.9) | 39,3 (50.0) | 6,7 (36.8) | 19
<b>Number of calendar days the patient received high-flow nasal oxygen</b> (+),56.8 (31.0-67.0) | 17,56.8 (33.5-74.8) | 7,65.8 (34.0-66.3) | 3,53.4 (28.1-67.7) | 7
<b>Non-invasive ventilation</b> (*),23 (45.1) | 51,14 (45.2) | 31,2 (50.0) | 4,7 (43.8) | 16
<b>Type of non-invasive respiratory support</b> (*),,,,
   ↳ BIPAP,6 (75.0) | 8,4 (100.0) | 4,N/A,2 (50.0) | 4
   ↳ Other,2 (25.0) | 8,0 (0.0) | 4,N/A,2 (50.0) | 4
<b>Number of calendar days the patient received non-invasive ventilation</b> (+),57.1 (39.8-77.5) | 21,53.9 (33.5-66.6) | 13,N/A,57.1 (48.8-84.8) | 7
<b>Invasive ventilation</b> (*),57 (90.5) | 63,37 (94.9) | 39,4 (80.0) | 5,16 (84.2) | 19
<b>Number of calendar days the patient received invasive ventilation</b> (+),53.5 (32.7-79.7) | 56,54.6 (37.5-75.3) | 36,51.9 (45.2-62.6) | 4,53.3 (16.2-82.5) | 16
<b>ECLS / ECMO</b> (*),4 (7.0) | 57,3 (8.3) | 36,0 (0.0) | 6,1 (6.7) | 15
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-arterial (VA),3 (100.0) | 3,2 (100.0) | 2,N/A,1 (100.0) | 1
<b>Number of calendar days the patient received ECLS / ECMO</b> (+),41.4 (14.9-73.2) | 4,65.9 (37.6-80.6) | 3,N/A,N/A
<b>Prone positioning</b> (*),45 (76.3) | 59,30 (81.1) | 37,5 (83.3) | 6,10 (62.5) | 16
<b>When was the prone positioning?</b> (*),,,,
   ↳ During invasive ventilation,20 (55.6) | 36,13 (52.0) | 25,2 (66.7) | 3,5 (62.5) | 8
   ↳ Whilst self-ventilating,16 (44.4) | 36,12 (48.0) | 25,1 (33.3) | 3,3 (37.5) | 8
<b>Other respiratory support intervention(s) or procedure(s)</b> (*),61 (100.0) | 61,40 (100.0) | 40,6 (100.0) | 6,15 (100.0) | 15
