index,label,count
"('inter_isolation',)","('<b>Was the patient isolated at home or in hospital?</b>',)",744
"('inter_isolation', 'inter_suppleo2', 'inter_othersuppleo2', 'inter_facemask', 'inter_invent')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>Other respiratory support intervention(s) or procedure(s)</b>', '<b>Face mask</b>', '<b>Invasive ventilation</b>')",41
"('inter_isolation', 'inter_suppleo2', 'inter_othersuppleo2', 'inter_facemask')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>Other respiratory support intervention(s) or procedure(s)</b>', '<b>Face mask</b>')",6
"('inter_isolation', 'inter_suppleo2', 'inter_othersuppleo2', 'inter_invent')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>Other respiratory support intervention(s) or procedure(s)</b>', '<b>Invasive ventilation</b>')",5
"('inter_suppleo2', 'inter_othersuppleo2', 'inter_facemask', 'inter_invent')","('<b>Any supplemental oxygen?</b>', '<b>Other respiratory support intervention(s) or procedure(s)</b>', '<b>Face mask</b>', '<b>Invasive ventilation</b>')",5
"('inter_isolation', 'inter_suppleo2', 'inter_facemask', 'inter_invent')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>Face mask</b>', '<b>Invasive ventilation</b>')",4
"('inter_isolation', 'inter_suppleo2', 'inter_othersuppleo2')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>Other respiratory support intervention(s) or procedure(s)</b>')",2
"('inter_isolation', 'inter_suppleo2', 'inter_invent')","('<b>Was the patient isolated at home or in hospital?</b>', '<b>Any supplemental oxygen?</b>', '<b>Invasive ventilation</b>')",1
"('inter_suppleo2', 'inter_othersuppleo2', 'inter_invent')","('<b>Any supplemental oxygen?</b>', '<b>Other respiratory support intervention(s) or procedure(s)</b>', '<b>Invasive ventilation</b>')",1
"('inter_suppleo2', 'inter_othersuppleo2', 'inter_facemask')","('<b>Any supplemental oxygen?</b>', '<b>Other respiratory support intervention(s) or procedure(s)</b>', '<b>Face mask</b>')",1
"('inter_suppleo2', 'inter_facemask')","('<b>Any supplemental oxygen?</b>', '<b>Face mask</b>')",1
