Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,530,114,356
<b><i>COMPLICATIONS</i></b>,,,,
<b>Stroke / cerebrovascular accident</b> (*),150 (18.0) | 832,73 (16.9) | 432,12 (12.9) | 93,65 (21.2) | 307
<b>Severe neurological disease</b> (*),248 (30.3) | 818,137 (32.5) | 421,28 (29.5) | 95,83 (27.5) | 302
<b>Encephalopathy</b> (*),479 (55.1) | 870,256 (54.7) | 468,52 (56.5) | 92,171 (55.2) | 310
<b>Seizure</b> (*),661 (78.2) | 845,347 (75.9) | 457,77 (82.8) | 93,237 (80.3) | 295
<b>Focal neurological signs</b> (*),605 (74.5) | 812,323 (76.5) | 422,70 (72.9) | 96,212 (72.1) | 294
<b>Encephalitis</b> (*),198 (24.8) | 798,102 (24.2) | 422,26 (26.3) | 99,70 (25.3) | 277
<b>Meningitis</b> (*),449 (51.2) | 877,243 (52.7) | 461,47 (45.2) | 104,159 (51.0) | 312
<b>Guillain-Barre syndrome (GBS)</b> (*),49 (5.2) | 950,28 (5.6) | 503,6 (5.8) | 104,15 (4.4) | 343
<b>Myocardial infarction</b> (*),667 (84.2) | 792,358 (84.8) | 422,73 (79.3) | 92,236 (84.9) | 278
<b>Cardiac ischaemia</b> (*),784 (91.6) | 856,423 (92.0) | 460,88 (90.7) | 97,273 (91.3) | 299
<b>Endocarditis</b> (*),581 (75.6) | 769,308 (76.4) | 403,63 (80.8) | 78,210 (72.9) | 288
<b>Cardiomyopathy</b> (*),280 (36.7) | 763,147 (36.3) | 405,29 (33.3) | 87,104 (38.4) | 271
<b>Congestive heart failure</b> (*),212 (23.6) | 898,125 (26.6) | 470,16 (15.8) | 101,71 (21.7) | 327
<b>Cardiac arrhythmia</b> (*),636 (82.7) | 769,333 (81.8) | 407,73 (85.9) | 85,230 (83.0) | 277
<b>Cardiac arrest</b> (*),127 (13.5) | 941,58 (11.7) | 496,17 (15.5) | 110,52 (15.5) | 335
<b>Myocarditis</b> (*),371 (39.0) | 952,195 (38.6) | 505,41 (36.9) | 111,135 (40.2) | 336
<b>Pericarditis</b> (*),653 (74.3) | 879,330 (71.6) | 461,77 (74.8) | 103,246 (78.1) | 315
<b>Viral pneumonia / pneumonitis</b> (*),515 (63.3) | 813,279 (64.0) | 436,66 (71.7) | 92,170 (59.6) | 285
<b>Bacterial pneumonia</b> (*),599 (75.0) | 799,320 (75.7) | 423,80 (84.2) | 95,199 (70.8) | 281
<b>Pneumothorax</b> (*),183 (20.1) | 911,104 (21.3) | 489,20 (20.0) | 100,59 (18.3) | 322
<b>Pleural effusion</b> (*),832 (94.0) | 885,444 (94.7) | 469,89 (92.7) | 96,299 (93.4) | 320
<b>Cryptogenic organising pneumonia (COP)</b> (*),727 (82.0) | 887,371 (79.3) | 468,94 (89.5) | 105,262 (83.4) | 314
<b>Bronchiolitis</b> (*),450 (53.2) | 846,235 (53.2) | 442,52 (53.1) | 98,163 (53.3) | 306
<b>Acute Respiratory Distress Syndrome (ARDS)</b> (*),148 (15.6) | 946,75 (14.9) | 503,15 (13.6) | 110,58 (17.4) | 333
<b>Pancreatitis</b> (*),460 (51.2) | 899,249 (52.3) | 476,48 (46.6) | 103,163 (50.9) | 320
<b>Severe liver disease (new onset)</b> (*),672 (84.7) | 793,354 (84.7) | 418,89 (89.9) | 99,229 (83.0) | 276
<b>Jaundice</b> (*),636 (80.4) | 791,331 (79.8) | 415,83 (86.5) | 96,222 (79.3) | 280
<b>Liver dysfunction</b> (*),534 (57.0) | 937,283 (57.6) | 491,57 (52.3) | 109,194 (57.6) | 337
<b>Thromboembolism</b> (*),752 (94.1) | 799,397 (94.1) | 422,84 (93.3) | 90,271 (94.4) | 287
<b>Anaemia</b> (*),260 (32.9) | 790,143 (34.1) | 419,20 (22.7) | 88,97 (34.3) | 283
<b>Coagulation disorder / DIC</b> (*),255 (32.9) | 776,127 (30.5) | 416,26 (29.9) | 87,102 (37.4) | 273
<b>Acute renal injury / acute renal failure</b> (*),534 (64.0) | 834,290 (66.2) | 438,61 (64.9) | 94,183 (60.6) | 302
<b>Rhabdomyolysis</b> (*),584 (64.0) | 912,312 (63.7) | 490,62 (60.2) | 103,210 (65.8) | 319
<b>Myositis</b> (*),368 (47.2) | 780,194 (47.9) | 405,50 (58.8) | 85,124 (42.8) | 290
<b>Bacteraemia</b> (*),249 (27.8) | 895,140 (29.3) | 478,24 (24.0) | 100,85 (26.8) | 317
<b>Other complication(s)</b> (*),,,,
   ↳ Deep venous thrombosis,63 (100.0) | 63,39 (100.0) | 39,7 (100.0) | 7,17 (100.0) | 17
   ↳ Bleeding,61 (100.0) | 61,31 (100.0) | 31,9 (100.0) | 9,21 (100.0) | 21
   ↳ Ischemic stroke,62 (100.0) | 62,33 (100.0) | 33,5 (100.0) | 5,24 (100.0) | 24
   ↳ Disseminated Intravascular Coagulation (DIC),46 (100.0) | 46,24 (100.0) | 24,4 (100.0) | 4,18 (100.0) | 18
   ↳ Ventilator-Associated Pneumonia,52 (100.0) | 52,30 (100.0) | 30,4 (100.0) | 4,18 (100.0) | 18
   ↳ Transient hypotension,39 (100.0) | 39,20 (100.0) | 20,3 (100.0) | 3,16 (100.0) | 16
   ↳ Multisystem inflammatory syndrome in children,45 (100.0) | 45,24 (100.0) | 24,5 (100.0) | 5,16 (100.0) | 16
   ↳ Haemorrhagic stroke,52 (100.0) | 52,31 (100.0) | 31,4 (100.0) | 4,17 (100.0) | 17
   ↳ Cardioembolic stroke,61 (100.0) | 61,32 (100.0) | 32,7 (100.0) | 7,22 (100.0) | 22
   ↳ Ischemic encephalopathy,52 (100.0) | 52,27 (100.0) | 27,9 (100.0) | 9,16 (100.0) | 16
   ↳ Cerebellar stroke,43 (100.0) | 43,26 (100.0) | 26,5 (100.0) | 5,12 (100.0) | 12
   ↳ Large liver,31 (100.0) | 31,16 (100.0) | 16,3 (100.0) | 3,12 (100.0) | 12
   ↳ Recurrent urinary tract infection,52 (100.0) | 52,25 (100.0) | 25,8 (100.0) | 8,19 (100.0) | 19
   ↳ Multisystem inflammatory syndrome in adults,42 (100.0) | 42,17 (100.0) | 17,7 (100.0) | 7,18 (100.0) | 18
   ↳ Myocardial Infarction,38 (100.0) | 38,18 (100.0) | 18,8 (100.0) | 8,12 (100.0) | 12
   ↳ Cardiogenic Shock,32 (100.0) | 32,17 (100.0) | 17,2 (100.0) | 2,13 (100.0) | 13
   ↳ Recurrent gastrointestinal bleeding,31 (100.0) | 31,17 (100.0) | 17,3 (100.0) | 3,11 (100.0) | 11
   ↳ Septic Shock,49 (100.0) | 49,30 (100.0) | 30,4 (100.0) | 4,15 (100.0) | 15
   ↳ Acute renal failure syndrome,49 (100.0) | 49,30 (100.0) | 30,5 (100.0) | 5,14 (100.0) | 14
   ↳ Pneumothorax,49 (100.0) | 49,28 (100.0) | 28,6 (100.0) | 6,15 (100.0) | 15
   ↳ Acquired coagulation disorder,31 (100.0) | 31,20 (100.0) | 20,6 (100.0) | 6,5 (100.0) | 5
