Variable,All,Female,Male,p-value
<b>Totals</b>,559,205,354,
<b><i>DEMOGRAPHICS</i></b>,,,,
<b>Gender</b> (†),,,,
   ↳ Man,139 (38.8) | 358,46 (36.5) | 126,93 (40.1) | 232,0.570
   ↳ Woman,177 (49.4) | 358,63 (50.0) | 126,114 (49.1) | 232,0.912
   ↳ Non-binary,21 (5.9) | 358,9 (7.1) | 126,12 (5.2) | 232,0.484
   ↳ Other,21 (5.9) | 358,8 (6.3) | 126,13 (5.6) | 232,0.816
<b>Is the date of birth known?</b> (†),487 (91.2) | 534,177 (91.7) | 193,310 (90.9) | 341,0.874
<b>Age</b> (+),38.1 (16.5-64.7) | 45,45.8 (28.4-71.2) | 16,28.8 (5.0-56.8) | 29,<0.001 (**)
<b>Height </b> (+),127.0 (64.4-191.8) | 534,123.2 (61.2-183.7) | 194,129.5 (68.6-195.7) | 340,<0.001 (**)
<b>Weight </b> (+),881.8 (496.4-1289.1) | 532,814.0 (453.1-1283.1) | 200,886.9 (514.6-1307.2) | 332,<0.001 (**)
<b>Race (select all that apply)</b>,,,,
   ↳ Aboriginal/First Nations/Indigenous,262 (49.5) | 529,103 (55.1) | 187,159 (46.5) | 342,0.069
   ↳ Arab,275 (52.0) | 529,95 (50.8) | 187,180 (52.6) | 342,0.716
   ↳ Black or African Descent,260 (49.1) | 529,89 (47.6) | 187,171 (50.0) | 342,0.649
"   ↳ Brown (Mixed/Multiracial, incl. Latin American Pardo)",262 (49.5) | 529,94 (50.3) | 187,168 (49.1) | 342,0.856
   ↳ East Asian (incl. Brazilian Yellow/Amarelo),267 (50.5) | 529,98 (52.4) | 187,169 (49.4) | 342,0.525
   ↳ Latin American or Hispanic,283 (53.5) | 529,100 (53.5) | 187,183 (53.5) | 342,1.000
   ↳ South Asian,237 (44.8) | 529,91 (48.7) | 187,146 (42.7) | 342,0.201
   ↳ South-East Asian,258 (48.8) | 529,98 (52.4) | 187,160 (46.8) | 342,0.237
   ↳ West Asian,267 (50.5) | 529,90 (48.1) | 187,177 (51.8) | 342,0.467
   ↳ White,263 (49.7) | 529,92 (49.2) | 187,171 (50.0) | 342,0.928
   ↳ Other,276 (52.2) | 529,101 (54.0) | 187,175 (51.2) | 342,0.585
<b>Does the patient practise any of these professions or a profession related to their infection</b> (†),,,,
   ↳ Abattoir Worker,67 (12.5) | 535,29 (14.6) | 198,38 (11.3) | 337,0.280
   ↳ Beef Cattle Farm Worker,9 (1.7) | 535,5 (2.5) | 198,4 (1.2) | 337,0.302
   ↳ Dairy Farm Worker,115 (21.5) | 535,45 (22.7) | 198,70 (20.8) | 337,0.588
   ↳ Healthcare Worker,193 (36.1) | 535,77 (38.9) | 198,116 (34.4) | 337,0.306
   ↳ Poultry Farm Worker,17 (3.2) | 535,4 (2.0) | 198,13 (3.9) | 337,0.312
   ↳ Veterinarian,84 (15.7) | 535,22 (11.1) | 198,62 (18.4) | 337,0.027 (*)
   ↳ Other,50 (9.3) | 535,16 (8.1) | 198,34 (10.1) | 337,0.539
<b><i>CO-MORBIDITIES AND RISK FACTORS</i></b>,,,,
<b>Chronic neurological disorder</b> (†),460 (90.2) | 510,166 (88.8) | 187,294 (91.0) | 323,0.441
<b>Dementia</b> (†),419 (95.0) | 441,154 (94.5) | 163,265 (95.3) | 278,0.821
<b>Chronic cardiac disease (not hypertension)</b> (†),428 (94.9) | 451,154 (93.9) | 164,274 (95.5) | 287,0.508
<b>Hypertension</b> (†),21 (4.3) | 490,8 (4.5) | 177,13 (4.2) | 313,0.821
<b>Chronic pulmonary disease (not asthma)</b> (†),346 (65.4) | 529,129 (65.8) | 196,217 (65.2) | 333,0.925
<b>Asthma</b> (†),136 (29.6) | 460,60 (36.4) | 165,76 (25.8) | 295,0.019 (*)
<b>Liver disease</b> (†),236 (45.1) | 523,81 (42.4) | 191,155 (46.7) | 332,0.362
<b>Type of liver disease</b> (†),,,,
   ↳ Mild,108 (51.9) | 208,41 (55.4) | 74,67 (50.0) | 134,0.472
   ↳ Moderate or severe,100 (48.1) | 208,33 (44.6) | 74,67 (50.0) | 134,0.472
<b>Chronic kidney disease</b> (†),484 (94.2) | 514,177 (92.7) | 191,307 (95.0) | 323,0.330
<b>Stage of chronic kidney disease</b> (†),,,,
   ↳ Stage 1,78 (20.5) | 381,24 (17.1) | 140,54 (22.4) | 241,0.238
   ↳ Stage 2,100 (26.2) | 381,45 (32.1) | 140,55 (22.8) | 241,0.053
   ↳ Stage 3a,39 (10.2) | 381,12 (8.6) | 140,27 (11.2) | 241,0.485
   ↳ Stage 3b,34 (8.9) | 381,12 (8.6) | 140,22 (9.1) | 241,1.000
   ↳ Stage 4,40 (10.5) | 381,14 (10.0) | 140,26 (10.8) | 241,0.864
