Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,530,114,356
<b><i>EXPOSURE HISTORY IN PREVIOUS 14 DAYS</i></b>,,,,
<b>History of contact with suspected or confirmed human case of same pathogen?</b> (*),486 (55.9) | 870,251 (55.2) | 455,57 (60.0) | 95,178 (55.6) | 320
<b>Contact setting</b> (*),,,,
   ↳ Household,81 (12.0) | 674,43 (12.1) | 356,10 (12.5) | 80,28 (11.8) | 238
   ↳ Occupational,274 (40.7) | 674,139 (39.0) | 356,34 (42.5) | 80,101 (42.4) | 238
   ↳ Healthcare facility,275 (40.8) | 674,148 (41.6) | 356,34 (42.5) | 80,93 (39.1) | 238
   ↳ Other,44 (6.5) | 674,26 (7.3) | 356,2 (2.5) | 80,16 (6.7) | 238
"<b>Any contact with animals, animal homes, meats or other animal products in the last 14 days?</b> (*)",866 (95.9) | 903,454 (96.4) | 471,97 (92.4) | 105,315 (96.3) | 327
<b>Contact with livestock</b> (*),406 (50.1) | 810,210 (49.3) | 426,50 (53.2) | 94,146 (50.3) | 290
"<b>Contact with poultry or other birds(e.g. chickens, turkeys, ducks, exotic birds)</b> (*)",296 (87.1) | 340,152 (84.9) | 179,37 (88.1) | 42,107 (89.9) | 119
<b>Contact with dairy cows and/or milking equipment</b> (*),129 (37.2) | 347,61 (33.5) | 182,17 (37.8) | 45,51 (42.5) | 120
<b>Contact with cattle other than dairy cows </b> (*),233 (75.4) | 309,114 (72.6) | 157,31 (72.1) | 43,88 (80.7) | 109
<b>Contact with pigs</b> (*),125 (38.1) | 328,64 (39.0) | 164,15 (35.7) | 42,46 (37.7) | 122
<b>Specify type of contact</b>,,,,
   ↳ Hunting,186 (23.4) | 795,95 (22.7) | 419,28 (30.1) | 93,63 (22.3) | 283
   ↳ Preparing,198 (24.9) | 795,110 (26.3) | 419,27 (29.0) | 93,61 (21.6) | 283
   ↳ Handling,197 (24.8) | 795,105 (25.1) | 419,22 (23.7) | 93,70 (24.7) | 283
   ↳ Consumption (unprocessed / undercooked / raw),185 (23.3) | 795,97 (23.2) | 419,22 (23.7) | 93,66 (23.3) | 283
   ↳ Trading,197 (24.8) | 795,105 (25.1) | 419,23 (24.7) | 93,69 (24.4) | 283
   ↳ Animal faeces or nests,211 (26.5) | 795,109 (26.0) | 419,30 (32.3) | 93,72 (25.4) | 283
   ↳ Sick or dead animal,186 (23.4) | 795,94 (22.4) | 419,21 (22.6) | 93,71 (25.1) | 283
   ↳ Unknown,197 (24.8) | 795,101 (24.1) | 419,30 (32.3) | 93,66 (23.3) | 283
   ↳ Other,205 (25.8) | 795,109 (26.0) | 419,24 (25.8) | 93,72 (25.4) | 283
<b>Contact with non-human primates</b> (*),557 (74.5) | 748,304 (75.8) | 401,52 (62.7) | 83,201 (76.1) | 264
<b>Contact with monkeys</b> (*),431 (91.7) | 470,234 (92.1) | 254,38 (92.7) | 41,159 (90.9) | 175
<b>Contact with apes</b> (*),32 (6.0) | 535,19 (6.5) | 294,2 (4.1) | 49,11 (5.7) | 192
<b>Specify type of contact</b>,,,,
   ↳ Hunting,253 (35.3) | 716,123 (32.2) | 382,27 (34.2) | 79,103 (40.4) | 255
   ↳ Preparing,259 (36.2) | 716,147 (38.5) | 382,26 (32.9) | 79,86 (33.7) | 255
   ↳ Handling,260 (36.3) | 716,148 (38.7) | 382,22 (27.8) | 79,90 (35.3) | 255
   ↳ Consumption (unprocessed / undercooked / raw),284 (39.7) | 716,144 (37.7) | 382,24 (30.4) | 79,116 (45.5) | 255
   ↳ Trading,270 (37.7) | 716,158 (41.4) | 382,26 (32.9) | 79,86 (33.7) | 255
   ↳ Animal faeces or nests,273 (38.1) | 716,149 (39.0) | 382,27 (34.2) | 79,97 (38.0) | 255
   ↳ Sick or dead animal,271 (37.8) | 716,148 (38.7) | 382,26 (32.9) | 79,97 (38.0) | 255
   ↳ Unknown,265 (37.0) | 716,137 (35.9) | 382,31 (39.2) | 79,97 (38.0) | 255
   ↳ Other,255 (35.6) | 716,146 (38.2) | 382,22 (27.8) | 79,87 (34.1) | 255
<b>Contact with rodents</b> (*),436 (65.4) | 667,215 (63.4) | 339,54 (74.0) | 73,167 (65.5) | 255
<b>Contact with rats</b> (*),171 (51.4) | 333,83 (51.6) | 161,19 (43.2) | 44,69 (53.9) | 128
<b>Contact with mice</b> (*),27 (8.0) | 339,13 (7.6) | 171,5 (11.9) | 42,9 (7.1) | 126
<b>Contact with squirrels</b> (*),219 (55.6) | 394,117 (57.6) | 203,22 (46.8) | 47,80 (55.6) | 144
<b>Specify type of contact</b>,,,,
   ↳ Hunting,217 (33.4) | 650,109 (33.1) | 329,26 (37.1) | 70,82 (32.7) | 251
   ↳ Preparing,196 (30.2) | 650,98 (29.8) | 329,21 (30.0) | 70,77 (30.7) | 251
   ↳ Handling,203 (31.2) | 650,97 (29.5) | 329,24 (34.3) | 70,82 (32.7) | 251
   ↳ Consumption (unprocessed / undercooked / raw),209 (32.2) | 650,101 (30.7) | 329,23 (32.9) | 70,85 (33.9) | 251
   ↳ Trading,214 (32.9) | 650,109 (33.1) | 329,31 (44.3) | 70,74 (29.5) | 251
   ↳ Animal faeces or nests,192 (29.5) | 650,102 (31.0) | 329,22 (31.4) | 70,68 (27.1) | 251
   ↳ Sick or dead animal,200 (30.8) | 650,101 (30.7) | 329,29 (41.4) | 70,70 (27.9) | 251
   ↳ Unknown,214 (32.9) | 650,102 (31.0) | 329,28 (40.0) | 70,84 (33.5) | 251
   ↳ Other,203 (31.2) | 650,93 (28.3) | 329,25 (35.7) | 70,85 (33.9) | 251
<b>Contact with pets</b> (*),505 (70.4) | 717,257 (68.4) | 376,58 (75.3) | 77,190 (72.0) | 264
<b>Contact with cats</b> (*),57 (14.8) | 385,28 (14.6) | 192,8 (18.2) | 44,21 (14.1) | 149
<b>Contact with dogs</b> (*),457 (96.0) | 476,234 (95.5) | 245,53 (96.4) | 55,170 (96.6) | 176
<b>Specify type of contact</b>,,,,
   ↳ Hunting,230 (32.8) | 702,115 (31.3) | 367,22 (28.6) | 77,93 (36.0) | 258
   ↳ Preparing,265 (37.7) | 702,130 (35.4) | 367,35 (45.5) | 77,100 (38.8) | 258
   ↳ Handling,261 (37.2) | 702,129 (35.1) | 367,27 (35.1) | 77,105 (40.7) | 258
   ↳ Consumption (unprocessed / undercooked / raw),241 (34.3) | 702,121 (33.0) | 367,23 (29.9) | 77,97 (37.6) | 258
   ↳ Trading,230 (32.8) | 702,120 (32.7) | 367,26 (33.8) | 77,84 (32.6) | 258
   ↳ Animal faeces or nests,251 (35.8) | 702,130 (35.4) | 367,29 (37.7) | 77,92 (35.7) | 258
