field_name,form_name,field_type,field_label,parent
subjid,presentation,freetext,Participant Identification Number (PIN),
dates,presentation,section,ONSET & PRESENTATION,
dates_onsetdate,presentation,date,Onset date of first / earliest symptom,dates
dates_admdate,presentation,date,Date of hospital admission,dates
dates_enrolmentdate,presentation,date,Date of enrolment / start of data collection,dates
demog,presentation,section,DEMOGRAPHICS,
demog_sex,presentation,categorical,Sex at birth,demog
demog_sex___Male,presentation,binary,Male,demog_sex
demog_sex___Female,presentation,binary,Female,demog_sex
demog_age,presentation,numeric,Age,demog
demog_age_units,presentation,units,Age units,demog
demog_age_units___Years,presentation,binary,Years,demog_age_units
demog_healthcare,presentation,binary,Employed as a healthcare worker,demog
comor,presentation,section,CO-MORBIDITIES AND RISK FACTORS,
comor_hypertensi,presentation,binary,Hypertension (physician diagnosed),comor
comor_chrkidney,presentation,binary,Chronic kidney disease,comor
comor_chrkidney_stag,presentation,categorical,Stage of chronic kidney disease,comor
comor_liverdisease,presentation,binary,Liver disease,comor
comor_liverdisease_type,presentation,categorical,Type of liver disease,comor
comor_obesity,presentation,binary,Obesity,comor
comor_diabetes_yn,presentation,binary,Diabetes mellitus,comor
comor_smoking_yn,presentation,binary,Ever smoked,comor
vacci,presentation,section,VACCINATION,
vacci_influenza_yn,presentation,binary,Vaccinated for seasonal influenza (ever),vacci
adsym,presentation,section,SIGNS AND SYMPTOMS ON ADMISSION,
adsym_fever,presentation,binary,Fever,adsym
adsym_headache,presentation,binary,Headache,adsym
daily_date,daily,section,DAILY DATE,
daily_date,daily,date,DATE OF ASSESSMENT,daily
vital,daily,section,VITAL SIGNS & ASSESSMENTS,
vital_highesttem_c,daily,numeric,Highest temperature (°C),vital
vital_hr,daily,numeric,HR (beats/minute),vital
vital_rr,daily,numeric,RR (bpm),vital
vital_meanbp,daily,numeric,Mean arterial blood pressure (mmHg),vital
vital_gcs,daily,numeric,Glasgow Coma Score (GCS / 15) ,vital
sympt,daily,section,SIGNS AND SYMPTOMS,
sympt_fever,daily,binary,Fever,sympt
sympt_headache,daily,binary,Headache,sympt
treat,daily,section,TREATMENTS & INTERVENTIONS,
treat_o2supp_suppleo2,daily,binary,Supplemental oxygen,treat
labs,daily,section,LABORATORY RESULTS,
labs_platelets_103ul,daily,numeric,Platelets (10^3/uL),labs
labs_bilirubin_mgdl,daily,numeric,Total bilirubin (mg/dL),labs
labs_creatinine_mgdl,daily,numeric,Creatinine (mg/dL),labs
medi,medication,section,MEDICATION,
medi_antiviralagent,medication,categorical,Antiviral,medi
medi_antiviralagent___Oseltamivir (Tamiflu),medication,binary,Oseltamivir (Tamiflu),medi_antiviralagent
medi_antiviralagent___Peramivir,medication,binary,Peramivir,medi_antiviralagent
medi_antiviralagent___Zanamivir (Relenza),medication,binary,Zanamivir (Relenza),medi_antiviralagent
compl,outcome,section,COMPLICATIONS,
compl_severeliver,outcome,binary,Severe liver disease (new onset),compl
compl_acuterenal,outcome,binary,Acute renal injury / acute renal failure,compl
compl_ards,outcome,binary,Acute Respiratory Distress Syndrome (ARDS),compl
inter,outcome,section,INTERVENTIONS,
inter_suppleo2,outcome,binary,Any supplemental oxygen?,inter
inter_o2support_type,outcome,checkbox,If yes: Select all types of respiratory support the patient received,inter
inter_o2support_type___High-flow nasal oxygen,outcome,binary,High-flow nasal oxygen,inter_o2support_type
inter_o2support_type___Non-invasive ventilation,outcome,binary,Non-invasive ventilation,inter_o2support_type
inter_o2support_type___Invasive ventilation,outcome,binary,Invasive ventilation,inter_o2support_type
inter_o2support_type___Unknown,outcome,binary,Unknown,inter_o2support_type
outco,outcome,section,OUTCOME,
outco_date,outcome,date,Outcome date,outco
outco_outcome,outcome,categorical,Outcome,outco
outco_binary_outcome,outcome,categorical,Outcome (binary),outco
outco_binary_outcome___Death,outcome,binary,Death,outco_binary_outcome
outco_binary_outcome___Discharged,outcome,binary,Discharged,outco_binary_outcome
outco_binary_outcome___Censored,outcome,binary,Censored,outco_binary_outcome
country,presentation,section,COUNTRY,
country_iso,presentation,categorical,Country ISO Code,country
country_iso___GBR,presentation,binary,GBR,country_iso
country_iso___CAN,presentation,binary,CAN,country_iso
country_iso___COL,presentation,binary,COL,country_iso
country_iso___BRA,presentation,binary,BRA,country_iso
