index,BRA,CAN,COL,GBR
07-2024,0.0,0.0,1.0,0.0
08-2024,0.0,1.0,0.0,0.0
08-2024,1.0,0.0,0.0,0.0
09-2024,0.0,0.0,1.0,0.0
09-2024,0.0,0.0,0.0,1.0
09-2024,0.0,0.0,0.0,1.0
09-2024,0.0,0.0,1.0,0.0
09-2024,1.0,0.0,0.0,0.0
09-2024,0.0,0.0,0.0,1.0
10-2024,0.0,0.0,0.0,1.0
10-2024,0.0,0.0,1.0,0.0
10-2024,0.0,0.0,0.0,1.0
10-2024,0.0,1.0,0.0,0.0
10-2024,0.0,1.0,0.0,0.0
10-2024,1.0,0.0,0.0,0.0
10-2024,0.0,1.0,0.0,0.0
10-2024,1.0,0.0,0.0,0.0
10-2024,0.0,0.0,2.0,0.0
10-2024,1.0,0.0,0.0,0.0
10-2024,0.0,0.0,0.0,1.0
10-2024,0.0,1.0,0.0,0.0
10-2024,0.0,0.0,1.0,0.0
11-2024,0.0,0.0,0.0,1.0
11-2024,0.0,0.0,0.0,1.0
11-2024,0.0,1.0,0.0,0.0
11-2024,1.0,0.0,0.0,0.0
11-2024,0.0,2.0,0.0,0.0
11-2024,0.0,0.0,1.0,1.0
11-2024,0.0,0.0,0.0,1.0
11-2024,1.0,0.0,0.0,0.0
11-2024,1.0,0.0,0.0,0.0
11-2024,0.0,0.0,0.0,2.0
11-2024,0.0,0.0,0.0,1.0
11-2024,0.0,0.0,1.0,0.0
11-2024,0.0,0.0,1.0,0.0
11-2024,0.0,0.0,1.0,0.0
11-2024,1.0,0.0,0.0,1.0
11-2024,1.0,0.0,0.0,1.0
11-2024,0.0,0.0,0.0,2.0
11-2024,0.0,0.0,1.0,0.0
11-2024,1.0,0.0,0.0,1.0
11-2024,0.0,0.0,0.0,1.0
11-2024,0.0,0.0,1.0,0.0
12-2024,1.0,1.0,1.0,0.0
12-2024,0.0,0.0,0.0,1.0
12-2024,0.0,0.0,2.0,0.0
12-2024,1.0,0.0,1.0,0.0
12-2024,2.0,0.0,0.0,0.0
12-2024,0.0,1.0,0.0,1.0
12-2024,0.0,0.0,1.0,1.0
12-2024,0.0,0.0,1.0,3.0
