side,y_axis,stack_group,value,left_side
Female,0-5,Censored,10,True
Male,0-5,Discharged,2,False
Male,0-5,Censored,1,False
Male,0-5,Death,1,False
Female,0-5,Death,1,True
Female,0-5,Discharged,3,True
Female,6-10,Discharged,7,True
Male,6-10,Discharged,4,False
Female,6-10,Censored,3,True
Male,6-10,Censored,3,False
Male,11-15,Discharged,4,False
Male,11-15,Censored,3,False
Female,11-15,Censored,1,True
Female,11-15,Discharged,6,True
Male,16-20,Discharged,9,False
Male,16-20,Censored,6,False
Female,16-20,Censored,9,True
Female,16-20,Discharged,7,True
Male,21-25,Discharged,12,False
Male,21-25,Death,6,False
Male,21-25,Censored,18,False
Female,21-25,Censored,25,True
Female,21-25,Death,1,True
Female,21-25,Discharged,24,True
Male,26-30,Death,5,False
Female,26-30,Discharged,34,True
Female,26-30,Death,4,True
Female,26-30,Censored,13,True
Male,26-30,Censored,11,False
Male,26-30,Discharged,28,False
Male,31-35,Discharged,23,False
Male,31-35,Death,3,False
Male,31-35,Censored,6,False
Female,31-35,Discharged,21,True
Female,31-35,Censored,12,True
Male,36-40,Discharged,19,False
Male,36-40,Death,2,False
Male,36-40,Censored,19,False
Female,36-40,Discharged,21,True
Female,36-40,Death,2,True
Female,36-40,Censored,24,True
Male,41-45,Discharged,24,False
Male,41-45,Censored,14,False
Male,41-45,Death,6,False
Female,41-45,Discharged,26,True
Female,41-45,Censored,20,True
Female,41-45,Death,9,True
Male,46-50,Discharged,23,False
Male,46-50,Censored,10,False
Male,46-50,Death,3,False
Female,46-50,Censored,14,True
Female,46-50,Discharged,26,True
Female,46-50,Death,1,True
Male,51-55,Discharged,15,False
Male,51-55,Death,1,False
Female,51-55,Censored,15,True
Female,51-55,Death,2,True
Female,51-55,Discharged,14,True
Male,51-55,Censored,17,False
Male,56-60,Censored,7,False
Female,56-60,Censored,15,True
Female,56-60,Death,2,True
Female,56-60,Discharged,21,True
Male,56-60,Discharged,13,False
Male,61-65,Censored,9,False
Male,61-65,Death,2,False
Male,61-65,Discharged,13,False
Female,61-65,Death,2,True
Female,61-65,Censored,4,True
Female,61-65,Discharged,14,True
Female,66-70,Censored,15,True
Female,66-70,Death,2,True
Female,66-70,Discharged,15,True
Male,66-70,Death,5,False
Male,66-70,Censored,6,False
Male,66-70,Discharged,14,False
Female,71-75,Censored,7,True
Female,71-75,Death,3,True
Male,71-75,Death,2,False
Female,71-75,Discharged,10,True
Male,71-75,Censored,14,False
Male,71-75,Discharged,12,False
Female,76-80,Discharged,17,True
Male,76-80,Censored,9,False
Male,76-80,Death,7,False
Male,76-80,Discharged,9,False
Female,76-80,Censored,8,True
Female,76-80,Death,4,True
Male,81-85,Discharged,11,False
Male,81-85,Censored,8,False
Female,81-85,Discharged,11,True
Female,81-85,Censored,7,True
Male,81-85,Death,6,False
Male,86-90,Discharged,11,False
Female,86-90,Discharged,8,True
Female,86-90,Death,2,True
Female,86-90,Censored,3,True
Male,86-90,Death,1,False
Male,86-90,Censored,4,False
Male,91-95,Censored,1,False
Female,91-95,Censored,1,True
Female,91-95,Discharged,3,True
Male,91-95,Death,2,False
Male,91-95,Discharged,2,False
Male,96-100,Censored,1,False
Female,96-100,Discharged,1,True
Male,96-100,Death,1,False
Male,96-100,Discharged,2,False
