Variable,All,Female,Male
<b>Totals</b>,1000,530,470
<b><i>DEMOGRAPHICS</i></b>,,,
<b>Age</b> (+),45.0 (30.0-65.0) | 1000,43.0 (29.0-61.0) | 530,46.0 (31.0-68.8) | 470
<b>Employed as a healthcare worker</b> (*), 173 (17.3) | 1000,106 (20.0) | 530, 67 (14.3) | 470
<b><i>CO-MORBIDITIES AND RISK FACTORS</i></b>,,,
<b>Hypertension (physician diagnosed)</b> (*), 253 (25.3) | 1000,155 (29.2) | 530, 98 (20.9) | 470
<b>Chronic kidney disease</b> (*), 146 (14.6) | 1000, 64 (12.1) | 530, 82 (17.4) | 470
<b>Stage of chronic kidney disease</b> (*),,,
   ↳ Stage 1,  30 (20.5) |  146, 20 (31.2) |  64, 10 (12.2) |  82
   ↳ Stage 2,  55 (37.7) |  146, 21 (32.8) |  64, 34 (41.5) |  82
   ↳ Stage 3a,  41 (28.1) |  146, 15 (23.4) |  64, 26 (31.7) |  82
   ↳ Stage 3b,  14 ( 9.6) |  146,  6 ( 9.4) |  64,  8 ( 9.8) |  82
   ↳ Stage 4,   5 ( 3.4) |  146,  2 ( 3.1) |  64,  3 ( 3.7) |  82
   ↳ Stage 5,   1 ( 0.7) |  146,  0 ( 0.0) |  64,  1 ( 1.2) |  82
<b>Liver disease</b> (*), 144 (14.4) | 1000, 58 (10.9) | 530, 86 (18.3) | 470
<b>Type of liver disease</b> (*),,,
   ↳ Mild,  86 (59.7) |  144, 38 (65.5) |  58, 48 (55.8) |  86
   ↳ Moderate or severe,  58 (40.3) |  144, 20 (34.5) |  58, 38 (44.2) |  86
<b>Obesity</b> (*), 270 (27.0) | 1000,130 (24.5) | 530,140 (29.8) | 470
<b>Diabetes mellitus</b> (*), 181 (18.1) | 1000, 76 (14.3) | 530,105 (22.3) | 470
<b>Ever smoked</b> (*), 180 (18.0) | 1000, 97 (18.3) | 530, 83 (17.7) | 470
