index,label,count
"('comor_hypertensi',)","('<b>Hypertension (physician diagnosed)</b>',)",89
"('comor_obesity', 'comor_hypertensi')","('<b>Obesity</b>', '<b>Hypertension (physician diagnosed)</b>')",52
"('comor_smoking_yn',)","('<b>Ever smoked</b>',)",47
"('comor_obesity',)","('<b>Obesity</b>',)",42
"('comor_hypertensi', 'comor_smoking_yn')","('<b>Hypertension (physician diagnosed)</b>', '<b>Ever smoked</b>')",42
"('comor_diabetes_yn',)","('<b>Diabetes mellitus</b>',)",41
"('comor_obesity', 'comor_diabetes_yn', 'comor_chrkidney')","('<b>Obesity</b>', '<b>Diabetes mellitus</b>', '<b>Chronic kidney disease</b>')",39
"('comor_obesity', 'comor_smoking_yn')","('<b>Obesity</b>', '<b>Ever smoked</b>')",39
"('comor_obesity', 'comor_diabetes_yn')","('<b>Obesity</b>', '<b>Diabetes mellitus</b>')",38
"('comor_obesity', 'comor_chrkidney')","('<b>Obesity</b>', '<b>Chronic kidney disease</b>')",34
"('comor_hypertensi', 'comor_diabetes_yn')","('<b>Hypertension (physician diagnosed)</b>', '<b>Diabetes mellitus</b>')",24
"('comor_chrkidney',)","('<b>Chronic kidney disease</b>',)",24
"('comor_hypertensi', 'comor_chrkidney')","('<b>Hypertension (physician diagnosed)</b>', '<b>Chronic kidney disease</b>')",20
"('comor_diabetes_yn', 'comor_smoking_yn')","('<b>Diabetes mellitus</b>', '<b>Ever smoked</b>')",17
"('comor_smoking_yn', 'comor_chrkidney')","('<b>Ever smoked</b>', '<b>Chronic kidney disease</b>')",9
"('comor_obesity', 'comor_smoking_yn', 'comor_chrkidney')","('<b>Obesity</b>', '<b>Ever smoked</b>', '<b>Chronic kidney disease</b>')",6
"('comor_obesity', 'comor_hypertensi', 'comor_chrkidney')","('<b>Obesity</b>', '<b>Hypertension (physician diagnosed)</b>', '<b>Chronic kidney disease</b>')",5
"('comor_hypertensi', 'comor_diabetes_yn', 'comor_smoking_yn')","('<b>Hypertension (physician diagnosed)</b>', '<b>Diabetes mellitus</b>', '<b>Ever smoked</b>')",5
"('comor_obesity', 'comor_hypertensi', 'comor_diabetes_yn')","('<b>Obesity</b>', '<b>Hypertension (physician diagnosed)</b>', '<b>Diabetes mellitus</b>')",4
"('comor_obesity', 'comor_hypertensi', 'comor_smoking_yn')","('<b>Obesity</b>', '<b>Hypertension (physician diagnosed)</b>', '<b>Ever smoked</b>')",4
"('comor_obesity', 'comor_diabetes_yn', 'comor_smoking_yn')","('<b>Obesity</b>', '<b>Diabetes mellitus</b>', '<b>Ever smoked</b>')",4
"('comor_hypertensi', 'comor_diabetes_yn', 'comor_chrkidney')","('<b>Hypertension (physician diagnosed)</b>', '<b>Diabetes mellitus</b>', '<b>Chronic kidney disease</b>')",4
"('comor_obesity', 'comor_hypertensi', 'comor_diabetes_yn', 'comor_smoking_yn')","('<b>Obesity</b>', '<b>Hypertension (physician diagnosed)</b>', '<b>Diabetes mellitus</b>', '<b>Ever smoked</b>')",2
"('comor_hypertensi', 'comor_smoking_yn', 'comor_chrkidney')","('<b>Hypertension (physician diagnosed)</b>', '<b>Ever smoked</b>', '<b>Chronic kidney disease</b>')",2
"('comor_diabetes_yn', 'comor_smoking_yn', 'comor_chrkidney')","('<b>Diabetes mellitus</b>', '<b>Ever smoked</b>', '<b>Chronic kidney disease</b>')",2
"('comor_obesity', 'comor_diabetes_yn', 'comor_smoking_yn', 'comor_chrkidney')","('<b>Obesity</b>', '<b>Diabetes mellitus</b>', '<b>Ever smoked</b>', '<b>Chronic kidney disease</b>')",1
