Variable,HR (multi),p-value (multi),HR (uni),p-value (uni)
<b>DEMOGRAPHICS</b>,,,,
"<b>Sex at birth</b>, Male","1.52 (0.95, 2.43)",0.078,"1.41 (0.92, 2.16)",0.118
<b>Age</b>,"0.99 (0.98, 1.00)",0.018 (*),"0.99 (0.98, 1.00)",0.033 (*)
<b>Employed as a healthcare worker</b>,"0.91 (0.47, 1.76)",0.775,"1.15 (0.61, 2.17)",0.668
<b>CO-MORBIDITIES AND RISK FACTORS</b>,,,,
<b>Hypertension (physician diagnosed)</b>,"1.68 (1.06, 2.65)",0.026 (*),"1.65 (1.08, 2.53)",0.021 (*)
<b>Chronic kidney disease</b>,"0.48 (0.27, 0.87)",0.015 (*),"0.63 (0.36, 1.10)",0.104
<b>Liver disease</b>,"0.53 (0.30, 0.96)",0.035 (*),"0.59 (0.34, 1.03)",0.062
<b>Obesity</b>,"1.25 (0.77, 2.03)",0.361,"1.08 (0.69, 1.69)",0.731
<b>Diabetes mellitus</b>,"1.69 (1.05, 2.75)",0.032 (*),"1.83 (1.17, 2.87)",0.009 (**)
<b>Ever smoked</b>,"1.37 (0.80, 2.33)",0.247,"1.50 (0.91, 2.48)",0.111
<b>VACCINATION</b>,,,,
<b>Vaccinated for seasonal influenza (ever)</b>,"2.69 (1.70, 4.25)",<0.001 (**),"2.27 (1.49, 3.48)",<0.001 (**)
<b>SIGNS AND SYMPTOMS ON ADMISSION</b>,,,,
<b>Fever</b>,"1.75 (1.03, 2.98)",0.040 (*),"1.42 (0.86, 2.37)",0.173
<b>Headache</b>,"1.22 (0.77, 1.94)",0.406,"0.95 (0.63, 1.45)",0.824
<b>VITAL SIGNS & ASSESSMENTS</b>,,,,
<b>Glasgow Coma Score (GCS / 15)</b>,,,,
   ↳ Severe (less than 9),"1.96 (1.15, 3.33)",0.013 (*),"1.69 (1.04, 2.75)",0.034 (*)
   ↳ Moderate (9 to 11),"1.22 (0.70, 2.13)",0.477,"1.15 (0.70, 1.89)",0.591
