Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,264,272,464
<b><i>COMPLICATIONS</i></b>,,,,
<b>Stroke / cerebrovascular accident</b> (*), 322 (49.9) |  645, 73 (44.2) | 165,101 (55.8) | 181,148 (49.5) | 299
<b>Severe neurological disease</b> (*), 312 (50.6) |  617, 83 (51.2) | 162, 94 (55.0) | 171,135 (47.5) | 284
<b>Seizure</b> (*), 318 (50.4) |  631, 86 (49.1) | 175, 84 (50.9) | 165,148 (50.9) | 291
<b>Focal neurological signs</b> (*), 314 (50.1) |  627, 68 (43.6) | 156, 92 (52.6) | 175,154 (52.0) | 296
<b>Encephalitis</b> (*), 327 (50.7) |  645, 92 (52.9) | 174, 84 (51.5) | 163,151 (49.0) | 308
<b>Meningitis</b> (*), 323 (53.6) |  603, 91 (54.8) | 166, 84 (54.9) | 153,148 (52.1) | 284
<b>Cardiac ischaemia</b> (*), 306 (49.8) |  614, 78 (49.4) | 158, 78 (47.3) | 165,150 (51.5) | 291
<b>Endocarditis</b> (*), 303 (48.0) |  631, 83 (51.2) | 162, 83 (46.6) | 178,137 (47.1) | 291
<b>Cardiomyopathy</b> (*), 341 (54.0) |  631,101 (58.0) | 174, 92 (52.0) | 177,148 (52.9) | 280
<b>Congestive heart failure</b> (*), 335 (53.0) |  632, 91 (53.5) | 170, 91 (52.3) | 174,153 (53.1) | 288
<b>Cardiac arrhythmia</b> (*), 311 (46.8) |  664, 84 (45.9) | 183, 77 (41.4) | 186,150 (50.8) | 295
<b>Cardiac arrest</b> (*), 321 (50.3) |  638, 85 (54.5) | 156, 93 (53.4) | 174,143 (46.4) | 308
<b>Myocarditis</b> (*), 312 (48.7) |  641, 73 (46.5) | 157, 87 (47.5) | 183,152 (50.5) | 301
<b>Pericarditis</b> (*), 330 (52.9) |  624, 91 (56.2) | 162, 86 (53.8) | 160,153 (50.7) | 302
<b>Viral pneumonia / pneumonitis</b> (*), 318 (50.2) |  634, 93 (53.4) | 174, 82 (49.4) | 166,143 (48.6) | 294
<b>Bacterial pneumonia</b> (*), 318 (48.6) |  654, 78 (49.7) | 157, 90 (48.9) | 184,150 (47.9) | 313
<b>Pleural effusion</b> (*), 322 (49.8) |  647, 80 (45.5) | 176, 87 (50.9) | 171,155 (51.7) | 300
<b>Cryptogenic organising pneumonia (COP)</b> (*), 324 (50.4) |  643, 93 (54.1) | 172, 86 (51.8) | 166,145 (47.5) | 305
<b>Bronchiolitis</b> (*), 289 (47.4) |  610, 72 (42.6) | 169, 82 (51.9) | 158,135 (47.7) | 283
<b>Acute Respiratory Distress Syndrome (ARDS)</b> (*), 344 (53.6) |  642, 85 (51.5) | 165, 91 (53.2) | 171,168 (54.9) | 306
