Variable,All,Female,Male,Other / Unknown
<b>Totals</b>,1000,246,234,520
<b><i>DEMOGRAPHICS</i></b>,,,,
<b>Age</b> (+), 3.9 ( 0.2-28.8) |  956, 4.0 ( 0.2-35.6) | 241, 3.4 ( 0.2-28.3) | 225, 4.1 ( 0.2-27.8) | 490
<b>Employed as a healthcare worker</b> (*), 317 (50.3) |  630, 95 (55.9) | 170, 71 (49.3) | 144,151 (47.8) | 316
<b>Patient facing</b> (*),  99 (50.5) |  196, 31 (54.4) |  57, 23 (50.0) |  46, 45 (48.4) |  93
<b>Exposed to biological samples</b> (*), 106 (52.5) |  202, 33 (49.3) |  67, 24 (60.0) |  40, 49 (51.6) |  95
<b><i>CO-MORBIDITIES AND RISK FACTORS</i></b>,,,,
<b>Chronic cardiac disease (not hypertension)</b> (*), 315 (49.1) |  641, 81 (51.6) | 157, 81 (53.6) | 151,153 (45.9) | 333
<b>Hypertension (physician diagnosed)</b> (*), 319 (49.7) |  642, 71 (46.7) | 152, 69 (45.4) | 152,179 (53.0) | 338
<b>Chronic pulmonary disease (not asthma)</b> (*), 327 (50.9) |  643, 76 (52.8) | 144, 80 (51.9) | 154,171 (49.6) | 345
<b>Asthma (physician diagnosed)</b> (*), 328 (51.3) |  639, 78 (51.0) | 153, 78 (53.1) | 147,172 (50.7) | 339
<b>Chronic kidney disease</b> (*), 318 (50.1) |  635, 79 (48.5) | 163, 62 (42.8) | 145,177 (54.1) | 327
<b>Liver disease</b> (*), 318 (49.7) |  640, 72 (48.6) | 148, 88 (55.0) | 160,158 (47.6) | 332
<b>Type of liver disease</b> (*),,,,
   ↳ Mild,  95 (48.7) |  195, 24 (54.5) |  44, 20 (40.8) |  49, 51 (50.0) | 102
   ↳ Moderate or severe, 100 (51.3) |  195, 20 (45.5) |  44, 29 (59.2) |  49, 51 (50.0) | 102
<b>HIV</b> (*), 301 (50.1) |  601, 74 (50.0) | 148, 65 (48.9) | 133,162 (50.6) | 320
<b>On Anti-retroviral therapy (ART)</b> (*), 106 (57.3) |  185, 26 (56.5) |  46, 26 (66.7) |  39, 54 (54.0) | 100
<b>Most recent CD4 count (cells/uL)</b> (*),,,,
   ↳ Less than 50,  40 (16.7) |  240,  9 (15.8) |  57, 13 (23.2) |  56, 18 (14.2) | 127
   ↳ 50-99,  54 (22.5) |  240, 17 (29.8) |  57, 11 (19.6) |  56, 26 (20.5) | 127
   ↳ 100-199,  47 (19.6) |  240,  6 (10.5) |  57, 10 (17.9) |  56, 31 (24.4) | 127
   ↳ 200-499,  48 (20.0) |  240, 10 (17.5) |  57,  8 (14.3) |  56, 30 (23.6) | 127
   ↳ 500 and over,  51 (21.2) |  240, 15 (26.3) |  57, 14 (25.0) |  56, 22 (17.3) | 127
<b>Detectable viral load</b> (*),,,,
   ↳ Yes-detectable,  95 (52.8) |  180, 23 (52.3) |  44, 20 (50.0) |  40, 52 (54.2) |  96
   ↳ No,  85 (47.2) |  180, 21 (47.7) |  44, 20 (50.0) |  40, 44 (45.8) |  96
<b>Most recent HIV viral load (copies/mL)</b> (+),2595455.8 (1402482.0-3673185.8) |   90,2310988.2 (1193566.2-3400813.2) |  22,2716740.5 (1843899.2-3913383.8) |  18,2723262.2 (1499426.0-3595348.9) |  50
<b>Tuberculosis</b> (*), 330 (52.5) |  629, 78 (48.1) | 162, 69 (46.6) | 148,183 (57.4) | 319
<b>Specify tuberculosis type</b>,,,,
   ↳ Active pulmonary, 145 (23.8) |  609, 34 (21.8) | 156, 31 (21.8) | 142, 80 (25.7) | 311
   ↳ Active extra-pulmonary, 139 (22.8) |  609, 28 (17.9) | 156, 30 (21.1) | 142, 81 (26.0) | 311
   ↳ Latent, 152 (25.0) |  609, 37 (23.7) | 156, 28 (19.7) | 142, 87 (28.0) | 311
   ↳ Unknown, 163 (26.8) |  609, 30 (19.2) | 156, 42 (29.6) | 142, 91 (29.3) | 311
<b>Obesity</b> (*), 333 (50.4) |  661, 84 (48.8) | 172, 83 (58.0) | 143,166 (48.0) | 346
<b>Asplenia</b> (*), 312 (48.2) |  647, 83 (51.2) | 162, 75 (48.7) | 154,154 (46.5) | 331
<b>Chronic hematologic disease</b> (*), 318 (49.8) |  638, 85 (51.8) | 164, 71 (51.1) | 139,162 (48.4) | 335
<b>Rheumatologic disorder</b> (*), 313 (48.6) |  644, 84 (54.9) | 153, 62 (42.8) | 145,167 (48.3) | 346
<b>Diabetes mellitus</b> (*), 318 (50.8) |  626, 82 (54.7) | 150, 67 (44.7) | 150,169 (51.8) | 326
<b>Type 1 diabetes mellitus</b> (*), 110 (52.9) |  208, 29 (51.8) |  56, 28 (60.9) |  46, 53 (50.0) | 106
<b>Type 2 diabetes mellitus</b> (*),  96 (51.1) |  188, 22 (52.4) |  42, 20 (48.8) |  41, 54 (51.4) | 105
<b>Gestational diabetes mellitus</b> (*), 104 (51.0) |  204, 28 (51.9) |  54, 18 (42.9) |  42, 58 (53.7) | 108
<b>Malnutrition</b> (*), 308 (47.2) |  653, 68 (43.9) | 155, 73 (48.3) | 151,167 (48.1) | 347
<b>Ever smoked</b> (*), 348 (54.2) |  642, 82 (50.6) | 162, 88 (57.1) | 154,178 (54.6) | 326
<b>Current smoker</b> (*),  97 (45.8) |  212, 24 (51.1) |  47, 26 (46.4) |  56, 47 (43.1) | 109
<b>Former smoker</b> (*), 113 (49.3) |  229, 26 (42.6) |  61, 32 (55.2) |  58, 55 (50.0) | 110
