variable,proportion,label,short_label
compl_severebleed_yn,0.5454545454545454,<b>Severe bleeding (requiring intervention)</b>,<b>Severe bleeding (requiring intervention)</b>
compl_hypoglycem,0.5433070866141733,<b>Hypoglycaemia</b>,<b>Hypoglycaemia</b>
compl_cardiomyop,0.5404120443740095,<b>Cardiomyopathy</b>,<b>Cardiomyopathy</b>
compl_ards,0.5358255451713395,<b>Acute Respiratory Distress Syndrome (ARDS)</b>,<b>Acute Respiratory Distress Syndrome ...</b>
compl_chf,0.5300632911392406,<b>Congestive heart failure</b>,<b>Congestive heart failure</b>
compl_pericarditis,0.5288461538461539,<b>Pericarditis</b>,<b>Pericarditis</b>
compl_thrombemb_yn,0.5277337559429477,<b>Thromboembolism</b>,<b>Thromboembolism</b>
compl_pancreatit,0.5251572327044025,<b>Pancreatitis</b>,<b>Pancreatitis</b>
compl_encephalitis,0.5069767441860465,<b>Encephalitis</b>,<b>Encephalitis</b>
compl_copneumoni,0.5038880248833593,<b>Cryptogenic organising pneumonia (COP)</b>,<b>Cryptogenic organising pneumonia (COP)</b>
