variable,proportion,label,short_label
comor_unlisted_2addi,0.6666666666666666,<b>->Any additional other relevant comorbidity(s) ?</b>,<b>->Any additional other relevant ...</b>
comor_aids_art,0.572972972972973,<b>On Anti-retroviral therapy (ART)</b>,<b>On Anti-retroviral therapy (ART)</b>
comor_smoking,0.5420560747663551,<b>Ever smoked</b>,<b>Ever smoked</b>
comor_unlisted_0addi,0.5319148936170213,<b>Any additional other relevant comorbidity(s) ?</b>,<b>Any additional other relevant ...</b>
comor_diabetes_type1,0.5288461538461539,<b>Type 1 diabetes mellitus</b>,<b>Type 1 diabetes mellitus</b>
comor_aids_vrl___Yes-detectable,0.5277777777777778,"<b>Detectable viral load</b>, Yes-detectable","<b>Detectable viral load</b>, Yes-detectable"
comor_tuberculos,0.5246422893481717,<b>Tuberculosis</b>,<b>Tuberculosis</b>
comor_asthma,0.513302034428795,<b>Asthma (physician diagnosed)</b>,<b>Asthma (physician diagnosed)</b>
comor_liverdisease_type___Moderate or severe,0.5128205128205128,"<b>Type of liver disease</b>, Moderate or severe","<b>Type of liver disease</b>, Moderate or severe"
comor_diabetes_type2,0.5106382978723404,<b>Type 2 diabetes mellitus</b>,<b>Type 2 diabetes mellitus</b>
