variable,proportion,label,short_label
adsym_chestpain,0.5488958990536278,<b>Chest pain</b>,<b>Chest pain</b>
adsym_seizconv,0.5330188679245284,<b>Seizures / convulsions</b>,<b>Seizures / convulsions</b>
adsym_vomit,0.5143769968051118,<b>Vomiting</b>,<b>Vomiting</b>
adsym_arthralgia,0.5077639751552795,<b>Joint pain / arthralgia</b>,<b>Joint pain / arthralgia</b>
adsym_consti,0.5069984447900466,<b>Constipation</b>,<b>Constipation</b>
adsym_diarrhoea,0.505564387917329,<b>Diarrhoea</b>,<b>Diarrhoea</b>
adsym_myalgia,0.5023771790808241,<b>Muscle aches / myalgia</b>,<b>Muscle aches / myalgia</b>
adsym_jaund,0.5023547880690737,<b>Jaundice</b>,<b>Jaundice</b>
adsym_urine,0.4977168949771689,<b>Urinary retention</b>,<b>Urinary retention</b>
adsym_mobilchg,0.49022556390977445,<b>Change in mobility from baseline</b>,<b>Change in mobility from baseline</b>
