Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,264,272,464
<b><i>EXPOSURE HISTORY IN PREVIOUS 14 DAYS</i></b>,,,,
<b>History of contact with suspected or confirmed human case of same pathogen?</b> (*), 297 (47.7) |  622, 86 (50.3) | 171, 83 (47.7) | 174,128 (46.2) | 277
<b>Type of human exposure</b>,,,,
   ↳ Community contact, 133 (21.8) |  609, 43 (25.7) | 167, 35 (20.6) | 170, 55 (20.2) | 272
   ↳ Vertical transmission, 129 (21.2) |  609, 41 (24.6) | 167, 33 (19.4) | 170, 55 (20.2) | 272
   ↳ Healthcare worker exposure, 150 (24.6) |  609, 41 (24.6) | 167, 44 (25.9) | 170, 65 (23.9) | 272
   ↳ Sexual transmission, 148 (24.3) |  609, 41 (24.6) | 167, 40 (23.5) | 170, 67 (24.6) | 272
   ↳ Family / household contact, 140 (23.0) |  609, 41 (24.6) | 167, 34 (20.0) | 170, 65 (23.9) | 272
   ↳ Other, 153 (25.1) |  609, 43 (25.7) | 167, 42 (24.7) | 170, 68 (25.0) | 272
   ↳ Unknown, 149 (24.5) |  609, 40 (24.0) | 167, 47 (27.6) | 170, 62 (22.8) | 272
<b><i>MEDICATION PREVIOUS 14-DAYS</i></b>,,,,
<b>Antiviral</b> (*), 325 (51.0) |  637, 92 (52.9) | 174, 69 (44.2) | 156,164 (53.4) | 307
<b>Antiviral</b> (*),,,,
   ↳ Brincidofovir,  82 (26.8) |  306, 27 (30.3) |  89, 20 (31.2) |  64, 35 (22.9) | 153
   ↳ Cidofovir (Vistide),  77 (25.2) |  306, 26 (29.2) |  89, 11 (17.2) |  64, 40 (26.1) | 153
   ↳ Tecovirimat,  75 (24.5) |  306, 23 (25.8) |  89, 16 (25.0) |  64, 36 (23.5) | 153
   ↳ Other,  72 (23.5) |  306, 13 (14.6) |  89, 17 (26.6) |  64, 42 (27.5) | 153
<b>Antiviral administration route</b> (*),,,,
   ↳ Oral,  65 (26.3) |  247, 15 (21.7) |  69, 19 (33.9) |  56, 31 (25.4) | 122
   ↳ Inhaled,  65 (26.3) |  247, 18 (26.1) |  69, 10 (17.9) |  56, 37 (30.3) | 122
   ↳ IV,  55 (22.3) |  247, 18 (26.1) |  69, 14 (25.0) |  56, 23 (18.9) | 122
   ↳ Topical,  62 (25.1) |  247, 18 (26.1) |  69, 13 (23.2) |  56, 31 (25.4) | 122
<b>Number of days antivirals taken</b> (+),46.4 (24.4-73.6) |  309,46.2 (22.4-70.0) |  87,41.6 (27.1-76.9) |  65,47.3 (24.9-72.4) | 157
<b>Steroid</b> (*), 321 (50.9) |  631, 92 (52.6) | 175, 84 (50.0) | 168,145 (50.3) | 288
<b>Steroid</b> (*),,,,
"   ↳ Dexamethasone (Decadron, Dexasone, Diodex)",  60 (19.5) |  308, 16 (18.0) |  89, 18 (22.8) |  79, 26 (18.6) | 140
"   ↳ Hydrocortisone (Cortef, Solu-Cortef)",  62 (20.1) |  308, 22 (24.7) |  89, 17 (21.5) |  79, 23 (16.4) | 140
"   ↳ Methylprednisolone (Medrol, Solu-Medrol)",  66 (21.4) |  308, 18 (20.2) |  89, 17 (21.5) |  79, 31 (22.1) | 140
   ↳ Prednisone (Deltasone),  52 (16.9) |  308, 12 (13.5) |  89, 11 (13.9) |  79, 29 (20.7) | 140
   ↳ Other,  68 (22.1) |  308, 21 (23.6) |  89, 16 (20.3) |  79, 31 (22.1) | 140
<b>Immunosuppressant agents (not steroids)</b> (*), 302 (49.7) |  608, 79 (48.8) | 162, 92 (52.6) | 175,131 (48.3) | 271
<b>Immunosuppressant agents (not steroids)</b> (*),,,,
   ↳ Other, 283 (100.) |  283, 73 (100.) |  73, 86 (100.) |  86,124 (100.) | 124
<b>Antibiotics</b> (*), 293 (49.7) |  590, 74 (50.7) | 146, 80 (48.8) | 164,139 (49.6) | 280
<b>Antibiotics</b> (*),,,,
