variable,proportion,label,short_label
sympt_feverplus,0.5647840531561462,<b>Fever / chills / rigors</b>,<b>Fever / chills / rigors</b>
sympt_chestpain,0.5525423728813559,<b>Chest pain</b>,<b>Chest pain</b>
sympt_neurodist,0.5443037974683544,<b>Psychological disturbance</b>,<b>Psychological disturbance</b>
sympt_confusion,0.5432098765432098,<b>Altered consciousness / confusion</b>,<b>Altered consciousness / confusion</b>
sympt_cough_prod,0.5368421052631579,<b>Productive</b>,<b>Productive</b>
sympt_urine,0.53125,<b>Urinary retention</b>,<b>Urinary retention</b>
sympt_fatigue,0.5298013245033113,<b>Fatigue / malaise / lethargy</b>,<b>Fatigue / malaise / lethargy</b>
sympt_vomit2d,0.5280898876404494,<b>Persistent vomiting? (>=2/day)</b>,<b>Persistent vomiting? (>=2/day)</b>
sympt_mobilchg,0.5217391304347826,<b>Change in mobility from baseline</b>,<b>Change in mobility from baseline</b>
sympt_diarrhoea,0.5205479452054794,<b>Diarrhoea</b>,<b>Diarrhoea</b>
