index,label,count
"('treat_o2supp_suppleo2',)","('<b>Supplemental oxygen</b>',)",107
"('treat_prone',)","('<b>Prone positioning</b>',)",56
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_prone_when___Whilst self-ventilating')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>When was the prone positioning?</b>, Whilst self-ventilating')",46
"('treat_prone', 'treat_prone_when___Whilst self-ventilating')","('<b>Prone positioning</b>', '<b>When was the prone positioning?</b>, Whilst self-ventilating')",46
"('treat_prone', 'treat_prone_when___During invasive ventilation')","('<b>Prone positioning</b>', '<b>When was the prone positioning?</b>, During invasive ventilation')",43
"('treat_prone', 'treat_o2supp_suppleo2')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>')",42
"('treat_o2supp_suppleo2', 'treat_o2supp_ecmotyp___Veno-venous (VV)')","('<b>Supplemental oxygen</b>', '<b>Type of ECLS / ECMO</b>, Veno-venous (VV)')",34
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_prone_when___During invasive ventilation')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>When was the prone positioning?</b>, During invasive ventilation')",28
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_ecmotyp___Veno-venous (VV)', 'treat_prone_when___During invasive ventilation')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Type of ECLS / ECMO</b>, Veno-venous (VV)', '<b>When was the prone positioning?</b>, During invasive ventilation')",7
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_ecmotyp___Veno-venous (VV)', 'treat_prone_when___Whilst self-ventilating')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Type of ECLS / ECMO</b>, Veno-venous (VV)', '<b>When was the prone positioning?</b>, Whilst self-ventilating')",4
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_ecmotyp___Veno-venous (VV)')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Type of ECLS / ECMO</b>, Veno-venous (VV)')",4
"('treat_prone', 'treat_prone_when___Whilst self-ventilating', 'treat_prone_when___During invasive ventilation')","('<b>Prone positioning</b>', '<b>When was the prone positioning?</b>, Whilst self-ventilating', '<b>When was the prone positioning?</b>, During invasive ventilation')",4
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_prone_when___Whilst self-ventilating', 'treat_prone_when___During invasive ventilation')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>When was the prone positioning?</b>, Whilst self-ventilating', '<b>When was the prone positioning?</b>, During invasive ventilation')",3
