index,label,count
"('treat_prone',)","('<b>Prone positioning</b>',)",149
"('treat_o2supp_suppleo2', 'treat_o2supp_type___Face mask', 'treat_o2supp_type___Non-invasive ventilation', 'treat_o2supp_type___ECLS/ ECMO')","('<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Face mask', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Non-invasive ventilation', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, ECLS/ ECMO')",29
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_type___Face mask', 'treat_o2supp_type___Non-invasive ventilation', 'treat_o2supp_type___ECLS/ ECMO')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Face mask', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Non-invasive ventilation', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, ECLS/ ECMO')",25
"('treat_prone', 'treat_o2supp_suppleo2')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>')",22
"('treat_o2supp_suppleo2', 'treat_o2supp_type___Face mask', 'treat_o2supp_type___ECLS/ ECMO')","('<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Face mask', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, ECLS/ ECMO')",21
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_type___Face mask', 'treat_o2supp_type___Non-invasive ventilation')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Face mask', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Non-invasive ventilation')",19
"('treat_o2supp_suppleo2', 'treat_o2supp_type___Non-invasive ventilation', 'treat_o2supp_type___ECLS/ ECMO')","('<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Non-invasive ventilation', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, ECLS/ ECMO')",19
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_type___Face mask', 'treat_o2supp_type___ECLS/ ECMO')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Face mask', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, ECLS/ ECMO')",17
"('treat_o2supp_suppleo2', 'treat_o2supp_type___Non-invasive ventilation')","('<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Non-invasive ventilation')",17
"('treat_o2supp_suppleo2',)","('<b>Supplemental oxygen</b>',)",17
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_type___Face mask')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Face mask')",16
"('treat_o2supp_suppleo2', 'treat_o2supp_type___Face mask', 'treat_o2supp_type___Non-invasive ventilation')","('<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Face mask', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Non-invasive ventilation')",15
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_type___ECLS/ ECMO')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, ECLS/ ECMO')",14
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_type___Non-invasive ventilation')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Non-invasive ventilation')",13
"('treat_o2supp_suppleo2', 'treat_o2supp_type___Face mask')","('<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Face mask')",12
"('treat_o2supp_suppleo2', 'treat_o2supp_type___ECLS/ ECMO')","('<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, ECLS/ ECMO')",11
"('treat_prone', 'treat_o2supp_suppleo2', 'treat_o2supp_type___Non-invasive ventilation', 'treat_o2supp_type___ECLS/ ECMO')","('<b>Prone positioning</b>', '<b>Supplemental oxygen</b>', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, Non-invasive ventilation', '<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of assessment</b>, ECLS/ ECMO')",8
