variable,proportion,label,short_label
compl_bacteraemi,0.9652694610778443,<b>Bacteraemia</b>,<b>Bacteraemia</b>
compl_meningitis,0.8453389830508474,<b>Meningitis</b>,<b>Meningitis</b>
compl_strokecva,0.8275862068965517,<b>Stroke / cerebrovascular accident</b>,<b>Stroke / cerebrovascular accident</b>
compl_cardiarrhy,0.8239277652370203,<b>Cardiac arrhythmia</b>,<b>Cardiac arrhythmia</b>
compl_encephalitis,0.8184855233853007,<b>Encephalitis</b>,<b>Encephalitis</b>
compl_focalneuro,0.7622377622377622,<b>Focal neurological signs</b>,<b>Focal neurological signs</b>
compl_jaundice,0.7497103128621089,<b>Jaundice</b>,<b>Jaundice</b>
compl_myocarditis,0.7327365728900256,<b>Myocarditis</b>,<b>Myocarditis</b>
compl_eschar,0.7017326732673267,<b>Skin tissue loss or eschar</b>,<b>Skin tissue loss or eschar</b>
compl_thrombemb,0.5712765957446808,<b>Thromboembolism</b>,<b>Thromboembolism</b>
