Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,278,82,640
<b><i>COMPLICATIONS</i></b>,,,,
<b>Stroke / cerebrovascular accident</b> (*),672 (82.8) | 812,192 (84.6) | 227,57 (83.8) | 68,423 (81.8) | 517
<b>Severe neurological disease</b> (*),482 (51.1) | 944,128 (49.0) | 261,43 (53.8) | 80,311 (51.6) | 603
<b>Encephalopathy</b> (*),319 (36.5) | 874,106 (44.4) | 239,27 (37.5) | 72,186 (33.0) | 563
<b>Seizure</b> (*),9 (1.2) | 768,1 (0.5) | 218,1 (1.5) | 66,7 (1.4) | 484
<b>Focal neurological signs</b> (*),654 (76.2) | 858,185 (76.4) | 242,56 (80.0) | 70,413 (75.6) | 546
<b>Encephalitis</b> (*),735 (81.8) | 898,207 (82.1) | 252,60 (82.2) | 73,468 (81.7) | 573
<b>Meningitis</b> (*),798 (84.5) | 944,223 (83.5) | 267,67 (88.2) | 76,508 (84.5) | 601
<b>Guillain-Barre syndrome (GBS)</b> (*),17 (1.9) | 902,4 (1.6) | 247,2 (2.7) | 73,11 (1.9) | 582
<b>Cardiac ischaemia</b> (*),172 (21.6) | 796,47 (21.0) | 224,15 (23.8) | 63,110 (21.6) | 509
<b>Endocarditis</b> (*),422 (53.7) | 786,128 (57.7) | 222,36 (58.1) | 62,258 (51.4) | 502
<b>Cardiomyopathy</b> (*),534 (68.4) | 781,150 (67.9) | 221,40 (63.5) | 63,344 (69.2) | 497
<b>Congestive heart failure</b> (*),518 (54.6) | 948,142 (54.0) | 263,38 (49.4) | 77,338 (55.6) | 608
<b>Cardiac arrhythmia</b> (*),730 (82.4) | 886,201 (80.4) | 250,65 (87.8) | 74,464 (82.6) | 562
<b>Cardiac arrest</b> (*),44 (4.9) | 901,8 (3.2) | 249,5 (6.9) | 72,31 (5.3) | 580
<b>Myocarditis</b> (*),573 (73.3) | 782,158 (76.0) | 208,46 (68.7) | 67,369 (72.8) | 507
<b>Pericarditis</b> (*),391 (40.9) | 957,107 (40.7) | 263,31 (38.3) | 81,253 (41.3) | 613
<b>Viral pneumonia / pneumonitis</b> (*),170 (21.7) | 783,45 (20.4) | 221,12 (19.4) | 62,113 (22.6) | 500
<b>Bacterial pneumonia</b> (*),118 (12.8) | 920,23 (9.0) | 256,16 (20.3) | 79,79 (13.5) | 585
<b>Pleural effusion</b> (*),78 (8.5) | 922,22 (8.6) | 255,7 (9.2) | 76,49 (8.3) | 591
<b>Cryptogenic organising pneumonia (COP)</b> (*),138 (14.9) | 928,34 (13.3) | 255,6 (7.7) | 78,98 (16.5) | 595
<b>Bronchiolitis</b> (*),317 (33.9) | 934,83 (32.0) | 259,20 (25.0) | 80,214 (36.0) | 595
<b>Acute Respiratory Distress Syndrome (ARDS)</b> (*),484 (57.8) | 837,133 (56.8) | 234,43 (63.2) | 68,308 (57.6) | 535
<b>Pancreatitis</b> (*),267 (32.3) | 826,72 (31.9) | 226,17 (25.4) | 67,178 (33.4) | 533
<b>Acute hepatitis</b> (*),53 (6.0) | 881,15 (6.0) | 248,4 (5.9) | 68,34 (6.0) | 565
<b>Severe liver disease (new onset)</b> (*),10 (1.2) | 839,2 (0.8) | 238,0 (0.0) | 72,8 (1.5) | 529
<b>Hepatic encephalopathy (any grade)</b> (*),1 (12.5) | 8,0 (0.0) | 1,N/A,1 (14.3) | 7
<b>Jaundice</b> (*),647 (75.0) | 863,176 (71.8) | 245,53 (75.7) | 70,418 (76.3) | 548
<b>Thromboembolism</b> (*),537 (57.1) | 940,143 (54.0) | 265,35 (46.7) | 75,359 (59.8) | 600
<b>Severe bleeding (requiring intervention)</b> (*),242 (29.5) | 821,67 (29.5) | 227,17 (27.4) | 62,158 (29.7) | 532
<b>Severe bleeding site(s)</b>,,,,
   ↳ Skin,123 (15.3) | 805,31 (14.0) | 221,8 (13.6) | 59,84 (16.0) | 525
   ↳ Petechiae,114 (14.2) | 805,29 (13.1) | 221,8 (13.6) | 59,77 (14.7) | 525
   ↳ Nose,125 (15.5) | 805,36 (16.3) | 221,5 (8.5) | 59,84 (16.0) | 525
   ↳ Gums,108 (13.4) | 805,34 (15.4) | 221,6 (10.2) | 59,68 (13.0) | 525
   ↳ GI tract,110 (13.7) | 805,36 (16.3) | 221,6 (10.2) | 59,68 (13.0) | 525
   ↳ Urinary tract,120 (14.9) | 805,39 (17.6) | 221,11 (18.6) | 59,70 (13.3) | 525
   ↳ Vagina,123 (15.3) | 805,35 (15.8) | 221,9 (15.3) | 59,79 (15.0) | 525
   ↳ Other(s),112 (13.9) | 805,32 (14.5) | 221,8 (13.6) | 59,72 (13.7) | 525
   ↳ Unknown,116 (14.4) | 805,29 (13.1) | 221,10 (16.9) | 59,77 (14.7) | 525
<b>Anaemia</b> (*),189 (20.0) | 945,62 (23.5) | 264,12 (15.0) | 80,115 (19.1) | 601
<b>Coagulation disorder / DIC</b> (*),359 (45.9) | 782,100 (45.7) | 219,28 (43.8) | 64,231 (46.3) | 499
