Variable,All,Female,Male,Other / Unknown
<b>Totals</b>,1000,283,181,536
<b><i>DEMOGRAPHICS</i></b>,,,,
<b>Gender</b> (*),,,,
   ↳ Man,228 (27.6) | 825,58 (25.2) | 230,40 (26.7) | 150,130 (29.2) | 445
   ↳ Woman,274 (33.2) | 825,73 (31.7) | 230,54 (36.0) | 150,147 (33.0) | 445
   ↳ Non-binary,235 (28.5) | 825,78 (33.9) | 230,40 (26.7) | 150,117 (26.3) | 445
   ↳ Other,88 (10.7) | 825,21 (9.1) | 230,16 (10.7) | 150,51 (11.5) | 445
<b>Is the date of birth known?</b> (*),216 (22.7) | 951,65 (24.2) | 269,40 (23.7) | 169,111 (21.6) | 513
<b>Age</b> (+),41.8 (9.7-69.3) | 689,46.6 (14.3-71.9) | 190,34.7 (6.0-62.0) | 123,41.8 (13.9-69.7) | 376
<b>Employed as a healthcare worker</b> (*),508 (57.6) | 882,136 (56.2) | 242,90 (55.2) | 163,282 (59.1) | 477
<b>Patient facing</b> (*),109 (24.1) | 453,30 (24.8) | 121,18 (22.0) | 82,61 (24.4) | 250
<b>Exposed to biological samples</b> (*),245 (52.2) | 469,64 (50.8) | 126,46 (55.4) | 83,135 (51.9) | 260
<b><i>CO-MORBIDITIES AND RISK FACTORS</i></b>,,,,
<b>Chronic neurological disorder</b> (*),419 (56.9) | 737,132 (62.0) | 213,69 (50.7) | 136,218 (56.2) | 388
<b>Chronic cardiac disease (not hypertension)</b> (*),760 (93.8) | 810,211 (90.6) | 233,133 (93.7) | 142,416 (95.6) | 435
<b>Hypertension</b> (*),340 (37.9) | 896,105 (40.1) | 262,61 (37.7) | 162,174 (36.9) | 472
<b>Chronic pulmonary disease (not asthma)</b> (*),816 (99.0) | 824,241 (99.2) | 243,151 (99.3) | 152,424 (98.8) | 429
<b>Asthma</b> (*),689 (75.4) | 914,196 (74.5) | 263,122 (74.4) | 164,371 (76.2) | 487
<b>Liver disease</b> (*),588 (65.7) | 895,157 (61.3) | 256,105 (65.6) | 160,326 (68.1) | 479
<b>Type of liver disease</b> (*),,,,
   ↳ Mild,399 (93.2) | 428,104 (92.9) | 112,77 (98.7) | 78,218 (91.6) | 238
   ↳ Moderate or severe,29 (6.8) | 428,8 (7.1) | 112,1 (1.3) | 78,20 (8.4) | 238
<b>Chronic kidney disease</b> (*),146 (18.4) | 794,36 (16.3) | 221,34 (23.4) | 145,76 (17.8) | 428
<b>Stage of chronic kidney disease</b> (*),,,,
   ↳ Stage 1,26 (19.5) | 133,3 (9.7) | 31,7 (25.0) | 28,16 (21.6) | 74
   ↳ Stage 2,33 (24.8) | 133,9 (29.0) | 31,6 (21.4) | 28,18 (24.3) | 74
   ↳ Stage 3a,39 (29.3) | 133,5 (16.1) | 31,9 (32.1) | 28,25 (33.8) | 74
   ↳ Stage 3b,16 (12.0) | 133,8 (25.8) | 31,3 (10.7) | 28,5 (6.8) | 74
