Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,278,82,640
<b><i>EXPOSURE HISTORY IN PREVIOUS 14 DAYS</i></b>,,,,
<b>History of contact with suspected or confirmed human case of same pathogen?</b> (*),154 (16.2) | 950,42 (15.5) | 271,14 (18.7) | 75,98 (16.2) | 604
<b>Community contact </b> (*),76 (55.1) | 138,24 (64.9) | 37,7 (53.8) | 13,45 (51.1) | 88
<b>Vertical transmission</b> (*),6 (54.5) | 11,3 (75.0) | 4,1 (100.0) | 1,2 (33.3) | 6
<b>Healthcare worker exposure</b> (*),102 (77.3) | 132,28 (77.8) | 36,10 (76.9) | 13,64 (77.1) | 83
<b>Sexual transmission</b> (*),90 (70.3) | 128,24 (70.6) | 34,9 (75.0) | 12,57 (69.5) | 82
<b>Family / household contacts</b> (*),15 (11.8) | 127,5 (14.3) | 35,0 (0.0) | 9,10 (12.0) | 83
<b>Other type of human exposure</b> (*),66 (52.0) | 127,17 (54.8) | 31,2 (18.2) | 11,47 (55.3) | 85
"<b>Any contact with animals, animal homes, meats or other animal products in the last 14 days?</b> (*)",155 (18.1) | 854,50 (20.6) | 243,13 (18.8) | 69,92 (17.0) | 542
<b>Contact with wildlife</b> (*),21 (14.6) | 144,7 (15.9) | 44,2 (16.7) | 12,12 (13.6) | 88
<b>Specify type of contact</b>,,,,
   ↳ Hunting,12 (8.5) | 142,5 (11.4) | 44,1 (8.3) | 12,6 (7.0) | 86
   ↳ Preparing,9 (6.3) | 142,2 (4.5) | 44,2 (16.7) | 12,5 (5.8) | 86
   ↳ Handling,13 (9.2) | 142,5 (11.4) | 44,1 (8.3) | 12,7 (8.1) | 86
   ↳ Consumption (unprocessed / undercooked / raw),14 (9.9) | 142,6 (13.6) | 44,2 (16.7) | 12,6 (7.0) | 86
   ↳ Trading,10 (7.0) | 142,3 (6.8) | 44,2 (16.7) | 12,5 (5.8) | 86
   ↳ Animal faeces or nests,9 (6.3) | 142,4 (9.1) | 44,2 (16.7) | 12,3 (3.5) | 86
   ↳ Sick or dead animal,8 (5.6) | 142,4 (9.1) | 44,1 (8.3) | 12,3 (3.5) | 86
   ↳ Unknown,11 (7.7) | 142,3 (6.8) | 44,2 (16.7) | 12,6 (7.0) | 86
   ↳ Other,12 (8.5) | 142,3 (6.8) | 44,2 (16.7) | 12,7 (8.1) | 86
<b>Other animal contact not listed above </b> (*),16 (11.4) | 140,5 (11.1) | 45,2 (15.4) | 13,9 (11.0) | 82
<b>Specify type of contact</b>,,,,
   ↳ Hunting,8 (5.8) | 139,5 (11.1) | 45,2 (15.4) | 13,1 (1.2) | 81
   ↳ Preparing,10 (7.2) | 139,3 (6.7) | 45,2 (15.4) | 13,5 (6.2) | 81
   ↳ Handling,6 (4.3) | 139,1 (2.2) | 45,1 (7.7) | 13,4 (4.9) | 81
   ↳ Consumption (unprocessed / undercooked / raw),4 (2.9) | 139,0 (0.0) | 45,0 (0.0) | 13,4 (4.9) | 81
