index,label,count
"('treat_prone', 'treat_pao2yn___Not done', 'treat_prone_when___During invasive ventilation')","('<b>Prone positioning</b>', '<b>PaO2 sample type</b>, Not done', '<b>When was the prone positioning?</b>, During invasive ventilation')",128
"('treat_prone', 'treat_pao2yn___Not done')","('<b>Prone positioning</b>', '<b>PaO2 sample type</b>, Not done')",113
"('treat_prone', 'treat_pao2yn___Not done', 'treat_prone_when___Whilst self-ventilating')","('<b>Prone positioning</b>', '<b>PaO2 sample type</b>, Not done', '<b>When was the prone positioning?</b>, Whilst self-ventilating')",110
"('treat_prone',)","('<b>Prone positioning</b>',)",73
"('treat_prone', 'treat_pao2yn___Arterial')","('<b>Prone positioning</b>', '<b>PaO2 sample type</b>, Arterial')",67
"('treat_prone', 'treat_prone_when___During invasive ventilation')","('<b>Prone positioning</b>', '<b>When was the prone positioning?</b>, During invasive ventilation')",59
"('treat_prone', 'treat_pao2yn___Not done', 'treat_prone_when___Whilst self-ventilating', 'treat_pao2yn___Arterial')","('<b>Prone positioning</b>', '<b>PaO2 sample type</b>, Not done', '<b>When was the prone positioning?</b>, Whilst self-ventilating', '<b>PaO2 sample type</b>, Arterial')",52
"('treat_prone', 'treat_pao2yn___Not done', 'treat_prone_when___During invasive ventilation', 'treat_prone_when___Whilst self-ventilating')","('<b>Prone positioning</b>', '<b>PaO2 sample type</b>, Not done', '<b>When was the prone positioning?</b>, During invasive ventilation', '<b>When was the prone positioning?</b>, Whilst self-ventilating')",51
"('treat_prone', 'treat_prone_when___Whilst self-ventilating')","('<b>Prone positioning</b>', '<b>When was the prone positioning?</b>, Whilst self-ventilating')",51
"('treat_prone', 'treat_prone_when___During invasive ventilation', 'treat_pao2yn___Arterial')","('<b>Prone positioning</b>', '<b>When was the prone positioning?</b>, During invasive ventilation', '<b>PaO2 sample type</b>, Arterial')",49
"('treat_prone', 'treat_prone_when___Whilst self-ventilating', 'treat_pao2yn___Arterial')","('<b>Prone positioning</b>', '<b>When was the prone positioning?</b>, Whilst self-ventilating', '<b>PaO2 sample type</b>, Arterial')",41
"('treat_prone', 'treat_pao2yn___Not done', 'treat_pao2yn___Arterial')","('<b>Prone positioning</b>', '<b>PaO2 sample type</b>, Not done', '<b>PaO2 sample type</b>, Arterial')",36
"('treat_pao2yn___Not done',)","('<b>PaO2 sample type</b>, Not done',)",36
"('treat_prone', 'treat_pao2yn___Not done', 'treat_prone_when___During invasive ventilation', 'treat_pao2yn___Arterial')","('<b>Prone positioning</b>', '<b>PaO2 sample type</b>, Not done', '<b>When was the prone positioning?</b>, During invasive ventilation', '<b>PaO2 sample type</b>, Arterial')",33
"('treat_prone', 'treat_pao2yn___Not done', 'treat_prone_when___During invasive ventilation', 'treat_prone_when___Whilst self-ventilating', 'treat_pao2yn___Arterial')","('<b>Prone positioning</b>', '<b>PaO2 sample type</b>, Not done', '<b>When was the prone positioning?</b>, During invasive ventilation', '<b>When was the prone positioning?</b>, Whilst self-ventilating', '<b>PaO2 sample type</b>, Arterial')",27
"('treat_prone', 'treat_prone_when___During invasive ventilation', 'treat_prone_when___Whilst self-ventilating')","('<b>Prone positioning</b>', '<b>When was the prone positioning?</b>, During invasive ventilation', '<b>When was the prone positioning?</b>, Whilst self-ventilating')",14
"('treat_pao2yn___Arterial',)","('<b>PaO2 sample type</b>, Arterial',)",14
"('treat_prone', 'treat_prone_when___During invasive ventilation', 'treat_prone_when___Whilst self-ventilating', 'treat_pao2yn___Arterial')","('<b>Prone positioning</b>', '<b>When was the prone positioning?</b>, During invasive ventilation', '<b>When was the prone positioning?</b>, Whilst self-ventilating', '<b>PaO2 sample type</b>, Arterial')",13
"('treat_pao2yn___Not done', 'treat_pao2yn___Arterial')","('<b>PaO2 sample type</b>, Not done', '<b>PaO2 sample type</b>, Arterial')",5
