index,count,label,short_label
unilateral,9,unilateral,unilateral
homogenous cortex,6,homogenous cortex,homogenous cortex
oval shape,6,oval shape,oval shape
distinct hilum,5,distinct hilum,distinct hilum
peri-nodal reaction,5,peri-nodal reaction,peri-nodal reaction
distinct capsule,5,distinct capsule,distinct capsule
blurred capsule,4,blurred capsule,blurred capsule
round shape,3,round shape,round shape
hypervascularity,2,hypervascularity,hypervascularity
coalescence,1,coalescence,coalescence
