Variable,All,Discharged,Death,Censored
<b>Totals</b>,39,24,13,2
<b><i>COMPLICATIONS</i></b>,,,,
<b>Seizure</b> (*), 1 ( 2.7) | 37, 0 ( 0.0) | 24, 1 ( 7.7) | 13,N/A
<b>Focal neurological signs</b> (*), 1 ( 2.7) | 37, 0 ( 0.0) | 24, 1 ( 7.7) | 13,N/A
<b>Encephalitis</b> (*), 1 ( 2.7) | 37, 0 ( 0.0) | 24, 1 ( 7.7) | 13,N/A
<b>Cardiac arrhythmia</b> (*), 6 (16.7) | 36, 1 ( 4.2) | 24, 5 (41.7) | 12,N/A
<b>Cardiac arrest</b> (*),12 (32.4) | 37, 1 ( 4.2) | 24,11 (84.6) | 13,N/A
<b>Myocarditis</b> (*), 1 ( 2.7) | 37, 0 ( 0.0) | 24, 1 ( 7.7) | 13,N/A
<b>Pleural effusion</b> (*),10 (27.8) | 36, 3 (13.0) | 23, 7 (53.8) | 13,N/A
<b>Acute Respiratory Distress Syndrome (ARDS)</b> (*),14 (37.8) | 37, 2 ( 8.3) | 24,12 (92.3) | 13,N/A
<b>Ascites</b> (*), 1 ( 2.8) | 36, 0 ( 0.0) | 23, 1 ( 7.7) | 13,N/A
<b>Acute hepatitis</b> (*),35 (92.1) | 38,21 (87.5) | 24,13 (100.) | 13,1 (100.) | 1
<b>Severe liver disease (new onset)</b> (*),23 (60.5) | 38, 9 (37.5) | 24,13 (100.) | 13,1 (100.) | 1
<b> Hepatic encephalopathy (any grade)</b> (*),13 (68.4) | 19, 2 (25.0) |  8,10 (100.) | 10,1 (100.) | 1
<b>Severe bleeding (requiring intervention)</b> (*), 7 (18.9) | 37, 1 ( 4.2) | 24, 6 (46.2) | 13,N/A
<b> Severe bleeding site(s)</b>,,,,
   ↳ Skin, 1 ( 2.7) | 37, 0 ( 0.0) | 24, 1 ( 7.7) | 13,N/A
   ↳ Nose, 2 ( 5.4) | 37, 1 ( 4.2) | 24, 1 ( 7.7) | 13,N/A
   ↳ Gums, 2 ( 5.4) | 37, 0 ( 0.0) | 24, 2 (15.4) | 13,N/A
   ↳ GI tract, 4 (10.8) | 37, 0 ( 0.0) | 24, 4 (30.8) | 13,N/A
   ↳ Other(s), 4 (10.8) | 37, 1 ( 4.2) | 24, 3 (23.1) | 13,N/A
<b>Coagulation disorder / DIC</b> (*),21 (56.8) | 37, 9 (37.5) | 24,12 (92.3) | 13,N/A
<b>Acute renal injury / acute renal failure</b> (*),15 (41.7) | 36, 3 (13.6) | 22,11 (84.6) | 13,1 (100.) | 1
<b>Shock </b> (*),13 (35.1) | 37, 2 ( 8.3) | 24,11 (84.6) | 13,N/A
<b>Re-shock episodes</b> (*), 3 ( 8.6) | 35, 0 ( 0.0) | 24, 3 (27.3) | 11,N/A
<b>Number of re-shock episodes</b> (*),,,,
   ↳ 2, 3 (100.) |  3,N/A, 3 (100.) |  3,N/A
<b>Sepsis</b> (*),13 (35.1) | 37, 1 ( 4.3) | 23,11 (84.6) | 13,1 (100.) | 1
<b>Severe organ dysfunction</b> (*),15 (45.5) | 33, 5 (22.7) | 22,10 (90.9) | 11,N/A
<b><i>OUTCOME</i></b>,,,,
<b>Was the patient’s primary diagnosis yellow fever?</b> (*),38 (100.) | 38,23 (100.) | 23,13 (100.) | 13,2 (100.) | 2
<b>Was there any secondary diagnosis?</b> (*), 4 (11.4) | 35, 2 ( 9.1) | 22, 2 (15.4) | 13,N/A
<b>Outcome</b> (*),,,,
   ↳ Discharged alive,22 (56.4) | 39,22 (91.7) | 24, 0 ( 0.0) | 13,0 ( 0.0) | 2
   ↳ Still hospitalised, 2 ( 5.1) | 39, 0 ( 0.0) | 24, 0 ( 0.0) | 13,2 (100.) | 2
   ↳ Transfer to other facility, 2 ( 5.1) | 39, 2 ( 8.3) | 24, 0 ( 0.0) | 13,0 ( 0.0) | 2
   ↳ Death,13 (33.3) | 39, 0 ( 0.0) | 24,13 (100.) | 13,0 ( 0.0) | 2
<b>Ongoing health care needs relating to this admission for pathogen of interest</b> (*), 1 ( 4.5) | 22, 1 ( 4.5) | 22,N/A,N/A
<b>Ongoing health care needs NOT related to pathogen episode</b> (*), 2 ( 9.1) | 22, 2 ( 9.1) | 22,N/A,N/A
