side,y_axis,stack_group,value,left_side
Male,16-20,Discharged,1,False
Male,21-25,Death,1,False
Male,26-30,Death,1,False
Male,26-30,Discharged,1,False
Female,31-35,Discharged,1,True
Male,31-35,Discharged,1,False
Male,31-35,Death,2,False
Male,31-35,Censored,1,False
Male,36-40,Discharged,4,False
Male,36-40,Death,1,False
Female,41-45,Discharged,2,True
Male,41-45,Death,3,False
Male,41-45,Discharged,2,False
Female,46-50,Discharged,1,True
Male,46-50,Discharged,1,False
Female,51-55,Discharged,1,True
Male,51-55,Censored,1,False
Male,51-55,Discharged,1,False
Male,56-60,Discharged,2,False
Male,61-65,Discharged,2,False
Male,66-70,Death,2,False
Male,66-70,Discharged,2,False
Male,71-75,Death,1,False
Male,76-80,Death,1,False
Female,76-80,Death,1,True
Male,76-80,Discharged,2,False
