Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,539,88,373
<b><i>SIGNS AND SYMPTOMS ON ADMISSION</i></b>,,,,
<b>Fever</b> (*),714 (71.4) | 1000,372 (69.0) | 539,69 (78.4) | 88,273 (73.2) | 373
<b>Headache</b> (*),489 (48.9) | 1000,271 (50.3) | 539,39 (44.3) | 88,179 (48.0) | 373
<b><i>VITAL SIGNS & ASSESSMENTS</i></b>,,,,
<b>Highest temperature (°C)</b> (+),38.8 (37.2-39.0) | 1000,38.7 (37.1-39.0) | 539,38.8 (38.4-39.0) | 88,38.8 (37.1-39.0) | 373
<b>HR (beats/minute)</b> (+),78.1 (74.2-81.6) | 1000,77.8 (73.8-81.8) | 539,79.0 (73.1-81.9) | 88,78.5 (74.8-81.5) | 373
<b>RR (bpm)</b> (+),15.8 (14.8-16.7) | 1000,15.8 (14.9-16.7) | 539,16.0 (15.0-16.8) | 88,15.7 (14.7-16.5) | 373
<b>Mean arterial blood pressure (mmHg)</b> (+),91.8 (83.9-103.1) | 1000,92.0 (84.2-102.0) | 539,96.3 (88.5-108.4) | 88,90.6 (83.1-102.7) | 373
<b>Glasgow Coma Score (GCS / 15)</b> (+),14.0 (11.0-15.0) | 1000,14.0 (11.0-15.0) | 539,12.0 (9.5-15.0) | 88,14.0 (11.0-15.0) | 373
<b><i>SIGNS AND SYMPTOMS</i></b>,,,,
<b>Fever</b> (*),714 (71.4) | 1000,376 (69.8) | 539,72 (81.8) | 88,266 (71.3) | 373
<b>Headache</b> (*),652 (65.2) | 1000,351 (65.1) | 539,59 (67.0) | 88,242 (64.9) | 373
