Variable,All,Jour 1,Jour 3  (+1) ,Jour 7  (+2),Jour 28  (+/-5),Jour 90  (+/-20)
<b>Totals</b>,28,1,1,2,13,11
"<b><i><div class=""rich-text-field-label""><p>RÉSULTATS BIOLOGIQUES</p></div></i></b>",,,,,,
<b>Entrer les résultats de laboratoire pour cette date ?</b> (*),1 (3.8) | 26,N/A,N/A,1 (50.0) | 2,0 (0.0) | 13,0 (0.0) | 11
<b>Hémoglobine</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Numération leucocytaire / WBC (10^9/L)</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Neutrophiles</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Lymphocytes</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Éosinophiles</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Hématocrite (%)</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Plaquettes (10^9/L)</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Volume globulaire moyen / VGM (fL)</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Concentration corpusculaire moyenne en Hémoglobine / CCMH (g/dL)</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Glycémie aléatoire</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Créatinine</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
<b>Protéine C-réactive / CRP</b> (+),N/A,N/A,N/A,N/A,N/A,N/A
"<b><i><div class=""rich-text-field-label""><p style=""text-align</i></b>",,,,,,
<b>Urine collectée ?</b> (*),12 (92.3) | 13,N/A,N/A,N/A,12 (92.3) | 13,N/A
"<b>Si non, pourquoi ? ( Urine)</b> (*)",,,,,,
   ↳ Refus du patient,1 (100.0) | 1,N/A,N/A,N/A,1 (100.0) | 1,N/A
