Variable,All,Jour 1,Jour 3  (+1) ,Jour 7  (+2),Jour 28  (+/-5),Jour 90  (+/-20)
<b>Totals</b>,28,1,1,2,13,11
<b><i>CONSTANTES ET EXAMEN GENERAL</i></b>,,,,,,
<b>Saisir les données relatives aux signes vitaux pour cette date ?</b> (*),28 (100.0) | 28,1 (100.0) | 1,1 (100.0) | 1,2 (100.0) | 2,13 (100.0) | 13,11 (100.0) | 11
<b>Température maximale (°C)</b> (+),36.7 (36.4-36.9) | 28,N/A,N/A,N/A,36.8 (36.7-36.9) | 13,36.6 (36.4-36.8) | 11
<b>FC (battements/minute)</b> (+),84.0 (72.5-96.0) | 23,N/A,N/A,N/A,85.0 (77.0-96.0) | 9,79.0 (72.2-87.8) | 10
<b>FR (bpm)</b> (+),21.0 (20.0-22.0) | 20,N/A,N/A,N/A,21.0 (21.0-22.0) | 11,20.5 (19.2-54.0) | 6
<b>TA systolique (mmHg)</b> (+),125.0 (113.0-145.0) | 24,N/A,N/A,N/A,129.0 (114.0-153.5) | 11,119.0 (106.0-127.0) | 9
<b>TA diastolique (mmHg)</b> (+),78.0 (71.0-101.0) | 25,N/A,N/A,N/A,84.0 (71.0-97.5) | 11,74.0 (68.2-84.2) | 10
<b>Saturation en oxygène à l'air ambiant (sans apport d'oxygène) (%)</b> (+),98.0 (98.0-98.0) | 11,N/A,N/A,N/A,98.0 (98.0-98.0) | 7,N/A
<b>Apport supplémentaire en oxygène ?</b> (*),0 (0.0) | 25,0 (0.0) | 1,0 (0.0) | 1,0 (0.0) | 1,0 (0.0) | 12,0 (0.0) | 10
<b>Échelle de Glasgow (GCS / 15)</b> (+),15.0 (15.0-15.0) | 22,N/A,N/A,N/A,15.0 (15.0-15.0) | 11,15.0 (15.0-15.0) | 7
<b>Diurése collectée ?</b> (*),0 (0.0) | 2,N/A,N/A,0 (0.0) | 2,N/A,N/A
