Variable,All,Femme,Homme
<b>Totals</b>,26,11,15
<b><i>SYMPTÔMES À L'ADMISSION </i></b>,,,
<b>Fièvre</b> (*),1 (12.5) | 8,1 (20.0) | 5,0 (0.0) | 3
<b>Frissons</b> (*),0 (0.0) | 7,0 (0.0) | 4,0 (0.0) | 3
<b>Sueurs</b> (*),2 (25.0) | 8,2 (40.0) | 5,0 (0.0) | 3
<b>Asthénie</b> (*),2 (25.0) | 8,2 (40.0) | 5,0 (0.0) | 3
<b>Anorexie</b> (*),3 (37.5) | 8,2 (40.0) | 5,1 (33.3) | 3
<b>Douleurs musculaires / myalgies</b> (*),2 (25.0) | 8,1 (20.0) | 5,1 (33.3) | 3
<b>Douleurs articulaires / arthralgies</b> (*),1 (12.5) | 8,1 (20.0) | 5,0 (0.0) | 3
<b>Éruption cutanée</b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Toux</b> (*),2 (25.0) | 8,2 (40.0) | 5,0 (0.0) | 3
<b>Maux de gorge</b> (*),1 (12.5) | 8,1 (20.0) | 5,0 (0.0) | 3
<b>Syncope</b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Douleurs abdominales</b> (*),3 (37.5) | 8,2 (40.0) | 5,1 (33.3) | 3
<b>Diarrhée</b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Constipation</b> (*),2 (25.0) | 8,2 (40.0) | 5,0 (0.0) | 3
<b>Vomissements</b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Nausées</b> (*),1 (12.5) | 8,0 (0.0) | 5,1 (33.3) | 3
<b>Saignement / hémorragie</b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Maux de tête</b> (*),4 (50.0) | 8,4 (80.0) | 5,0 (0.0) | 3
<b>Photophobie</b> (*),2 (28.6) | 7,2 (50.0) | 4,0 (0.0) | 3
<b>Crises / convulsions</b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Altération de la conscience / confusion</b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Autres symptômes neurologiques</b> (*),0 (0.0) | 7,0 (0.0) | 5,0 (0.0) | 2
<b>Yeux rouges </b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Douleurs oculaires</b> (*),2 (25.0) | 8,2 (40.0) | 5,0 (0.0) | 3
<b>Vision trouble / floue</b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Sensibilité des yeux à la lumière</b> (*),1 (12.5) | 8,1 (20.0) | 5,0 (0.0) | 3
<b>Cécité</b> (*),0 (0.0) | 8,0 (0.0) | 5,0 (0.0) | 3
<b>Autres symptômes ophtalmologiques</b> (*),0 (0.0) | 6,0 (0.0) | 4,0 (0.0) | 2
