side,y_axis,stack_group,value,left_side
Female,0-5,Death,60,True
Female,0-5,Discharged,34860,True
Male,0-5,Death,81,False
Male,0-5,Discharged,42561,False
Female,6-10,Death,21,True
Female,6-10,Discharged,21763,True
Male,6-10,Discharged,23042,False
Male,6-10,Death,32,False
Male,11-15,Discharged,25309,False
Male,11-15,Death,23,False
Female,11-15,Discharged,20396,True
Female,11-15,Death,23,True
Female,16-20,Discharged,15246,True
Female,16-20,Death,30,True
Male,16-20,Discharged,20801,False
Male,16-20,Death,43,False
Male,21-25,Discharged,16693,False
Male,21-25,Death,83,False
Female,21-25,Death,36,True
Female,21-25,Discharged,12350,True
Male,26-30,Discharged,14272,False
Female,26-30,Discharged,10856,True
Female,26-30,Death,45,True
Male,26-30,Death,113,False
Male,31-35,Death,122,False
Male,31-35,Discharged,11718,False
Female,31-35,Death,30,True
Female,31-35,Discharged,8742,True
Male,36-40,Discharged,9348,False
Male,36-40,Death,114,False
Female,36-40,Discharged,7048,True
Female,36-40,Death,50,True
Male,41-45,Discharged,7481,False
Female,41-45,Death,36,True
Female,41-45,Discharged,5760,True
Male,41-45,Death,84,False
Male,46-50,Discharged,5796,False
Male,46-50,Death,82,False
Female,46-50,Death,36,True
Female,46-50,Discharged,4919,True
Male,51-55,Discharged,5266,False
Male,51-55,Death,98,False
Female,51-55,Death,50,True
Female,51-55,Discharged,4696,True
Male,56-60,Discharged,5076,False
Female,56-60,Discharged,4485,True
Male,56-60,Death,156,False
Female,56-60,Death,60,True
Male,61-65,Death,173,False
Female,61-65,Discharged,3982,True
Male,61-65,Discharged,4681,False
Female,61-65,Death,60,True
Female,66-70,Death,82,True
Male,66-70,Discharged,3864,False
Male,66-70,Death,182,False
Female,66-70,Discharged,3318,True
Male,71-75,Discharged,3328,False
Male,71-75,Death,194,False
Female,71-75,Discharged,2878,True
Female,71-75,Death,99,True
Male,76-80,Discharged,2640,False
Female,76-80,Discharged,2483,True
Female,76-80,Death,101,True
Male,76-80,Death,168,False
Male,81-85,Death,178,False
Male,81-85,Discharged,2138,False
Female,81-85,Discharged,2250,True
Female,81-85,Death,109,True
Male,86-90,Death,104,False
Male,86-90,Discharged,1334,False
Female,86-90,Death,79,True
Female,86-90,Discharged,1610,True
Male,91-95,Discharged,583,False
Male,91-95,Death,44,False
Female,91-95,Discharged,782,True
Female,91-95,Death,59,True
Male,96-100,Discharged,132,False
Female,96-100,Death,21,True
Male,96-100,Death,8,False
Female,96-100,Discharged,192,True
Female,101+,Discharged,29,True
Female,101+,Death,1,True
Male,101+,Death,3,False
Male,101+,Discharged,13,False
